series,ln_G,g,S_over_N
cool_N160,-0.001,0.999,0.958
cool_N160,0.693,2.000,0.907
cool_N160,1.386,4.001,0.724
cool_N160,1.611,5.006,0.615
cool_N160,1.792,6.001,0.529
cool_N160,1.946,7.002,0.466
cool_N160,2.080,8.005,0.413
cool_N160,2.198,9.006,0.373
cool_N160,2.303,10.006,0.348
cool_N160,2.398,10.997,0.318
cool_N160,2.486,12.008,0.300
cool_N160,2.566,13.014,0.281
cool_N160,2.640,14.008,0.268
cool_N160,2.709,15.015,0.255
cool_N160,2.773,16.012,0.247
cool_N160,2.834,17.020,0.238
cool_N160,2.945,19.002,0.222
