ln_hbar_g,hbar_g,squares_per_vertex,S_over_N,phi
-0.9182,0.3992,10.075,2.5189,0.8396
-0.7994,0.4496,10.075,2.5189,0.8396
-0.6923,0.5004,10.075,2.5189,0.8396
-0.5992,0.5492,10.060,2.5150,0.8383
-0.5107,0.6000,10.044,2.5111,0.8370
-0.4316,0.6495,10.029,2.5072,0.8357
-0.3571,0.6997,10.013,2.5033,0.8344
-0.2849,0.7521,9.998,2.4994,0.8331
-0.2220,0.8009,9.967,2.4917,0.8306
-0.1638,0.8489,9.951,2.4878,0.8293
-0.1056,0.8998,9.951,2.4878,0.8293
-0.0498,0.9515,9.936,2.4839,0.8280
0.0015,1.0015,9.920,2.4800,0.8267
0.0504,1.0516,9.905,2.4762,0.8254
0.0946,1.0992,9.874,2.4684,0.8228
0.1388,1.1489,9.874,2.4684,0.8228
0.1807,1.1981,9.858,2.4645,0.8215
0.2226,1.2494,9.843,2.4606,0.8202
0.2622,1.2998,9.827,2.4568,0.8189
0.3018,1.3523,9.780,2.4451,0.8150
0.3367,1.4004,9.734,2.4335,0.8112
0.3716,1.4501,9.703,2.4257,0.8086
0.4066,1.5017,9.641,2.4102,0.8034
0.4392,1.5514,9.579,2.3946,0.7982
0.4718,1.6028,9.548,2.3869,0.7956
0.4997,1.6482,9.516,2.3791,0.7930
0.5323,1.7028,9.454,2.3636,0.7879
0.5626,1.7552,9.392,2.3481,0.7827
0.5882,1.8007,9.346,2.3364,0.7788
0.6161,1.8517,9.237,2.3093,0.7698
0.6417,1.8997,9.066,2.2666,0.7555
0.6697,1.9536,8.989,2.2472,0.7491
0.6953,2.0043,8.880,2.2200,0.7400
0.7209,2.0562,8.725,2.1812,0.7271
0.7418,2.0998,8.585,2.1462,0.7154
0.7698,2.1593,8.492,2.1230,0.7077
0.7907,2.2050,8.368,2.0919,0.6973
0.8140,2.2569,8.212,2.0531,0.6844
0.8326,2.2994,8.088,2.0220,0.6740
0.8559,2.3535,7.871,1.9677,0.6559
0.8792,2.4090,7.560,1.8901,0.6300
0.8955,2.4486,7.498,1.8745,0.6248
0.9165,2.5004,7.281,1.8202,0.6067
0.9374,2.5533,7.095,1.7736,0.5912
0.9560,2.6013,6.753,1.6882,0.5627
0.9747,2.6503,6.411,1.6029,0.5343
0.9933,2.7001,6.008,1.5019,0.5006
1.0492,2.8552,5.868,1.4670,0.4890
1.0655,2.9022,5.728,1.4321,0.4774
1.0841,2.9567,5.480,1.3700,0.4567
1.1004,3.0053,5.216,1.3040,0.4347
1.1167,3.0547,4.890,1.2225,0.4075
1.1330,3.1049,4.657,1.1643,0.3881
1.1493,3.1559,4.517,1.1293,0.3764
1.1656,3.2077,4.222,1.0556,0.3519
1.1795,3.2529,3.989,0.9974,0.3325
1.1935,3.2986,3.741,0.9353,0.3118
1.2098,3.3528,3.462,0.8654,0.2885
1.2261,3.4079,3.244,0.8111,0.2704
1.2401,3.4559,3.027,0.7567,0.2522
1.2564,3.5126,2.841,0.7101,0.2367
1.2680,3.5538,2.623,0.6558,0.2186
1.2843,3.6122,2.421,0.6054,0.2018
1.2959,3.6545,2.204,0.5510,0.1837
1.3099,3.7059,2.018,0.5044,0.1681
1.3239,3.7580,1.847,0.4617,0.1539
1.3355,3.8020,1.692,0.4229,0.1410
1.3495,3.8555,1.521,0.3802,0.1267
1.3611,3.9006,1.397,0.3492,0.1164
1.3751,3.9555,1.241,0.3104,0.1035
1.3867,4.0018,1.086,0.2716,0.0905
