series,log10_g,g,S_over_N
cool_from_random_blue,2.248,177.207,0.129
cool_from_random_blue,2.000,100.000,0.129
cool_from_random_blue,1.805,63.868,0.151
cool_from_random_blue,1.600,39.825,0.173
cool_from_random_blue,1.406,25.459,0.212
cool_from_random_blue,1.200,15.860,0.250
cool_from_random_blue,0.995,9.889,0.311
cool_from_random_blue,0.780,6.021,0.728
cool_from_random_blue,0.758,5.722,0.844
cool_from_random_blue,0.704,5.059,0.992
cool_from_random_blue,0.305,2.016,0.970
cool_from_random_blue,-0.495,0.320,0.959
cool_from_random_blue,-1.003,0.099,0.970
heat_from_torus_red,1.903,79.917,0.140
heat_from_torus_red,1.503,31.858,0.178
heat_from_torus_red,0.898,7.914,0.409
heat_from_torus_red,0.801,6.331,0.481
heat_from_torus_red,0.769,5.868,0.887
heat_from_torus_red,0.747,5.585,0.970
heat_from_torus_red,0.596,3.946,0.997
heat_from_torus_red,-0.247,0.566,0.997
heat_from_torus_red,-0.754,0.176,0.997
