N,replica,leg,g,phi,phi_sd,chi,acceptance
100,0,cool,200,0.1980733333333333,0.03763802982209469,0.1416621288888889,0.7978025
100,0,cool,120,0.20303333333333332,0.036594155574657304,0.1339132222222222,0.7785
100,0,cool,80,0.21037333333333338,0.0373147953974768,0.13923939555555556,0.751915
100,0,cool,60,0.22052666666666665,0.03742088484018279,0.1400322622222222,0.7292075
100,0,cool,45,0.23532,0.038625953278419764,0.1491964266666667,0.69303
100,0,cool,35,0.24944666666666665,0.037240128296711805,0.13868271555555553,0.6538475
100,0,cool,28,0.26662,0.03779562055759018,0.1428508933333333,0.6109975
100,0,cool,22,0.29058,0.03932255841117157,0.15462636,0.55083
100,0,cool,18,0.31327999999999995,0.03972792804396759,0.15783082666666667,0.4931175
100,0,cool,15,0.34228000000000003,0.03932261774941575,0.15462682666666666,0.43126
100,0,cool,12,0.38483333333333336,0.039897020217332296,0.1591772222222222,0.3488375
100,0,cool,10,0.42725333333333343,0.03854766515482992,0.1485922488888889,0.27325
100,0,cool,8,0.48688666666666663,0.03865368230266757,0.14941071555555563,0.184905
100,0,cool,6.5,0.55084,0.03612885827147046,0.13052943999999994,0.11614
100,0,cool,5,0.6416266666666667,0.032602974642746266,0.1062953955555556,0.0505925
100,0,cool,4,0.7283466666666667,0.030892283106878915,0.09543331555555565,0.0197825
100,0,cool,3,0.8780733333333334,0.015181829782854107,0.023048795555555595,0.0045975
100,0,cool,2,0.91632,0.004822613399392496,0.002325760000000005,0.00193
100,0,heat,3,0.9139733333333335,0.01203104133296681,0.014474595555555579,0.0016925
100,0,heat,4,0.73194,0.034112115149899466,0.11636364000000007,0.017495
100,0,heat,5,0.6464933333333334,0.03413067958434009,0.11649032888888892,0.0486325
100,0,heat,6.5,0.55352,0.03738105045786344,0.13973429333333326,0.11173
100,0,heat,8,0.4872866666666667,0.03725101102281954,0.13876378222222224,0.1846
100,0,heat,10,0.42773333333333335,0.039637468245195595,0.15711288888888889,0.272285
100,0,heat,12,0.38524666666666657,0.038901660061693454,0.15133391555555556,0.3460025
100,0,heat,15,0.34263333333333335,0.0404334707334846,0.16348655555555555,0.430515
100,0,heat,18,0.31688,0.03869882341019341,0.14975989333333334,0.4926375
100,0,heat,22,0.2902133333333334,0.03869824917084608,0.1497554488888889,0.5523575
100,0,heat,28,0.26448,0.03911942739867239,0.15303296,0.6121875
100,0,heat,35,0.24682,0.03973186294818472,0.15786209333333334,0.6560825
100,0,heat,45,0.23080000000000003,0.036985042021516396,0.13678933333333337,0.6940275
100,0,heat,60,0.22130666666666668,0.03695076844788061,0.1365359288888889,0.72831
100,0,heat,80,0.21302666666666664,0.03629930149312641,0.13176392888888888,0.7544775
100,0,heat,120,0.20342666666666664,0.03539667529899132,0.12529246222222223,0.7792925
100,0,heat,200,0.19699333333333333,0.03660364219886079,0.13398266222222222,0.798575
196,0,cool,200,0.10567006802721088,0.02138723228792724,0.08965308616780045,0.9028966836734694
196,0,cool,120,0.11105102040816327,0.02174485805580891,0.0926764149659864,0.8869068877551021
196,0,cool,80,0.1165204081632653,0.021975382368400354,0.09465181632653061,0.8686122448979592
196,0,cool,60,0.12313605442176871,0.022227102870021977,0.0968326439909297,0.8479732142857143
196,0,cool,45,0.13209863945578232,0.022350311666270665,0.09790914058956918,0.8203724489795918
196,0,cool,35,0.14295238095238094,0.023677529169446584,0.10988257596371881,0.7876224489795919
196,0,cool,28,0.15514625850340136,0.024064651330483373,0.1135050589569161,0.749938775510204
196,0,cool,22,0.17301020408163265,0.02477612168495314,0.12031581632653063,0.6994795918367347
196,0,cool,18,0.19345578231292515,0.02647946054432911,0.1374277188208617,0.6424183673469388
196,0,cool,15,0.2184591836734694,0.026302431225646076,0.135596306122449,0.5815854591836734
196,0,cool,12,0.25718027210884353,0.027612717305104763,0.1494425827664399,0.48934438775510203
196,0,cool,10,0.2961292517006802,0.027970303331939853,0.1533382222222222,0.40439413265306123
196,0,cool,8,0.36312925170068033,0.028821468260965627,0.1628126984126984,0.28625765306122447
196,0,cool,6.5,0.4339387755102041,0.028234143778645575,0.15624470748299318,0.18682908163265305
196,0,cool,5,0.5447414965986395,0.025945332982585008,0.13193941950113383,0.08460076530612246
196,0,cool,4,0.6456496598639455,0.0236019766026304,0.10918244671201813,0.03441581632653061
196,0,cool,3,0.8131972789115647,0.01884200244245458,0.06958412698412703,0.00797704081632653
196,0,cool,2,0.9000680272108845,0.021092988316941858,0.08720317460317457,0.002022959183673469
196,0,heat,3,0.8467959183673468,0.03360455326704496,0.22133613605442173,0.003455357142857143
196,0,heat,4,0.6528129251700681,0.02508815753642252,0.1233654671201814,0.03177933673469388
196,0,heat,5,0.544030612244898,0.026701974707563376,0.13974710884353742,0.08336479591836735
196,0,heat,6.5,0.4314795918367347,0.028105299338300246,0.1548219387755102,0.18855867346938776
196,0,heat,8,0.3614285714285715,0.028306473127815153,0.1570462585034014,0.28918877551020405
196,0,heat,10,0.29660544217687074,0.029049330829455124,0.16539726984126987,0.4034081632653061
196,0,heat,12,0.2562755102040817,0.028002613496362856,0.15369268707482991,0.48937117346938774
196,0,heat,15,0.21660884353741497,0.02629672128911964,0.13553743990929706,0.5819107142857143
196,0,heat,18,0.1929421768707483,0.025398593713746018,0.12643735827664399,0.6432091836734694
196,0,heat,22,0.17324489795918369,0.02516263081886516,0.12409896598639457,0.6979604591836734
196,0,heat,28,0.15416666666666667,0.024212783985432876,0.11490674603174601,0.751843112244898
196,0,heat,35,0.14330612244897958,0.02351975665720074,0.10842307482993195,0.7882716836734693
196,0,heat,45,0.13158503401360547,0.022688223206256807,0.10089207256235827,0.8209604591836734
196,0,heat,60,0.12271768707482993,0.022313614505280164,0.09758788888888888,0.8480714285714286
196,0,heat,80,0.1161530612244898,0.022163015527087507,0.0962750544217687,0.8682984693877551
196,0,heat,120,0.10923809523809525,0.021478331168804616,0.09041846712018141,0.8872755102040817
196,0,heat,200,0.10554421768707482,0.020869252667055235,0.08536303854875284,0.9020739795918368
400,0,cool,200,0.05337000000000001,0.01093205226234611,0.04780390666666667,0.952406875
400,0,cool,120,0.05541166666666667,0.011176673501339992,0.04996721222222222,0.94300625
400,0,cool,80,0.05971,0.011476028639443758,0.05267969333333333,0.9309825
400,0,cool,60,0.063405,0.011852994347421245,0.05619739,0.917958125
400,0,cool,45,0.06815833333333333,0.012467120646814251,0.06217163888888888,0.90053875
400,0,cool,35,0.07446166666666666,0.012308778597227085,0.06060241222222223,0.879298125
400,0,cool,28,0.08238333333333332,0.013097508244785425,0.06861788888888888,0.85307
400,0,cool,22,0.09393666666666665,0.013955978010237126,0.07790772888888887,0.81565875
400,0,cool,18,0.10721666666666665,0.015154033199852182,0.09185788888888888,0.773664375
400,0,cool,15,0.12319500000000001,0.01568745172635335,0.09843845666666667,0.7245875
400,0,cool,12,0.15186833333333333,0.01710473123306986,0.11702873222222221,0.642808125
400,0,cool,10,0.1836,0.0179962496092936,0.12954600000000002,0.56024625
400,0,cool,8,0.23947666666666664,0.018801182291429325,0.14139378222222224,0.433775625
400,0,cool,6.5,0.3088516666666667,0.019296428785889087,0.14894086555555563,0.305151875
400,0,cool,5,0.42699000000000004,0.0193829366540092,0.15027929333333334,0.150904375
400,0,cool,4,0.54622,0.01959834006576407,0.15363797333333332,0.062644375
400,0,cool,3,0.6974833333333335,0.012027041291282826,0.057859888888888836,0.017785
400,0,cool,2,0.8395766666666666,0.01651980999352663,0.10916164888888889,0.00384375
400,0,heat,3,0.7108566666666666,0.023540556256998024,0.22166311555555557,0.0122625
400,0,heat,4,0.5481883333333334,0.0189280751941542,0.1433088122222222,0.0612525
400,0,heat,5,0.43048333333333333,0.019779190804704045,0.15648655555555563,0.1488325
400,0,heat,6.5,0.30931000000000003,0.019086179118234577,0.14571289333333343,0.30406
400,0,heat,8,0.23873499999999998,0.019506723840768344,0.15220491000000003,0.43437375
400,0,heat,10,0.18397666666666665,0.017887457120066626,0.1279844488888889,0.55881375
400,0,heat,12,0.15234666666666666,0.017009599903845145,0.11573059555555552,0.64332875
400,0,heat,15,0.12365500000000001,0.015141393870226522,0.09170472333333332,0.724005625
400,0,heat,18,0.10706333333333333,0.014281141021952305,0.08158039555555557,0.773478125
400,0,heat,22,0.09427833333333334,0.013698541183482113,0.07506001222222222,0.8158575
400,0,heat,28,0.08232833333333334,0.012887643845516873,0.06643654555555556,0.853169375
400,0,heat,35,0.07448166666666667,0.013436659947902066,0.07221753222222223,0.87916375
400,0,heat,45,0.06812666666666667,0.011867278074136836,0.05633291555555555,0.90074375
400,0,heat,60,0.06259666666666668,0.01174162065285519,0.055146262222222214,0.917985
400,0,heat,80,0.058675000000000005,0.011170580781678274,0.04991275,0.93103875
400,0,heat,120,0.05533833333333333,0.010930371931254469,0.047789212222222224,0.9432025
