N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac
64,0,cool,100,0.3150625,0.052052838989578645,0.17340787499999993,0.65890234375,0.0007537304119746976,0.0035158236457531,0.4634569528352015,8,8,0.0,none,0.00621484375,1.0,1.0,0.0,0.0
64,0,cool,30,0.38212890625,0.053812386436209655,0.1853294677734375,0.5158346354166666,0.0009407650662689969,0.004215479899815379,0.5585303957943561,8,8,0.0,none,0.0122734375,1.0,1.0,0.0,0.0
64,0,cool,20,0.43135546875,0.05514010129546393,0.19458756933593746,0.4191875,0.001015946690159525,0.004501037949693979,0.5941646000769293,8,8,0.0,none,0.01912890625,1.0,1.0,0.0,0.0
64,0,cool,15,0.4840703125,0.05700367430505988,0.20796280859375002,0.331453125,0.0009059282689614097,0.004513826764414358,0.8535985011670328,8,8,0.0,none,0.03040625,1.0,1.0,0.0,0.0
64,0,cool,12,0.53740234375,0.05532819105099666,0.19591735839843752,0.2547447916666667,0.0012616067670893443,0.004361959788913462,1.0507776684190326,8,8,0.0,none,0.043328125,1.0,1.0,0.0,0.0
64,0,cool,10,0.59239453125,0.056154920593047976,0.2018160068359375,0.19109895833333335,0.0013608703777577766,0.006812420565562089,1.5368783652830744,8,8,0.0,none,0.06478515625,1.0,1.0,0.0,0.0
64,0,cool,9,0.63176953125,0.05936172638945505,0.22552413183593753,0.1528046875,0.0019889405878782225,0.008102833223041887,2.758799441026461,8,8,0.0,none,0.08334765625,1.0,1.0,0.0,0.0
64,0,cool,8,0.67883203125,0.05808109572856106,0.2158984755859375,0.11643359375,0.0024450053682295624,0.009451980148947284,4.209887491607253,8,8,0.0,none,0.11020703125,1.0,1.0,0.0,0.0
64,0,cool,7.5,0.71032421875,0.06114040625260351,0.2392415537109375,0.09590364583333333,0.003437847201783771,0.013532454509049711,7.7122734113066445,8,8,0.0,none,0.134484375,1.0,1.0,0.0,0.0
64,0,cool,7,0.7454921875,0.0661461224054543,0.28001980859375,0.07763932291666667,0.003696059725084814,0.024431211841350952,7.455016645789775,8,8,0.0,none,0.16637109375,1.0,1.0,0.0,0.0
64,0,cool,6.5,0.823234375,0.08837941306829819,0.49989892187500007,0.0529375,0.011373212751342184,0.11770007544196337,50.37339227284093,8,8,0.0,none,0.2675625,1.01725,0.9956875,0.0013125,0.0013125
64,0,cool,6,1.45286328125,0.05493464120277067,0.1931401474609375,0.0035377604166666665,0.011690315773578845,0.048444331072260705,362.7719433290187,8,8,0.0,none,1.8242734375,3.917,0.28078125,0.82253125,0.7523125
64,0,cool,5.5,1.494171875,0.014656474878338753,0.013747984374999998,0.00021614583333333333,0.0012559476335627846,0.0034865012387357112,22.008060245348695,8,8,0.0,none,1.9766875,4.0,0.25,0.957875,0.957875
64,0,cool,5,1.4981796875,0.007492309696605164,0.0035926210937500007,0.00010416666666666667,0.00040629050842209204,0.0007637739310727144,7.795786936015668,8,8,0.0,none,1.99271875,4.0,0.25,0.985875,0.985875
64,0,cool,4.5,1.498734375,0.006460120300495572,0.002670921875,5.7291666666666666e-05,0.00036796900709916457,0.0007630709777793721,12.305454803976664,8,8,0.0,none,1.9949375,4.0,0.25,0.9899375,0.9899375
64,0,cool,4,1.4993125,0.004817570380907787,0.0014853750000000004,1.8229166666666668e-05,0.0004580347420787771,0.0008879125172781796,10.926594153747159,8,8,0.0,none,1.99725,4.0,0.25,0.994875,0.994875
64,0,cool,3.5,1.499796875,0.002511253966522502,0.000403609375,7.8125e-06,0.00020455766636130805,0.00040086142257260513,12.684582993096338,8,8,0.0,none,1.9991875,4.0,0.25,0.998375,0.998375
64,0,cool,3,1.5,0.0,0.0,5.208333333333333e-06,0.0,0.0,nan,8,8,0.0,none,2.0,4.0,0.25,1.0,1.0
64,0,heat,3.5,1.49975,0.002783882181415011,0.0004960000000000001,1.0416666666666666e-05,0.0002172749374352776,0.00042528709049864276,13.744194058368729,8,8,0.0,none,1.999,4.0,0.25,0.998,0.998
64,0,heat,4,1.49990625,0.0017090636142344144,0.00018693749999999996,1.3020833333333334e-05,9.0889936014669e-05,0.00018022149344708272,5.022963031217049,8,8,0.0,none,1.999625,4.0,0.25,0.99925,0.99925
64,0,heat,4.5,1.498203125,0.007448963723020472,0.0035511718750000005,3.6458333333333336e-05,0.0008562781345172514,0.001607364931826977,29.95259741922994,8,8,0.0,none,1.9928125,4.0,0.25,0.9860625,0.9860625
64,0,heat,5,1.49579296875,0.011658746774107989,0.0086992880859375,0.000125,0.0012006639797922693,0.0023102521148251442,18.416033379173957,8,8,0.0,none,1.983171875,4.0,0.25,0.967875,0.967875
64,0,heat,5.5,1.49692578125,0.009645061245056893,0.0059537412109374995,0.00014583333333333335,0.0006411955239161715,0.0011487775568192146,9.965700651249078,8,8,0.0,none,1.987703125,4.0,0.25,0.9765,0.9765
64,0,heat,6,1.4899921875,0.0173378350696488,0.019238433593750003,0.0003177083333333333,0.001699447764739508,0.0035691800898265892,21.614471876067952,8,8,0.0,none,1.95996875,4.0,0.25,0.926375,0.926375
64,0,heat,6.5,1.48769921875,0.019123796412673883,0.0234060537109375,0.00049609375,0.0019062475425829413,0.0031122986321748336,21.096637486909255,8,8,0.0,none,1.950796875,4.0,0.25,0.9121875,0.9121875
64,0,heat,7,1.48262109375,0.02508603330087204,0.0402757802734375,0.0006927083333333334,0.0019888662604952193,0.008604779155359388,18.19129760307823,8,8,0.0,none,1.93166015625,3.986,0.2535,0.876125,0.876125
64,0,heat,7.5,1.47290234375,0.02739783462544232,0.0480410458984375,0.0012434895833333334,0.003057535442266025,0.005701779178867547,24.635999834636834,8,8,0.0,none,1.891609375,4.0,0.25,0.8098125,0.8098125
64,0,heat,8,0.67779296875,0.05681852114489405,0.20661403808593742,0.10644921875,0.0026406659395402615,0.01024307599437304,3.914318055606193,8,8,0.0,none,0.11041796875,1.0,1.0,0.0,0.0
64,0,heat,9,0.63014453125,0.05754762896070544,0.2119506943359375,0.15192057291666666,0.0026417730992826126,0.009239434527118728,2.6899978226816224,8,8,0.0,none,0.0808359375,1.0,1.0,0.0,0.0
64,0,heat,10,0.59402734375,0.057203154742335546,0.2094208583984375,0.188125,0.0015732022769805807,0.006344024998854462,1.7211105546078318,8,8,0.0,none,0.06465625,1.0,1.0,0.0,0.0
64,0,heat,12,0.53780859375,0.05453004103580165,0.19030562402343754,0.25499088541666665,0.0013611709884201921,0.005020219947297272,1.078373742324603,8,8,0.0,none,0.04379296875,1.0,1.0,0.0,0.0
64,0,heat,15,0.4861640625,0.05533189488268582,0.19594358984375,0.3292083333333333,0.0012712416146661056,0.006679640778406333,0.7369400897232687,8,8,0.0,none,0.0293359375,1.0,1.0,0.0,0.0
64,0,heat,20,0.43226953125,0.05475039338271026,0.19184675683593752,0.41745182291666666,0.0009309713923630725,0.006351558328742799,0.6074219562488085,8,8,0.0,none,0.01970703125,1.0,1.0,0.0,0.0
64,0,heat,30,0.3801328125,0.05486486361303875,0.19264980859375,0.51451171875,0.0009288141137482503,0.00406590969281361,0.523772258630746,8,8,0.0,none,0.01203125,1.0,1.0,0.0,0.0
64,0,heat,100,0.31406640625,0.051611482268277394,0.17047968652343753,0.6586875,0.000738529823357048,0.00436384019043282,0.49701821731831,8,8,0.0,none,0.0058671875,1.0,1.0,0.0,0.0
64,1,cool,100,0.31314453125,0.05175048223445868,0.17139919433593753,0.6593854166666666,0.0009176232491764789,0.003464076600071598,0.5163489198210252,8,8,0.0,none,0.006046875,1.0,1.0,0.0,0.0
64,1,cool,30,0.381671875,0.05313228580554271,0.180674546875,0.5144244791666667,0.0007883207119706256,0.003397944102827039,0.48424580162412983,8,8,0.0,none,0.01209765625,1.0,1.0,0.0,0.0
64,1,cool,20,0.43201171875,0.054944426463378875,0.1932089599609375,0.4175494791666667,0.0011084453489246695,0.003861833561795979,0.6183745129251085,8,8,0.0,none,0.01954296875,1.0,1.0,0.0,0.0
64,1,cool,15,0.4840390625,0.05485473926137644,0.19257871484375,0.33103385416666664,0.001072376906907618,0.004389335058099618,0.713262954987098,8,8,0.0,none,0.02943359375,1.0,1.0,0.0,0.0
64,1,cool,12,0.53862109375,0.05580050861851495,0.19927659277343754,0.253890625,0.001116473847236243,0.00381571841576656,0.9846013051109346,8,8,0.0,none,0.04466015625,1.0,1.0,0.0,0.0
64,1,cool,10,0.59294140625,0.05707312661503845,0.20846987402343747,0.19051171875,0.0020133205840374485,0.005949362324690393,1.8327109961081915,8,8,0.0,none,0.0644296875,1.0,1.0,0.0,0.0
64,1,cool,9,0.62737890625,0.056673901728087867,0.20556359277343747,0.15408072916666668,0.0018678111160975288,0.00714348297773337,2.1130505653229523,8,8,0.0,none,0.07984375,1.0,1.0,0.0,0.0
64,1,cool,8,0.674109375,0.057719627683500134,0.21321954687500003,0.11756770833333334,0.0020742778167201948,0.013383725171196768,4.131773085021896,8,8,0.0,none,0.1069296875,1.0,1.0,0.0,0.0
64,1,cool,7.5,0.710265625,0.06023969658723286,0.23224454687499999,0.09572135416666666,0.0036408504607628013,0.01680061969867216,5.609156251755094,8,8,0.0,none,0.13345703125,1.0,1.0,0.0,0.0
64,1,cool,7,0.77725390625,0.10260860521246482,0.6738256552734375,0.07222916666666666,0.018142564632152303,0.23497047381833538,114.10682565989195,8,8,0.0,none,0.22333203125,1.09075,0.9773125,0.0204375,0.0204375
64,1,cool,6.5,0.79702734375,0.06780089715234663,0.29420554589843756,0.05571744791666667,0.006221242592537492,0.028589606986136742,14.591178512966446,8,8,0.0,none,0.21977734375,1.0,1.0,0.0,0.0
64,1,cool,6,1.490796875,0.019792496556065763,0.025071546875000003,0.005287760416666666,0.0017896151139570487,0.006497909164176478,27.555248515285577,8,8,0.0,none,1.96387109375,3.98925,0.2526875,0.9340625,0.9340625
64,1,cool,5.5,1.495203125,0.012686605187041766,0.010300796875000002,0.00023958333333333332,0.0010124619903889814,0.0025603501838391694,19.28546509780075,8,8,0.0,none,1.9808125,4.0,0.25,0.964125,0.964125
64,1,cool,5,1.49648046875,0.011513965254160855,0.008484569335937501,0.0001015625,0.001062097206825063,0.0032198175208122456,14.625690150383804,8,8,0.0,none,1.985921875,4.0,0.25,0.973625,0.973625
64,1,cool,4.5,1.49910546875,0.005400747685415736,0.0018667568359374998,3.3854166666666665e-05,0.0004342318285718207,0.000873312263898755,14.407125085195322,8,8,0.0,none,1.996421875,4.0,0.25,0.9931875,0.9931875
64,1,cool,4,1.4997890625,0.002558769674295393,0.00041902734375000013,1.8229166666666668e-05,0.00011342498532034657,0.00022346657270727388,4.485424517613963,8,8,0.0,none,1.99915625,4.0,0.25,0.9983125,0.9983125
64,1,cool,3.5,1.4998671875,0.0020329169842479428,0.00026449609375000003,7.8125e-06,0.00013254660884240004,0.0002615964431076323,8.365019320916417,8,8,0.0,none,1.99946875,4.0,0.25,0.9989375,0.9989375
