N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac
36,0,cool,100,0.5248819444444445,0.07119126308353443,0.18245505381944443,0.40875925925925927,0.0011816094788276044,0.004085699249908684,0.49901264013621427,6,6,0.0,none,0.03522916666666667,1.0,1.0,0.0,0.0
36,0,cool,30,0.5952152777777778,0.07280629179277157,0.19082722048611106,0.30717824074074074,0.0012073077684830475,0.004128852348934233,0.5489099160410829,6,6,0.0,none,0.057986111111111106,1.0,1.0,0.0,0.0
36,0,cool,20,0.6403819444444445,0.07185999407229997,0.1858989149305555,0.24426157407407406,0.0015288426755244067,0.0033403964775368888,0.7356274211650895,6,6,0.0,none,0.07822916666666667,1.0,1.0,0.0,0.0
36,0,cool,15,0.6950069444444446,0.07098752247287139,0.18141222048611114,0.18736805555555555,0.0014309134447147553,0.0037585054444951786,1.0684565795770986,6,6,0.0,none,0.10888888888888888,1.0,1.0,0.0,0.0
36,0,cool,12,0.7435208333333333,0.07311069126388653,0.19242623437500006,0.14264351851851853,0.0019674835616577666,0.006802271319281,2.0169454991913778,6,6,0.0,none,0.1452013888888889,1.0,1.0,0.0,0.0
36,0,cool,10,0.7972222222222223,0.07565047142721912,0.20602777777777784,0.10315972222222222,0.002956077792305023,0.007642916461385108,2.878712839673899,6,6,0.0,none,0.1956111111111111,1.0,1.0,0.0,0.0
36,0,cool,9,0.8265972222222222,0.07425916906224317,0.1985192708333333,0.08398379629629629,0.003964323543871495,0.011394830597616156,4.346283509692335,6,6,0.0,none,0.2281597222222222,1.0,1.0,0.0,0.0
36,0,cool,8,0.9506180555555556,0.15774832211718462,0.8958431927083332,0.05129398148148148,0.03067627040210374,0.27120680533830116,162.53920845982955,6,6,0.0,none,0.45073611111111117,1.13625,0.9394444444444444,0.04188888888888889,0.04188888888888889
36,0,cool,7.5,1.2747430555555557,0.1264035841197468,0.5752031788194446,0.018094907407407407,0.023672742786770846,0.24983506092126914,160.04706233602266,6,6,0.0,none,1.2111458333333334,1.8695,0.6135555555555556,0.3065555555555555,0.3065555555555555
36,0,cool,7,1.2348402777777778,0.15087299186400766,0.8194557482638891,0.01556712962962963,0.028436805434388573,0.1788992641311109,148.7777700267768,6,6,0.0,none,1.1050694444444444,1.697,0.6902222222222222,0.2728888888888889,0.2728888888888889
