N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus
160,0,cool,177.8,0.1294484375,0.02532998002730349,0.10265726210937501,0.8781916666666667,0.0002702617432657585,0.0026476203804024147,0.5151321199130245,16,10,1.0,none,0.000325
160,0,cool,100,0.13638124999999998,0.02600815602243842,0.10822786874999998,0.8558979166666667,0.0004276390844198374,0.003145031487819794,0.4847977105777725,16,10,1.0,none,0.000346875
160,0,cool,79.4,0.14114374999999998,0.02654566451772304,0.11274756875000001,0.843096875,0.00035813181799792637,0.0020163953809918273,0.5066539110751062,16,10,1.0,none,0.00048125
160,0,cool,63.1,0.1467515625,0.026682530229226648,0.11391318710937501,0.8260890625,0.00039146714017390894,0.002937489970330459,0.5295683853983411,16,10,1.0,none,0.0005015625000000001
160,0,cool,39.8,0.1639375,0.027563562904675442,0.12156,0.7761203125,0.00039754712520380885,0.003369181082229885,0.4987212192857614,16,10,1.0,none,0.0006374999999999999
160,0,cool,31.6,0.17775468749999998,0.02815032848213931,0.126790558984375,0.7396635416666667,0.0005113006253491413,0.0022528805424575807,0.5180647098420412,16,10,1.0,none,0.0008734375000000001
160,0,cool,25.1,0.19390625,0.02948839483063634,0.13913046874999999,0.6936875,0.0005139433009219021,0.003617473692338657,0.49871124569495434,16,10,1.0,none,0.0010984375
160,0,cool,15.85,0.24831718749999998,0.03193759444549391,0.163201590234375,0.5603130208333333,0.000494998741751873,0.0037924112594006176,0.6359647337413199,16,10,1.0,none,0.0023765624999999998
160,0,cool,10,0.345840625,0.033129486577056624,0.1756100609375,0.36201979166666665,0.0008098502727163532,0.003642285977180721,0.86896964382638,16,10,1.0,none,0.0064328125
160,0,cool,7.94,0.4176296875,0.03359897891718353,0.18062262148437497,0.2509635416666667,0.0008368497907657544,0.005529848566874124,1.6954673729177685,16,10,1.0,none,0.0119765625
160,0,cool,6.31,0.51045625,0.032538781548907145,0.16940356875000004,0.14505104166666666,0.0010776220167463923,0.007169210564928786,2.8993437207006387,16,10,1.0,none,0.0226125
160,0,cool,6.03,0.5321312500000001,0.034381601070739856,0.18913511874999997,0.12629583333333333,0.0014877122476725788,0.007547369213749736,4.521152585455697,16,10,1.0,none,0.026540625
160,0,cool,5.89,0.54115,0.03377542098183234,0.18252465,0.11888697916666667,0.0012277365249782294,0.008872998210230689,3.704008228868631,16,10,1.0,none,0.0278078125
160,0,cool,5.75,0.5550796875000001,0.032040737885968604,0.164257421484375,0.1087109375,0.0015509763121528894,0.008169424974936145,5.461626427175808,16,10,1.0,none,0.0300546875
160,0,cool,5.62,0.5615203124999999,0.031220410639953854,0.155954246484375,0.10286302083333333,0.00133438197040041,0.0072743948690501496,4.958414184185642,16,10,1.0,none,0.03080625
160,0,cool,5.01,0.61658125,0.030365990819294864,0.14753494374999998,0.06725729166666666,0.001956538670853938,0.011158376070982662,7.471147313345876,16,10,1.0,none,0.0434671875
160,0,cool,3.98,0.7308734375,0.028294365009814124,0.128091374609375,0.025724479166666668,0.001969329143676293,0.010405512931369295,18.317531787819448,16,10,1.0,none,0.080925
160,0,cool,2.0,0.9768031249999999,0.02234474888501492,0.07988604843750009,0.0013786458333333333,0.004742731394109301,0.011265521883821268,354.57249615779233,16,10,1.0,none,0.2435609375
160,0,cool,0.562,1.0162828125,0.0030549808043331492,0.0014932652343750425,0.0002494791666666667,0.0005176184380904875,0.00012287276320773667,68.94520496302519,16,10,1.0,none,0.25888125
160,0,cool,0.316,1.0157484375,0.0031225611577027643,0.0015600621093750443,0.00023802083333333333,0.00047554578507355273,5.06477210984754e-05,46.758366284582664,16,10,1.0,none,0.25674375
160,0,cool,0.178,1.0160437500000001,0.0030968166619127248,0.0015344437500000435,0.0002265625,0.00045227514677318673,7.817124087166403e-05,91.52492899013129,16,10,1.0,none,0.257925
160,0,cool,0.1,1.017084375,0.0027633041109105627,0.0012217359375000345,0.0002375,0.0004372259857971511,0.00019948668968655146,168.4278492126575,16,10,1.0,none,0.2620875
160,0,heat,0.1,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,0,heat,0.178,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,0,heat,0.316,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,0,heat,0.562,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,0,heat,2.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,0,heat,3.98,0.7277140624999999,0.0309653769211856,0.15341673085937502,0.018774479166666667,0.0031745252675412427,0.01676767276120167,20.078636570198338,16,10,1.0,none,0.0828546875
160,0,heat,5.01,0.6160234375,0.03205490647012706,0.164402724609375,0.06843958333333333,0.0019827174867799004,0.013168730885221752,7.492541357294936,16,10,1.0,none,0.0441578125
160,0,heat,5.62,0.561975,0.032483736315270136,0.1688309,0.10230989583333333,0.00188458597465315,0.00821315368433932,4.685136982370866,16,10,1.0,none,0.0318625
160,0,heat,5.75,0.5517687499999999,0.031617471312353554,0.15994631874999998,0.11051041666666667,0.0016180537871152627,0.007244409252711416,3.8862159796037306,16,10,1.0,none,0.029679687500000003
160,0,heat,5.89,0.5402437500000001,0.03396303079728751,0.18455799374999998,0.11936979166666667,0.0018429518677453693,0.010342240398251566,3.629331750080662,16,10,1.0,none,0.027396874999999998
160,0,heat,6.03,0.5302437500000001,0.03243658416337177,0.16834111875000005,0.12654010416666667,0.0013736015301793086,0.00862763087489889,3.9090158012067935,16,10,1.0,none,0.0254453125
160,0,heat,6.31,0.5088453125,0.03358833819054381,0.18050823398437502,0.145975,0.001450513627995273,0.008415445269418672,3.7009038347282606,16,10,1.0,none,0.0225453125
160,0,heat,7.94,0.42021718750000003,0.0339934175828916,0.18488839023437498,0.24820885416666666,0.0011123159819894067,0.005474656637554186,1.578709152794989,16,10,1.0,none,0.01214375
160,0,heat,10,0.3471765625,0.03266106240707111,0.170679199609375,0.3611010416666667,0.0008074297754572346,0.004250732588709057,1.0740468031322663,16,10,1.0,none,0.0064546875
160,0,heat,15.85,0.2470453125,0.031241409717750315,0.156164108984375,0.5608380208333333,0.0006225928437289487,0.002470800706019633,0.5998362543411383,16,10,1.0,none,0.0022671875
160,0,heat,25.1,0.1943640625,0.029291168235853857,0.137275605859375,0.6936640625,0.0004450791315154497,0.0035402405011444736,0.47233543749106055,16,10,1.0,none,0.0010125
160,0,heat,31.6,0.1768328125,0.027894019882670977,0.12449221523437501,0.7407802083333334,0.00046606006280164325,0.00243958741984504,0.5534146963967304,16,10,1.0,none,0.00078125
160,0,heat,39.8,0.16444843750000002,0.027247464000042163,0.11878788710937499,0.7753020833333333,0.00033600392184920697,0.0023488384733127724,0.4788543599774489,16,10,1.0,none,0.000684375
160,0,heat,63.1,0.1467828125,0.026883561454257576,0.11563614023437499,0.8267578125,0.0004208739510307689,0.0026239247243890064,0.5047822672461376,16,10,1.0,none,0.0004859375
160,0,heat,79.4,0.140896875,0.026025909378624503,0.10837567343749999,0.843159375,0.0003922975280294873,0.002375548846874755,0.4721851179355389,16,10,1.0,none,0.000428125
160,0,heat,100,0.136896875,0.02518307013619219,0.10146992343750001,0.8562473958333333,0.00037553914347408584,0.002485773395567489,0.46239175724482245,16,10,1.0,none,0.00038124999999999997
160,0,heat,177.8,0.1294859375,0.025728514198668638,0.10591303085937501,0.878778125,0.000499456699541409,0.0017450092874362483,0.4657085897350304,16,10,1.0,none,0.0003296875
160,1,cool,177.8,0.1291,0.02535194765693555,0.10283540000000001,0.8782463541666666,0.00044602261840943864,0.0018257504490334204,0.5220820687085072,16,10,1.0,none,0.0003296875
160,1,cool,100,0.13665156250000002,0.02566408751901368,0.10538326210937501,0.8562151041666667,0.00031476096292154337,0.0023389393681115585,0.5259871120395907,16,10,1.0,none,0.0004046875
160,1,cool,79.4,0.1415015625,0.026201838211919286,0.10984581210937498,0.8430088541666667,0.000359202004557498,0.002300533770806056,0.4877571735076965,16,10,1.0,none,0.00041562500000000003
160,1,cool,63.1,0.1473046875,0.02645919133594872,0.11201420898437502,0.8257770833333333,0.00037215473690808314,0.0018539040918258822,0.5096288186789346,16,10,1.0,none,0.0004734375
160,1,cool,39.8,0.1645078125,0.027449206242437026,0.120553427734375,0.776259375,0.0003714514481858638,0.002231583329049834,0.4994893197289408,16,10,1.0,none,0.0006328125
160,1,cool,31.6,0.1770546875,0.02799147012756464,0.125363583984375,0.7392645833333333,0.0004317436605643446,0.002049501284099276,0.5319652804565852,16,10,1.0,none,0.0008453125
160,1,cool,25.1,0.19448906249999998,0.029379166551250113,0.13810166835937496,0.69268125,0.00038824778220953834,0.003106883493035871,0.5126140879720255,16,10,1.0,none,0.0010546875
160,1,cool,15.85,0.2483046875,0.03127853287244054,0.156535458984375,0.5607625,0.0006008450559420464,0.002570729823769613,0.6448560469077922,16,10,1.0,none,0.0022875
160,1,cool,10,0.346725,0.03373172190238737,0.18205264999999998,0.36189895833333335,0.00047552490565525246,0.0032801292215011743,0.9326460686497633,16,10,1.0,none,0.0064390625
160,1,cool,7.94,0.4184359375,0.033768932732188825,0.182454530859375,0.2499078125,0.0008715492263465748,0.0036904972337013266,2.129835911942156,16,10,1.0,none,0.0119015625
160,1,cool,6.31,0.509196875,0.03284771191018295,0.1726355484375,0.1457296875,0.0010526720933756544,0.007512458714083235,2.950008443446524,16,10,1.0,none,0.0226625
160,1,cool,6.03,0.530646875,0.03424788300368908,0.1876667984375,0.12715572916666668,0.0015347962675103367,0.006567047843343934,3.544843256629814,16,10,1.0,none,0.025665624999999997
160,1,cool,5.89,0.5421156249999999,0.033096755499737056,0.1752632359375,0.117834375,0.0014009797281270896,0.006495402442506793,4.120672685922144,16,10,1.0,none,0.0277015625
160,1,cool,5.75,0.5565328125,0.03217123523374326,0.16559814023437502,0.10766875,0.0010970186088325932,0.007423345049971474,4.390699646748299,16,10,1.0,none,0.030449999999999998
160,1,cool,5.62,0.564425,0.03245196931620638,0.16850085,0.10074010416666666,0.0021890329908699807,0.008605499395284402,5.367087920243402,16,10,1.0,none,0.0325
160,1,cool,5.01,0.618278125,0.0322891596977124,0.16681437343749997,0.06773177083333333,0.002013568020602669,0.008762680736723486,7.883598960361994,16,10,1.0,none,0.0443390625
160,1,cool,3.98,0.7311578125000001,0.029931583730064198,0.143343952734375,0.025259375,0.002835493062094407,0.010654580488815448,24.123834330183552,16,10,1.0,none,0.0828
160,1,cool,2.0,0.9830687499999999,0.017054392533523463,0.04653636875000013,0.0008619791666666667,0.0037368429581802615,0.006978555466256785,488.5909225272893,16,10,1.0,none,0.20264218750000002
160,1,cool,0.562,0.9875000000000003,2.220446049250313e-16,7.888609052210118e-30,0.00015885416666666665,3.3306690738754696e-16,0.0,nan,16,10,1.0,none,0.1375
160,1,cool,0.316,0.9875000000000003,2.220446049250313e-16,7.888609052210118e-30,0.00012291666666666665,3.3306690738754696e-16,0.0,nan,16,10,1.0,none,0.1375
160,1,cool,0.178,0.9875000000000003,2.220446049250313e-16,7.888609052210118e-30,0.00013958333333333333,3.3306690738754696e-16,0.0,nan,16,10,1.0,none,0.1375
160,1,cool,0.1,0.9875000000000003,2.220446049250313e-16,7.888609052210118e-30,0.00010104166666666667,3.3306690738754696e-16,0.0,nan,16,10,1.0,none,0.1375
160,1,heat,0.1,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,1,heat,0.178,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,1,heat,0.316,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,1,heat,0.562,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,1,heat,2.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,1,heat,3.98,0.7330562500000001,0.02900665265826962,0.13462174375,0.02141875,0.0029276651374084543,0.010104863284623093,25.173003981228142,16,10,1.0,none,0.08140937499999999
160,1,heat,5.01,0.6184578125000001,0.0315563511569358,0.159328527734375,0.06756197916666666,0.0017106623618128316,0.009833440194955015,6.798582146098785,16,10,1.0,none,0.044578125
