N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac,swap_rate,round_trips
64,0,temper,8.0,0.6218046875,0.05039584456978912,0.16254343359375,0.14233684895833326,0.0004501713458615134,0.0020368906100389204,1.8059364449209778,16,4,1.25,none,0.048595703125,1.0,1.0,0.0,0.0,0.35833333333333334,9
64,0,temper,6.5,0.685251171875,0.047956433156028024,0.14718844678710938,0.08831184895833345,0.0006459927309266218,0.001686870550529924,2.826012872696739,16,4,1.25,none,0.066104296875,1.0,1.0,0.0,0.0,0.3448333333333333,9
64,0,temper,5.4,0.745125390625,0.04471043063166902,0.12793744686523437,0.051904557291666646,0.0005772542854075347,0.002555164947127948,4.711731467851654,16,4,1.25,none,0.085371484375,1.0,1.0,0.0,0.0,0.32216666666666666,9
64,0,temper,4.5,0.803373828125,0.041919960105745974,0.11246611553710939,0.028161197916666686,0.0009190710412980266,0.0015639451323722145,9.253948660587842,16,4,1.25,none,0.10413125,1.0,1.0,0.0,0.0,0.308,9
64,0,temper,3.8,0.85608046875,0.0379513600785469,0.0921795668359375,0.014218619791666639,0.0007835361401628407,0.002559277447818522,16.197019287224784,16,4,1.25,none,0.114975,1.0,1.0,0.0,0.0,0.33466666666666667,9
64,0,temper,3.3,0.9010328125,0.036325388976270356,0.08445016859375,0.0069683593750000175,0.0016498365313457458,0.003450579978001116,40.58256856865596,16,4,1.25,none,0.1133734375,1.00225,0.99923203125,0.0,0.0,0.2875,9
64,0,temper,2.9,0.945617578125,0.030027732845448827,0.05770654334960936,0.0029707031249998263,0.002881303258959871,0.004278135845709571,207.38132021523984,16,4,1.25,none,0.08449140625,1.0281,0.99101015625,0.0,0.0,0.44516666666666665,9
64,0,temper,2.6,0.96684765625,0.020619240066333335,0.0272097958984375,0.00157760416666666,0.0016282854440969159,0.0023998385118673823,97.54665862337545,16,4,1.25,none,0.05772421875,1.082675,0.9739140625,0.0,0.0,0.6041666666666666,9
64,0,temper,2.35,0.975667578125,0.01545508846202106,0.015287024599609376,0.0011170572916667505,0.0008489743740496342,0.001332752403756597,7.338983046734868,16,4,1.25,none,0.037294921875,1.125575,0.959996875,0.0,0.0,0.7761666666666667,9
64,0,temper,2.15,0.978690234375,0.013963246690802013,0.012478224521484376,0.0009682291666667327,0.0005442032999232373,0.0010321061936944557,3.7762610940307284,16,4,1.25,none,0.032101953125,1.1637,0.9472421875,0.0,0.0,0.8305,9
