N,replica,sweep,phi,surplus,pieces,largest_frac,baby_frac,cube_frac,lx,ly,lam,cap,g
100,0,10,0.71,0.02,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,20,0.76,0.04,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,30,0.81,0.07,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,40,0.85,0.14,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,50,0.89,0.16,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,60,0.9,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,70,0.91,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,80,0.92,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,90,0.92,0.18,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,100,0.92,0.18,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,110,0.92,0.18,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,120,0.92,0.18,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,130,0.92,0.18,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,140,0.92,0.18,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,150,0.92,0.18,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,160,0.92,0.18,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,170,0.92,0.18,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,180,0.93,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,190,0.93,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,200,0.93,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,210,0.93,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,220,0.93,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,230,0.93,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,240,0.93,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,250,0.93,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,260,0.93,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,270,0.94,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,280,0.94,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,290,0.94,0.21,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,300,0.94,0.21,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,310,0.94,0.21,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,320,0.94,0.21,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,330,0.94,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,340,0.94,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,350,0.94,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,360,0.94,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,370,0.94,0.19,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,380,0.94,0.19,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,390,0.94,0.19,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,400,0.94,0.19,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,410,0.94,0.19,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,420,0.94,0.19,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,430,0.95,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,440,0.95,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,450,0.95,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,460,0.96,0.22,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,470,0.96,0.22,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,480,0.96,0.22,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,490,0.96,0.22,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,500,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,510,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,520,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,530,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,540,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,550,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,560,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,570,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,580,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,590,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,600,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,610,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,620,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,630,0.96,0.19,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,640,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,650,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,660,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,670,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,680,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,690,0.98,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
