N,replica,sweep,phi,surplus,pieces,largest_frac,baby_frac,cube_frac,lx,ly,lam,cap,g,energy
64,0,50,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,100,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,150,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,200,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,250,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,300,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,350,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,400,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,450,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,500,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,550,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,600,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,650,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,700,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,750,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,800,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,850,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,900,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,950,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1000,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1050,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1100,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1150,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1200,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1250,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1300,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1350,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1400,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1450,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1500,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1550,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1600,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1650,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1700,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1750,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1800,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1850,0.96875,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.5
64,0,1900,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,1950,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,2000,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,2050,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
