N,lx,ly,spark,replica,left,first_change,phi_start,phi_end,energy_start,energy_end,lowest_energy,demon_end,acceptance,lam,cap
48,12,4,4.0,0,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.005191840277777778,1.25,none
48,12,4,4.0,1,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.005191840277777778,1.25,none
48,12,4,4.0,2,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.005233506944444444,1.25,none
48,12,4,4.0,3,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0053359375,1.25,none
48,12,4,4.0,4,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.005184027777777778,1.25,none
48,12,4,4.0,5,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.005298611111111111,1.25,none
48,12,4,4.0,6,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.005126736111111111,1.25,none
48,12,4,4.0,7,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0052664930555555555,1.25,none
48,12,4,8.0,0,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.005191840277777778,1.25,none
48,12,4,8.0,1,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.005191840277777778,1.25,none
48,12,4,8.0,2,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.005233506944444444,1.25,none
48,12,4,8.0,3,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0053359375,1.25,none
48,12,4,8.0,4,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.005184027777777778,1.25,none
48,12,4,8.0,5,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.005298611111111111,1.25,none
48,12,4,8.0,6,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.005126736111111111,1.25,none
48,12,4,8.0,7,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0052664930555555555,1.25,none
48,12,4,10.0,0,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.005191840277777778,1.25,none
48,12,4,10.0,1,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.005191840277777778,1.25,none
48,12,4,10.0,2,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.005233506944444444,1.25,none
48,12,4,10.0,3,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0053359375,1.25,none
48,12,4,10.0,4,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.005184027777777778,1.25,none
48,12,4,10.0,5,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.005298611111111111,1.25,none
48,12,4,10.0,6,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.005126736111111111,1.25,none
48,12,4,10.0,7,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0052664930555555555,1.25,none
48,12,4,11.0,0,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.005191840277777778,1.25,none
48,12,4,11.0,1,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.005191840277777778,1.25,none
48,12,4,11.0,2,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.005233506944444444,1.25,none
48,12,4,11.0,3,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0053359375,1.25,none
48,12,4,11.0,4,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.005184027777777778,1.25,none
48,12,4,11.0,5,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.005298611111111111,1.25,none
48,12,4,11.0,6,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.005126736111111111,1.25,none
48,12,4,11.0,7,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0052664930555555555,1.25,none
48,12,4,11.5,0,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.005191840277777778,1.25,none
48,12,4,11.5,1,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.005191840277777778,1.25,none
48,12,4,11.5,2,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.005233506944444444,1.25,none
48,12,4,11.5,3,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0053359375,1.25,none
48,12,4,11.5,4,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.005184027777777778,1.25,none
48,12,4,11.5,5,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.005298611111111111,1.25,none
48,12,4,11.5,6,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.005126736111111111,1.25,none
48,12,4,11.5,7,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0052664930555555555,1.25,none
48,12,4,12.0,0,True,9,1.2083333333333333,1.0208333333333333,1.25,1.125,0.6666666666666666,6.0,0.002646701388888889,1.25,none
48,12,4,12.0,1,True,12,1.2083333333333333,0.9583333333333334,1.25,1.1875,0.7291666666666666,3.0,0.003290798611111111,1.25,none
48,12,4,12.0,2,True,4,1.2083333333333333,1.0,1.25,0.9375,0.7083333333333334,15.0,0.003519097222222222,1.25,none
48,12,4,12.0,3,True,5,1.2083333333333333,0.9791666666666666,1.25,1.1666666666666667,0.7291666666666666,4.0,0.003120659722222222,1.25,none
48,12,4,12.0,4,True,8,1.2083333333333333,1.0,1.25,1.25,0.4166666666666667,0.0,0.0034131944444444444,1.25,none
48,12,4,12.0,5,True,2,1.25,0.9583333333333334,1.0,1.1875,0.7083333333333334,3.0,0.0038272569444444443,1.25,none
48,12,4,12.0,6,True,17,1.2083333333333333,1.0,1.25,1.0416666666666667,0.4166666666666667,10.0,0.0045529513888888885,1.25,none
48,12,4,12.0,7,True,3,1.25,0.9583333333333334,1.0,1.1875,0.7708333333333334,3.0,0.003890625,1.25,none
48,12,4,13.0,0,True,9,1.2083333333333333,0.9375,1.25,1.2083333333333333,0.6666666666666666,3.0,0.0027690972222222223,1.25,none
48,12,4,13.0,1,True,12,1.2083333333333333,0.9791666666666666,1.25,1.2708333333333333,0.6666666666666666,0.0,0.002390625,1.25,none
48,12,4,13.0,2,True,4,1.2083333333333333,0.9791666666666666,1.25,1.2708333333333333,0.5833333333333334,0.0,0.0029131944444444444,1.25,none
48,12,4,13.0,3,True,5,1.2083333333333333,0.9791666666666666,1.25,1.2708333333333333,0.6666666666666666,0.0,0.002605034722222222,1.25,none
48,12,4,13.0,4,True,8,1.2083333333333333,0.9583333333333334,1.25,0.9791666666666666,0.625,14.0,0.003650173611111111,1.25,none
48,12,4,13.0,5,True,2,1.25,0.9375,1.0,1.2083333333333333,0.6666666666666666,3.0,0.0028463541666666667,1.25,none
48,12,4,13.0,6,True,17,1.2083333333333333,0.9791666666666666,1.25,1.2708333333333333,0.5208333333333334,0.0,0.002390625,1.25,none
48,12,4,13.0,7,True,3,1.25,0.9583333333333334,1.0,1.1875,0.6041666666666666,4.0,0.0023897569444444444,1.25,none
48,12,4,16.0,0,True,9,1.2083333333333333,0.9583333333333334,1.25,1.2916666666666667,0.6666666666666666,2.0,0.002892361111111111,1.25,none
48,12,4,16.0,1,True,16,1.1666666666666667,0.9791666666666666,1.2916666666666667,1.2708333333333333,0.8541666666666666,3.0,0.0025885416666666665,1.25,none
48,12,4,16.0,2,True,13,1.1666666666666667,0.9375,1.2916666666666667,1.2083333333333333,0.6666666666666666,6.0,0.0024053819444444444,1.25,none
48,12,4,16.0,3,True,5,1.2083333333333333,0.9375,1.25,1.2083333333333333,0.8333333333333334,6.0,0.0026197916666666665,1.25,none
48,12,4,16.0,4,True,8,1.2083333333333333,0.9375,1.25,1.3125,0.7083333333333334,1.0,0.004360243055555556,1.25,none
48,12,4,16.0,5,True,13,1.1666666666666667,0.9375,1.2916666666666667,1.2083333333333333,0.6666666666666666,6.0,0.0035494791666666665,1.25,none
48,12,4,16.0,6,True,17,1.2083333333333333,0.9375,1.25,1.3125,0.6666666666666666,1.0,0.003068576388888889,1.25,none
48,12,4,16.0,7,True,2,1.25,0.9375,1.0,1.3125,0.875,1.0,0.0029175347222222224,1.25,none
64,16,4,4.0,0,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.003940755208333333,1.25,none
64,16,4,4.0,1,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.003848958333333333,1.25,none
64,16,4,4.0,2,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0038326822916666665,1.25,none
64,16,4,4.0,3,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.003897135416666667,1.25,none
64,16,4,4.0,4,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.003891927083333333,1.25,none
64,16,4,4.0,5,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0038626302083333334,1.25,none
64,16,4,4.0,6,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.003888020833333333,1.25,none
64,16,4,4.0,7,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.003942057291666667,1.25,none
64,16,4,8.0,0,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.003940755208333333,1.25,none
64,16,4,8.0,1,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.003848958333333333,1.25,none
64,16,4,8.0,2,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0038326822916666665,1.25,none
64,16,4,8.0,3,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.003897135416666667,1.25,none
64,16,4,8.0,4,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.003891927083333333,1.25,none
64,16,4,8.0,5,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0038626302083333334,1.25,none
