N,lx,ly,spark,replica,left,first_change,phi_start,phi_end,energy_start,energy_end,lowest_energy,demon_end,acceptance,lam,cap
64,16,4,12.0,0,True,1,1.25,0.9375,1.0,1.15625,0.71875,2.0,0.002279375,1.25,none
64,16,4,12.0,1,True,1,1.25,1.0,1.0,0.9375,0.734375,16.0,0.00182625,1.25,none
64,16,4,12.0,2,True,1,1.25,0.953125,1.0,1.140625,0.65625,3.0,0.0023490625,1.25,none
64,16,4,12.0,3,True,1,1.25,0.984375,1.0,1.1875,0.8125,0.0,0.0023225,1.25,none
64,16,4,12.0,4,True,1,1.25,0.96875,1.0,1.125,0.71875,4.0,0.0021315625,1.25,none
64,16,4,12.0,5,True,1,1.25,1.015625,1.0,1.078125,0.75,7.0,0.0021553125,1.25,none
64,16,4,12.0,6,True,1,1.25,0.9375,1.0,1.15625,0.734375,2.0,0.0017103125,1.25,none
64,16,4,12.0,7,True,1,1.25,0.953125,1.0,1.140625,0.765625,3.0,0.0021828125,1.25,none
64,16,4,12.0,8,True,1,1.25,0.953125,1.0,1.140625,0.75,3.0,0.0022275,1.25,none
64,16,4,12.0,9,True,1,1.25,0.953125,1.0,1.140625,0.71875,3.0,0.0020990625,1.25,none
64,16,4,24.0,0,True,1,1.25,0.953125,1.0,1.375,0.890625,0.0,0.0022153125,1.25,none
64,16,4,24.0,1,True,1,1.25,0.953125,1.0,1.375,0.90625,0.0,0.0024065625,1.25,none
64,16,4,24.0,2,True,1,1.25,0.96875,1.0,1.359375,0.890625,1.0,0.00227,1.25,none
64,16,4,24.0,3,True,1,1.25,0.9375,1.0,1.3125,0.90625,4.0,0.00250125,1.25,none
64,16,4,24.0,4,True,1,1.25,0.953125,1.0,1.375,0.90625,0.0,0.0024665625,1.25,none
64,16,4,24.0,5,True,1,1.25,0.953125,1.0,1.375,0.96875,0.0,0.0024853125,1.25,none
64,16,4,24.0,6,True,1,1.25,0.953125,1.0,1.296875,0.96875,5.0,0.002366875,1.25,none
64,16,4,24.0,7,True,1,1.25,0.953125,1.0,1.21875,0.984375,10.0,0.0024809375,1.25,none
64,16,4,24.0,8,True,1,1.25,0.953125,1.0,1.375,0.90625,0.0,0.0022921875,1.25,none
64,16,4,24.0,9,True,1,1.25,0.9375,1.0,1.3125,0.953125,4.0,0.0023278125,1.25,none
64,16,4,48.0,0,True,1,1.25,0.9375,1.0,1.625,1.28125,8.0,0.0042209375,1.25,none
64,16,4,48.0,1,True,1,1.25,0.921875,1.0,1.71875,1.28125,2.0,0.00359875,1.25,none
64,16,4,48.0,2,True,1,1.25,0.921875,1.0,1.640625,1.375,7.0,0.0035775,1.25,none
64,16,4,48.0,3,True,1,1.25,0.921875,1.0,1.640625,1.28125,7.0,0.00371875,1.25,none
64,16,4,48.0,4,True,1,1.25,0.921875,1.0,1.71875,1.234375,2.0,0.0038759375,1.25,none
64,16,4,48.0,5,True,1,1.25,0.90625,1.0,1.734375,1.3125,1.0,0.003739375,1.25,none
64,16,4,48.0,6,True,1,1.25,0.921875,1.0,1.71875,1.21875,2.0,0.0037509375,1.25,none
64,16,4,48.0,7,True,1,1.25,0.90625,1.0,1.734375,1.3125,1.0,0.0037309375,1.25,none
64,16,4,48.0,8,True,1,1.25,0.9375,1.0,1.703125,1.28125,3.0,0.0039646875,1.25,none
64,16,4,48.0,9,True,1,1.25,0.921875,1.0,1.71875,1.359375,2.0,0.003481875,1.25,none
64,16,4,96.0,0,True,1,1.25,0.875,1.0,2.390625,1.984375,7.0,0.0083225,1.25,none
64,16,4,96.0,1,True,1,1.25,0.875,1.0,2.46875,2.03125,2.0,0.0082559375,1.25,none
64,16,4,96.0,2,True,1,1.25,0.9375,1.0,2.484375,2.015625,1.0,0.0081659375,1.25,none
64,16,4,96.0,3,True,1,1.25,0.84375,1.0,2.5,1.921875,0.0,0.0081921875,1.25,none
64,16,4,96.0,4,True,1,1.25,0.890625,1.0,2.453125,1.875,3.0,0.0083490625,1.25,none
64,16,4,96.0,5,True,1,1.25,0.875,1.0,2.46875,1.96875,2.0,0.008410625,1.25,none
64,16,4,96.0,6,True,1,1.25,0.859375,1.0,2.484375,1.96875,1.0,0.008224375,1.25,none
64,16,4,96.0,7,True,1,1.25,0.875,1.0,2.46875,1.875,2.0,0.0084046875,1.25,none
64,16,4,96.0,8,True,1,1.25,0.890625,1.0,2.453125,2.046875,3.0,0.008294375,1.25,none
64,16,4,96.0,9,True,1,1.25,0.859375,1.0,2.484375,1.984375,1.0,0.0082525,1.25,none
64,16,4,160.0,0,True,1,1.25,0.859375,1.0,3.5,2.8125,0.0,0.021124375,1.25,none
64,16,4,160.0,1,True,1,1.25,0.796875,1.0,3.484375,2.953125,1.0,0.0212965625,1.25,none
64,16,4,160.0,2,True,1,1.25,0.8125,1.0,3.390625,2.765625,7.0,0.020945625,1.25,none
