N,lx,ly,g,replica,left,wait,n_sweeps,phi_start,acceptance,lam,cap
64,16,4,1.4,0,True,3725,40000,1.25,0.00037578125,1.25,none
64,16,4,1.4,1,True,6018,40000,1.25,0.00060078125,1.25,none
64,16,4,1.4,2,True,866,40000,1.25,0.0001,1.25,none
64,16,4,1.4,3,True,270,40000,1.25,0.000315625,1.25,none
64,16,4,1.4,4,True,3449,40000,1.25,0.000780078125,1.25,none
64,16,4,1.4,5,True,1053,40000,1.25,0.000121875,1.25,none
64,16,4,1.4,6,True,6283,40000,1.25,0.00069921875,1.25,none
64,16,4,1.4,7,True,4737,40000,1.25,0.00048515625,1.25,none
64,16,4,1.4,8,True,3563,40000,1.25,0.000352734375,1.25,none
64,16,4,1.4,9,True,1499,40000,1.25,0.000168359375,1.25,none
64,16,4,1.4,10,True,3143,40000,1.25,0.00031875,1.25,none
64,16,4,1.4,11,True,225,40000,1.25,4.6484375e-05,1.25,none
64,16,4,1.4,12,True,146,40000,1.25,2.3828125e-05,1.25,none
64,16,4,1.4,13,True,2739,40000,1.25,0.000473828125,1.25,none
64,16,4,1.4,14,True,2233,40000,1.25,0.00048671875,1.25,none
64,16,4,1.4,15,True,891,40000,1.25,0.0003212890625,1.25,none
64,16,4,1.5,0,True,544,40000,1.25,8.8671875e-05,1.25,none
64,16,4,1.5,1,True,6018,40000,1.25,0.000590625,1.25,none
64,16,4,1.5,2,True,866,40000,1.25,9.8828125e-05,1.25,none
64,16,4,1.5,3,True,270,40000,1.25,0.0003171875,1.25,none
64,16,4,1.5,4,True,2384,40000,1.25,0.000427734375,1.25,none
64,16,4,1.5,5,True,1019,40000,1.25,0.00011640625,1.25,none
64,16,4,1.5,6,True,5246,40000,1.25,0.000532421875,1.25,none
64,16,4,1.5,7,True,1165,40000,1.25,0.00012734375,1.25,none
64,16,4,1.5,8,True,756,40000,1.25,0.000198828125,1.25,none
64,16,4,1.5,9,True,1049,40000,1.25,0.00011796875,1.25,none
64,16,4,1.5,10,True,3143,40000,1.25,0.0003234375,1.25,none
64,16,4,1.5,11,True,225,40000,1.25,4.296875e-05,1.25,none
64,16,4,1.5,12,True,146,40000,1.25,2.421875e-05,1.25,none
64,16,4,1.5,13,True,622,40000,1.25,7.5390625e-05,1.25,none
64,16,4,1.5,14,True,2233,40000,1.25,0.00026953125,1.25,none
64,16,4,1.5,15,True,84,40000,1.25,1.71875e-05,1.25,none
64,16,4,1.6,0,True,544,40000,1.25,8.69140625e-05,1.25,none
64,16,4,1.6,1,True,4483,40000,1.25,0.0004453125,1.25,none
64,16,4,1.6,2,True,245,40000,1.25,4.2578125e-05,1.25,none
