N,replica,sweep,phi,surplus,pieces,largest_frac,baby_frac,cube_frac,lx,ly,lam,cap,g,energy
64,0,50,0.984375,0.28125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.9375
64,0,100,0.921875,0.09375,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.8125
64,0,150,0.953125,0.125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.5
64,0,200,0.9375,0.09375,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.5625
64,0,250,0.9375,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.46875
64,0,300,0.984375,0.140625,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.09375
64,0,350,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,400,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,450,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,500,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,550,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,600,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,650,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,700,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,750,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,800,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,850,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,900,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,950,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,1000,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,1050,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,1100,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,1150,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1200,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1250,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1300,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1350,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,1400,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,1450,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1500,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1550,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1600,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1650,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1700,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1750,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1800,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1850,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1900,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,1950,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2000,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2050,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2100,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2150,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2200,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2250,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2300,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2350,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2400,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2450,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2500,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2550,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2600,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2650,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2700,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2750,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2800,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2850,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2900,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,2950,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3000,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3050,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,3100,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,3150,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3200,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3250,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3300,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3350,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3400,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3450,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3500,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3550,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3600,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3650,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3700,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3750,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3800,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3850,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3900,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,3950,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4000,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4050,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4100,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4150,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4200,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4250,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4300,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4350,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4400,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4450,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4500,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4550,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4600,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4650,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4700,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4750,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4800,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4850,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4900,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,4950,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5000,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5050,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5100,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5150,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5200,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5250,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5300,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5350,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5400,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5450,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5500,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5550,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5600,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5650,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5700,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5750,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,5800,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5850,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5900,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,5950,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,6000,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,6050,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,6100,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,6150,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,6200,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,6250,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,6300,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,6350,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,6400,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,6450,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,6500,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,6550,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,6600,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,6650,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,6700,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,6750,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,6800,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,6850,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,6900,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,6950,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7000,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7050,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,7100,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,7150,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,7200,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7250,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7300,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7350,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7400,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7450,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7500,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7550,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7600,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7650,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7700,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7750,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7800,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7850,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7900,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,7950,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8000,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8050,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8100,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,8150,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8200,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8250,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8300,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8350,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8400,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8450,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8500,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,8550,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8600,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8650,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8700,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,8750,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8800,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8850,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8900,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,8950,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,9000,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,9050,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,9100,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,9150,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,9200,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,9250,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,9300,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,9350,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,9400,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,9450,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.96875
64,0,9500,0.953125,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.9375
64,0,9550,0.953125,0.046875,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.03125
64,0,9600,0.953125,0.046875,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.03125
64,0,9650,0.953125,0.046875,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.03125
64,0,9700,0.953125,0.046875,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.03125
64,0,9750,0.953125,0.046875,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.03125
64,0,9800,0.953125,0.046875,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.03125
64,0,9850,0.953125,0.046875,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.03125
64,0,9900,0.953125,0.046875,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.03125
64,0,9950,0.953125,0.046875,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.03125
64,0,10000,0.953125,0.046875,1,1.0,0.0,0.0,16,4,1.5,none,1.0,1.03125
64,0,10050,0.96875,0.0625,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.875
64,0,10100,0.96875,0.046875,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.78125
64,0,10150,0.96875,0.046875,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.78125
64,0,10200,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10250,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10300,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10350,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10400,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10450,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10500,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10550,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10600,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10650,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10700,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10750,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10800,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10850,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10900,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,10950,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,11000,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,11050,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,11100,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,11150,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,11200,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,11250,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,11300,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,11350,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
64,0,11400,0.96875,0.03125,1,1.0,0.0,0.0,16,4,1.5,none,1.0,0.6875
