N,replica,sweep,phi,surplus,pieces,largest_frac,baby_frac,cube_frac,lx,ly,lam,cap,g,energy
64,0,25,1.25,1.0,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.0
64,0,50,1.25,1.0,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.0
64,0,75,1.25,1.0,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.0
64,0,100,1.25,1.0,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.0
64,0,125,1.25,1.0,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.0
64,0,150,1.25,1.0,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.0
64,0,175,1.1875,0.84375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.21875
64,0,200,1.15625,0.71875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.09375
64,0,225,1.140625,0.6875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.1875
64,0,250,1.125,0.625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.125
64,0,275,1.125,0.625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.125
64,0,300,1.109375,0.5625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.0625
64,0,325,1.125,0.625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.125
64,0,350,1.109375,0.5625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.0625
64,0,375,1.09375,0.5,1,1.0,0.0,0.0,16,4,1.25,none,1.5,1.0
64,0,400,1.0625,0.375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.875
64,0,425,1.0,0.15625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.78125
64,0,450,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,475,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,500,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,525,1.03125,0.25,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.75
64,0,550,1.015625,0.203125,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.765625
64,0,575,1.0,0.15625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.78125
64,0,600,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,625,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,650,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,675,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,700,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,725,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,750,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,775,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,800,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,825,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,850,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,875,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,900,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,925,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,950,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,975,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,1000,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,1025,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,1050,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,1075,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,1100,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,1125,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,1150,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
