lam,lx,ly,dx,dy,distance,one_defect,pair,interaction,note
1.0,10,10,0,2,2,32.0,48.0,-16.0,
1.0,10,10,0,3,3,32.0,64.0,0.0,
1.0,10,10,0,4,4,32.0,64.0,0.0,
1.0,10,10,0,5,5,32.0,64.0,0.0,
1.0,10,10,1,2,3,32.0,64.0,0.0,
1.0,10,10,1,3,4,32.0,64.0,0.0,
1.0,10,10,1,4,5,32.0,64.0,0.0,
1.0,10,10,1,5,6,32.0,64.0,0.0,
1.0,10,10,2,0,2,32.0,64.0,0.0,
1.0,10,10,2,1,3,32.0,64.0,0.0,
1.0,10,10,2,2,4,32.0,64.0,0.0,
1.0,10,10,2,3,5,32.0,64.0,0.0,
1.0,10,10,2,4,6,32.0,64.0,0.0,
1.0,10,10,2,5,7,32.0,64.0,0.0,
1.0,10,10,3,0,3,32.0,64.0,0.0,
1.0,10,10,3,1,4,32.0,64.0,0.0,
1.0,10,10,3,2,5,32.0,64.0,0.0,
1.0,10,10,3,3,6,32.0,64.0,0.0,
1.0,10,10,3,4,7,32.0,64.0,0.0,
1.0,10,10,3,5,8,32.0,64.0,0.0,
1.0,10,10,4,0,4,32.0,64.0,0.0,
1.0,10,10,4,1,5,32.0,64.0,0.0,
1.0,10,10,4,2,6,32.0,64.0,0.0,
1.0,10,10,4,3,7,32.0,64.0,0.0,
1.0,10,10,4,4,8,32.0,64.0,0.0,
1.0,10,10,4,5,9,32.0,64.0,0.0,
1.0,10,10,5,0,5,32.0,64.0,0.0,
1.0,10,10,5,1,6,32.0,64.0,0.0,
1.0,10,10,5,2,7,32.0,64.0,0.0,
1.0,10,10,5,3,8,32.0,64.0,0.0,
1.0,10,10,5,4,9,32.0,64.0,0.0,
1.0,10,10,5,5,10,32.0,64.0,0.0,
1.25,10,10,0,2,2,32.0,48.0,-16.0,
1.25,10,10,0,3,3,32.0,64.0,0.0,
1.25,10,10,0,4,4,32.0,64.0,0.0,
1.25,10,10,0,5,5,32.0,64.0,0.0,
1.25,10,10,1,2,3,32.0,64.0,0.0,
1.25,10,10,1,3,4,32.0,64.0,0.0,
1.25,10,10,1,4,5,32.0,64.0,0.0,
1.25,10,10,1,5,6,32.0,64.0,0.0,
1.25,10,10,2,0,2,32.0,64.0,0.0,
1.25,10,10,2,1,3,32.0,64.0,0.0,
1.25,10,10,2,2,4,32.0,64.0,0.0,
1.25,10,10,2,3,5,32.0,64.0,0.0,
1.25,10,10,2,4,6,32.0,64.0,0.0,
1.25,10,10,2,5,7,32.0,64.0,0.0,
1.25,10,10,3,0,3,32.0,64.0,0.0,
1.25,10,10,3,1,4,32.0,64.0,0.0,
1.25,10,10,3,2,5,32.0,64.0,0.0,
1.25,10,10,3,3,6,32.0,64.0,0.0,
1.25,10,10,3,4,7,32.0,64.0,0.0,
1.25,10,10,3,5,8,32.0,64.0,0.0,
1.25,10,10,4,0,4,32.0,64.0,0.0,
1.25,10,10,4,1,5,32.0,64.0,0.0,
1.25,10,10,4,2,6,32.0,64.0,0.0,
1.25,10,10,4,3,7,32.0,64.0,0.0,
1.25,10,10,4,4,8,32.0,64.0,0.0,
1.25,10,10,4,5,9,32.0,64.0,0.0,
1.25,10,10,5,0,5,32.0,64.0,0.0,
1.25,10,10,5,1,6,32.0,64.0,0.0,
1.25,10,10,5,2,7,32.0,64.0,0.0,
1.25,10,10,5,3,8,32.0,64.0,0.0,
1.25,10,10,5,4,9,32.0,64.0,0.0,
1.25,10,10,5,5,10,32.0,64.0,0.0,
