N,lam,class_id,squares,surplus,pieces,in_babies,H,above_ground,way_out,is_dip
14,0.0,0,21,28,1,14,-112.0,0.0,inf,True
14,0.25,0,21,28,1,14,-84.0,0.0,inf,True
14,0.5,0,21,28,1,14,-56.0,0.0,inf,True
14,0.75,0,21,28,1,14,-28.0,0.0,inf,True
14,1.0,0,21,28,1,14,0.0,0.0,inf,True
14,1.25,0,21,28,1,14,28.0,0.0,inf,True
14,1.5,0,21,28,1,14,56.0,0.0,inf,True
14,2.0,0,21,28,1,14,112.0,0.0,inf,True
14,3.0,0,21,28,1,14,224.0,0.0,inf,True
16,0.0,0,24,32,1,16,-128.0,0.0,32.0,True
16,0.0,1,22,24,1,0,-96.0,32.0,-32.0,False
16,0.0,2,21,20,1,0,-80.0,48.0,-16.0,False
16,0.0,3,20,16,1,0,-64.0,64.0,-32.0,False
16,0.0,4,20,16,1,0,-64.0,64.0,-16.0,False
16,0.25,0,24,32,1,16,-96.0,0.0,24.0,True
16,0.25,1,22,24,1,0,-72.0,24.0,-24.0,False
16,0.25,2,21,20,1,0,-60.0,36.0,-12.0,False
16,0.25,3,20,16,1,0,-48.0,48.0,-24.0,False
16,0.25,4,20,16,1,0,-48.0,48.0,-12.0,False
16,0.5,0,24,32,1,16,-64.0,0.0,16.0,True
16,0.5,1,22,24,1,0,-48.0,16.0,-16.0,False
16,0.5,2,21,20,1,0,-40.0,24.0,-8.0,False
16,0.5,3,20,16,1,0,-32.0,32.0,-16.0,False
16,0.5,4,20,16,1,0,-32.0,32.0,-8.0,False
16,0.75,0,24,32,1,16,-32.0,0.0,8.0,True
16,0.75,1,22,24,1,0,-24.0,8.0,-8.0,False
16,0.75,2,21,20,1,0,-20.0,12.0,-4.0,False
16,0.75,3,20,16,1,0,-16.0,16.0,-8.0,False
16,0.75,4,20,16,1,0,-16.0,16.0,-4.0,False
16,1.0,0,24,32,1,16,0.0,0.0,0.0,False
16,1.0,1,22,24,1,0,0.0,0.0,0.0,False
16,1.0,2,21,20,1,0,0.0,0.0,0.0,False
16,1.0,3,20,16,1,0,0.0,0.0,0.0,False
16,1.0,4,20,16,1,0,0.0,0.0,0.0,False
16,1.25,0,24,32,1,16,32.0,16.0,-8.0,False
16,1.25,1,22,24,1,0,24.0,8.0,-8.0,False
16,1.25,2,21,20,1,0,20.0,4.0,-4.0,False
16,1.25,3,20,16,1,0,16.0,0.0,0.0,False
16,1.25,4,20,16,1,0,16.0,0.0,0.0,False
16,1.5,0,24,32,1,16,64.0,32.0,-16.0,False
16,1.5,1,22,24,1,0,48.0,16.0,-16.0,False
16,1.5,2,21,20,1,0,40.0,8.0,-8.0,False
16,1.5,3,20,16,1,0,32.0,0.0,0.0,False
16,1.5,4,20,16,1,0,32.0,0.0,0.0,False
16,2.0,0,24,32,1,16,128.0,64.0,-32.0,False
16,2.0,1,22,24,1,0,96.0,32.0,-32.0,False
16,2.0,2,21,20,1,0,80.0,16.0,-16.0,False
16,2.0,3,20,16,1,0,64.0,0.0,0.0,False
16,2.0,4,20,16,1,0,64.0,0.0,0.0,False
16,3.0,0,24,32,1,16,256.0,128.0,-64.0,False
16,3.0,1,22,24,1,0,192.0,64.0,-64.0,False
16,3.0,2,21,20,1,0,160.0,32.0,-32.0,False
16,3.0,3,20,16,1,0,128.0,0.0,0.0,False
16,3.0,4,20,16,1,0,128.0,0.0,0.0,False
18,0.0,0,18,0,1,0,0.0,64.0,0.0,False
18,0.0,1,18,0,1,0,0.0,64.0,0.0,False
18,0.0,2,18,4,1,0,0.0,64.0,0.0,False
18,0.0,3,18,2,1,0,0.0,64.0,-16.0,False
18,0.0,4,18,6,1,0,0.0,64.0,-16.0,False
18,0.0,5,19,8,1,0,-16.0,48.0,-16.0,False
18,0.0,6,19,10,1,0,-16.0,48.0,-32.0,False
18,0.0,7,19,7,1,0,-16.0,48.0,-32.0,False
18,0.0,8,20,11,1,0,-32.0,32.0,-16.0,False
18,0.0,9,20,10,1,0,-32.0,32.0,-16.0,False
18,0.0,10,20,10,1,0,-32.0,32.0,-16.0,False
18,0.0,11,19,9,1,0,-16.0,48.0,-16.0,False
18,0.0,12,20,10,1,0,-32.0,32.0,-16.0,False
18,0.0,13,19,9,1,0,-16.0,48.0,-32.0,False
18,0.0,14,21,14,1,0,-48.0,16.0,-16.0,False
18,0.0,15,21,13,1,0,-48.0,16.0,-16.0,False
18,0.0,16,19,8,1,0,-16.0,48.0,-16.0,False
18,0.0,17,21,12,1,0,-48.0,16.0,0.0,False
18,0.0,18,20,11,1,0,-32.0,32.0,-32.0,False
18,0.0,19,20,12,1,0,-32.0,32.0,-16.0,False
18,0.0,20,22,16,1,0,-64.0,0.0,16.0,True
18,0.0,21,20,12,1,0,-32.0,32.0,-32.0,False
