N,cap,labelled_total,reached_total,all_joined,class_id,squares,surplus,pieces,largest,in_babies,cubes,symmetries,labelled_states,neighbouring_classes,valid_under_cap
8,none,0,0,,-1,0,0,0,0,0,0,0,0,0,False
10,none,0,0,,-1,0,0,0,0,0,0,0,0,0,False
12,none,0,0,,-1,0,0,0,0,0,0,0,0,0,False
14,none,151200,151200,True,0,21,28,1,14,14,0,168,151200,0,False
16,none,635040000,635040000,True,0,24,32,1,16,16,1,192,8467200,1,False
16,none,635040000,635040000,True,1,22,24,1,16,0,0,16,101606400,3,False
16,none,635040000,635040000,True,2,21,20,1,16,0,0,6,270950400,2,False
16,none,635040000,635040000,True,3,20,16,1,16,0,0,32,50803200,2,False
16,none,635040000,635040000,True,4,20,16,1,16,0,0,8,203212800,2,False
18,none,1785021235200,1785021235200,True,0,18,0,1,18,0,0,72,1828915200,2,True
18,none,1785021235200,1785021235200,True,1,18,0,1,18,0,0,12,10973491200,3,True
18,none,1785021235200,1785021235200,True,2,18,4,1,18,0,0,8,16460236800,3,False
18,none,1785021235200,1785021235200,True,3,18,2,1,18,0,0,4,32920473600,4,False
18,none,1785021235200,1785021235200,True,4,18,6,1,18,0,0,6,21946982400,2,False
18,none,1785021235200,1785021235200,True,5,19,8,1,18,0,0,1,131681894400,9,False
18,none,1785021235200,1785021235200,True,6,19,10,1,18,0,0,1,131681894400,7,False
18,none,1785021235200,1785021235200,True,7,19,7,1,18,0,0,1,131681894400,8,False
18,none,1785021235200,1785021235200,True,8,20,11,1,18,0,0,1,131681894400,6,False
18,none,1785021235200,1785021235200,True,9,20,10,1,18,0,0,2,65840947200,8,False
18,none,1785021235200,1785021235200,True,10,20,10,1,18,0,0,1,131681894400,9,False
18,none,1785021235200,1785021235200,True,11,19,9,1,18,0,0,1,131681894400,10,False
18,none,1785021235200,1785021235200,True,12,20,10,1,18,0,0,2,65840947200,8,False
18,none,1785021235200,1785021235200,True,13,19,9,1,18,0,0,2,65840947200,7,False
18,none,1785021235200,1785021235200,True,14,21,14,1,18,0,0,1,131681894400,9,False
18,none,1785021235200,1785021235200,True,15,21,13,1,18,0,0,2,65840947200,6,False
18,none,1785021235200,1785021235200,True,16,19,8,1,18,0,0,2,65840947200,6,False
18,none,1785021235200,1785021235200,True,17,21,12,1,18,0,0,2,65840947200,7,False
18,none,1785021235200,1785021235200,True,18,20,11,1,18,0,0,1,131681894400,8,False
18,none,1785021235200,1785021235200,True,19,20,12,1,18,0,0,4,32920473600,3,False
18,none,1785021235200,1785021235200,True,20,22,16,1,18,0,0,4,32920473600,4,False
18,none,1785021235200,1785021235200,True,21,20,12,1,18,0,0,2,65840947200,7,False
18,none,1785021235200,1785021235200,True,22,18,8,1,18,0,0,4,32920473600,4,False
18,none,1785021235200,1785021235200,True,23,18,9,1,18,0,0,9,14631321600,2,False
18,none,1785021235200,1785021235200,True,24,18,4,1,18,0,0,2,65840947200,6,False
18,none,1785021235200,1785021235200,True,25,18,0,1,18,0,0,18,7315660800,2,True
8,2,0,0,,-1,0,0,0,0,0,0,0,0,0,False
10,2,0,0,,-1,0,0,0,0,0,0,0,0,0,False
12,2,0,0,,-1,0,0,0,0,0,0,0,0,0,False
14,2,0,0,,-1,0,0,0,0,0,0,0,0,0,False
16,2,0,0,,-1,0,0,0,0,0,0,0,0,0,False
18,2,20118067200,20118067200,True,0,18,0,1,18,0,0,72,1828915200,1,True
18,2,20118067200,20118067200,True,1,18,0,1,18,0,0,12,10973491200,2,True
18,2,20118067200,20118067200,True,2,18,0,1,18,0,0,18,7315660800,1,True
