dx,dy,placement,valid,squares,symmetries
,,flat sheet,True,144,576
,,one defect,True,142,2
2,0,two defects,True,140,2
4,0,two defects,True,140,2
6,0,two defects,True,140,4
8,0,two defects,True,140,2
10,0,two defects,True,140,2
1,1,two defects,True,140,1
3,1,two defects,True,140,1
5,1,two defects,True,140,1
7,1,two defects,True,140,1
9,1,two defects,True,140,1
11,1,two defects,True,140,1
2,2,two defects,True,140,1
4,4,two defects,True,140,1
6,6,two defects,True,140,4
8,8,two defects,True,140,1
10,10,two defects,True,140,1
0,2,two defects,False,,
0,6,two defects,True,140,4
