dims,kind,shift,r,log_trees,cross,d_log_trees,d_cross,ln_tau_one_minus_flat
16x16,y,0 2,2,297.72028388444596,2.0891413297471697,-0.043026725605102456,2.511161166838125,0.13112545135248865
16x16,y,0 4,4,297.7585448917039,0.49817822953238866,-0.004765718347186976,0.920198066623344,0.13112545135248865
16x16,y,0 6,6,297.7627505769305,-0.21102858887842746,-0.0005600331205641851,0.2109912482125279,0.13112545135248865
16x16,y,0 8,8,297.76331061005106,-0.42201983709095536,0.0,0.0,0.13112545135248865
24x24,y,0 2,2,670.9474015908224,3.112218131318836,-0.04781330574542153,3.542649487323475,0.14730602813017413
24x24,y,0 4,4,670.9884535192894,1.399735682611359,-0.006761377278508007,1.8301670386159976,0.14730602813017413
24x24,y,0 6,6,670.9937767928815,0.4845565676784076,-0.0014381036863824193,0.9149879236830463,0.14730602813017413
24x24,y,0 8,8,670.9948790835437,-0.05087039026466533,-0.00033581302420770953,0.37956096573997333,0.14730602813017413
24x24,y,0 10,10,670.9951570903019,-0.3389642637516521,-5.7806265999715833e-05,0.09146709225298655,0.14730602813017413
24x24,y,0 12,12,670.9952148965679,-0.43043135600463867,0.0,0.0,0.14730602813017413
8x8x8,y,0 2 0,2,853.2754060332898,0.15700756470935862,-0.0020318743130474104,0.1822857050710699,0.030490821541775404
8x8x8,y,0 4 0,4,853.2774379076028,-0.025278140361711287,0.0,0.0,0.030490821541775404
8x8x8,yz,0 2 2,4,853.2772799020928,0.005517700968847639,-0.00015800551000211271,0.030795841330558925,0.030490821541775404
8x8x8,yz,0 4 4,8,853.2775917535745,-0.1037229058640171,0.00015384597168122127,-0.07844476550230581,0.030490821541775404
