dims,kind,shift,r,log_trees,cross,d_log_trees,d_cross,ln_tau_one_minus_flat
12x12x12,y,0 2 0,2,2887.7657465433495,0.2984667428075296,-0.0029471908451341733,0.3019965280231961,0.050734200100578164
12x12x12,y,0 4 0,4,2887.768579077294,0.04869579480862593,-0.00011465690067780088,0.05222558002429242,0.050734200100578164
12x12x12,y,0 6 0,6,2887.7686937341946,-0.003529785215666494,0.0,0.0,0.050734200100578164
12x12x12,yz,0 2 2,4,2887.7681347900116,0.13738535956685896,-0.0005931133546255296,0.19303929200701556,0.050734200100578164
12x12x12,yz,0 4 4,8,2887.7687118610584,-0.02672856739526597,-1.6042307834140956e-05,0.028925365044890617,0.050734200100578164
12x12x12,yz,0 6 6,12,2887.768727903366,-0.05565393244015659,0.0,0.0,0.050734200100578164
16x16x16,y,0 2 0,2,6850.074783135883,0.36384782116970826,-0.0031978897231965675,0.36855201301591994,0.05387941476328706
16x16x16,y,0 4 0,4,6850.0778081168055,0.10074955016118552,-0.00017290880077780457,0.10545374200739722,0.05387941476328706
16x16x16,y,0 6 0,6,6850.077966649232,0.017087978990700525,-1.437637456547236e-05,0.02179217083691223,0.05387941476328706
16x16x16,y,0 8 0,8,6850.077981025606,-0.004704191846211705,0.0,0.0,0.05387941476328706
16x16x16,yz,0 2 2,4,6850.077297092076,0.19971611993031446,-0.0006927799877303187,0.24343773792932955,0.05387941476328706
16x16x16,yz,0 4 4,8,6850.077963506134,0.018711574535711997,-2.6365929443272762e-05,0.062433192534727094,0.05387941476328706
16x16x16,yz,0 6 6,12,6850.077988065829,-0.0321513007068471,-1.806234649848193e-06,0.011570317292167995,0.05387941476328706
16x16x16,yz,0 8 8,16,6850.077989872064,-0.0437216179990151,0.0,0.0,0.05387941476328706
