N,D,replica,leg,g,ln_g,squares_per_vertex,spv_err,phi,acceptance,tau_int,surplus,lam
216,3,0,cool,0.5,-0.6931471805599453,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,cool,0.75,-0.2876820724517809,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,cool,1.0,0.0,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,cool,1.25,0.22314355131420976,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,cool,1.5,0.4054651081081644,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,cool,1.75,0.5596157879354227,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,cool,2.0,0.6931471805599453,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,cool,2.5,0.9162907318741551,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,cool,3.0,1.0986122886681098,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,cool,4.0,1.3862943611198906,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,cool,5.0,1.6094379124341003,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,cool,6.0,1.791759469228055,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,heat,5.0,1.6094379124341003,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,heat,4.0,1.3862943611198906,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,heat,3.0,1.0986122886681098,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,heat,2.5,0.9162907318741551,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,heat,2.0,0.6931471805599453,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,heat,1.75,0.5596157879354227,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,heat,1.5,0.4054651081081644,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,heat,1.25,0.22314355131420976,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,heat,1.0,0.0,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,heat,0.75,-0.2876820724517809,12.0,0.0,1.0,0.0,nan,0.0,1.1
216,3,0,heat,0.5,-0.6931471805599453,12.0,0.0,1.0,0.0,nan,0.0,1.1
