N,D,replica,leg,g,ln_g,squares_per_vertex,spv_err,phi,acceptance,tau_int,surplus,lam
500,3,0,cool,40.0,3.6888794541139363,1.548128,0.004670834245355324,0.12901066666666666,0.747003,0.5263747154338816,4e-06,1.0
500,3,0,cool,37.7624,3.631313898579526,1.582592,0.003224662851799546,0.13188266666666668,0.734445,0.4489561032076477,4e-06,1.0
500,3,0,cool,35.65,3.573749146860305,1.602048,0.005400101491763279,0.133504,0.72485,0.5351034245939823,4e-06,1.0
500,3,0,cool,33.6558,3.516185403793739,1.6416000000000002,0.004439379606386457,0.1368,0.712263,0.5349987977993534,4e-06,1.0
500,3,0,cool,31.7731,3.4586200198510353,1.6740480000000002,0.004023494329929649,0.139504,0.698827,0.46484747344624855,4e-06,1.0
500,3,0,cool,29.9958,3.4010573718612407,1.704784,0.005026125925336938,0.14206533333333335,0.685097,0.4930550795018321,0.0,1.0
500,3,0,cool,28.3178,3.3434905821921714,1.7389279999999998,0.004210164363719788,0.1449106666666667,0.670472,0.5375241592124492,8e-06,1.0
500,3,0,cool,26.7338,3.2859286824111007,1.7802400000000003,0.0034322646878258006,0.14835333333333334,0.655796,0.48152401197640865,4e-06,1.0
500,3,0,cool,25.2383,3.2283626819973796,1.8264960000000001,0.004595179178894326,0.152208,0.639781,0.6452118120671358,4e-06,1.0
500,3,0,cool,23.8265,3.1707984066350265,1.877056,0.004021303780616437,0.15642133333333333,0.622158,0.6186727173424739,8e-06,1.0
500,3,0,cool,22.4937,3.1132352700030554,1.9314080000000002,0.004870055272846083,0.16095066666666666,0.604799,0.5798375264090085,1.2e-05,1.0
500,3,0,cool,21.2354,3.0556696004138186,1.9783520000000003,0.0054281405844373645,0.16486266666666669,0.585834,0.7746948827283408,4e-06,1.0
500,3,0,cool,20.0475,2.9981044576990468,2.043152,0.005740595629717856,0.17026266666666667,0.564311,0.6643868479187574,0.0,1.0
500,3,0,cool,18.9261,2.9405419218087405,2.10552,0.005835803746907186,0.17546,0.543181,0.6714202120298634,8e-06,1.0
500,3,0,cool,17.8673,2.882972226541584,2.1750079999999996,0.0062268271920470075,0.18125066666666664,0.520624,0.8206275792845245,1.2e-05,1.0
500,3,0,cool,16.8679,2.8254124074816325,2.23848,0.005232969950458336,0.18654,0.497855,0.7123732293303029,1.2e-05,1.0
500,3,0,cool,15.9243,2.767846244448176,2.3290239999999995,0.004956211908302557,0.19408533333333333,0.473177,0.9008336593285697,1.6e-05,1.0
500,3,0,cool,15.0335,2.7102810442535694,2.4022240000000004,0.006674137314375238,0.20018533333333335,0.448615,0.7661089501845484,2e-05,1.0
500,3,0,cool,14.1925,2.6527136560627445,2.501344,0.006462474582466377,0.20844533333333334,0.422239,0.7594393405944788,1.2e-05,1.0
500,3,0,cool,13.3986,2.5951502238867596,2.611472,0.0050449051828933365,0.2176226666666667,0.394337,0.8254439347205995,3.2e-05,1.0
500,3,0,cool,12.6491,2.5375860663974557,2.719136,0.009453730474936108,0.22659466666666667,0.367023,1.8640933964940702,3.2e-05,1.0
500,3,0,cool,11.9415,2.4800197282146055,2.839568,0.009104413250880926,0.23663066666666668,0.33899,1.6614702623706328,4.8e-05,1.0
500,3,0,cool,11.2735,2.4224548388444296,2.950992,0.009877354548060718,0.24591600000000002,0.310277,1.3958706548898798,5.2e-05,1.0
500,3,0,cool,10.6429,2.3648930031677304,3.103952,0.010759579825562684,0.2586626666666667,0.278606,2.564201474666298,6.4e-05,1.0
500,3,0,cool,10.0475,2.307323847341219,3.258896,0.011181864302818912,0.2715746666666667,0.250466,2.3759600985895393,0.000104,1.0
500,3,0,cool,9.4855,2.249764316810463,3.388464,0.010854235511725364,0.282372,0.223973,3.178441512510484,0.00011999999999999999,1.0
500,3,0,cool,8.9549,2.192200868504484,3.561616,0.014082295271970992,0.2968013333333333,0.195465,3.6591873388495952,0.00016800000000000002,1.0
500,3,0,cool,8.454,2.1346397021445984,3.784096,0.018203671667729453,0.3153413333333333,0.16567,5.572201924334696,0.000176,1.0
500,3,0,cool,7.981,2.0770637168938717,3.966848,0.016285571273541504,0.3305706666666667,0.141419,5.299942754645486,0.000324,1.0
500,3,0,cool,7.5346,2.0195057450688374,4.187504000000001,0.021165171653731118,0.34895866666666664,0.117024,11.07069150048457,0.000308,1.0
500,3,0,cool,7.1131,1.961938154418195,4.416432,0.018533876169917946,0.368036,0.09611,7.954604868000146,0.000456,1.0
500,3,0,cool,6.7152,1.9043736135971894,4.667904,0.018604482077201112,0.38899200000000006,0.077452,8.919275567569318,0.000652,1.0
500,3,0,cool,6.3396,1.8468156749761333,4.967168,0.014967308188275444,0.4139306666666666,0.059238,8.553854745350293,0.0009040000000000001,1.0
500,3,0,cool,5.9849,1.789239630432588,5.248576,0.028405948177026328,0.43738133333333334,0.044685,24.90367840388401,0.002108,1.0
500,3,0,cool,5.6502,1.7316909427619356,5.6065439999999995,0.01904025364856924,0.467212,0.030086,12.3902930847082,0.0021360000000000003,1.0
500,3,0,cool,5.3341,1.6741201732406303,5.873456,0.01905725506035915,0.4894546666666667,0.022892,12.012660439407943,0.0032280000000000004,1.0
500,3,0,cool,5.0357,1.6165525433195078,6.17792,0.02609153144840799,0.5148266666666667,0.016222,26.991792340169827,0.00398,1.0
500,3,0,cool,4.754,1.5589863689380021,6.700272,0.011963088686859429,0.558356,0.00978,21.99596853759084,0.008444,1.0
