lam,lx,ly,n,point_defect,point_defect_per_point,sheet,tube,gap,gap_per_point,expected_gap_per_point
1.0,6,6,36,32.0,0.8888888888888888,0.0,,,,0.0
1.0,10,10,100,32.0,0.32,0.0,,,,0.0
1.0,16,10,160,32.0,0.2,0.0,0.0,0.0,0.0,0.0
1.0,20,20,400,32.0,0.08,0.0,0.0,0.0,0.0,0.0
1.0,30,20,600,32.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.0
1.25,6,6,36,32.0,0.8888888888888888,0.0,,,,1.0
1.25,10,10,100,32.0,0.32,0.0,,,,1.0
1.25,16,10,160,32.0,0.2,0.0,160.0,160.0,1.0,1.0
1.25,20,20,400,32.0,0.08,0.0,400.0,400.0,1.0,1.0
1.25,30,20,600,32.0,0.05333333333333334,0.0,600.0,600.0,1.0,1.0
1.5,6,6,36,32.0,0.8888888888888888,0.0,,,,2.0
1.5,10,10,100,32.0,0.32,0.0,,,,2.0
1.5,16,10,160,32.0,0.2,0.0,320.0,320.0,2.0,2.0
1.5,20,20,400,32.0,0.08,0.0,800.0,800.0,2.0,2.0
1.5,30,20,600,32.0,0.05333333333333334,0.0,1200.0,1200.0,2.0,2.0
