rule,n,g,replica,sweep,h,h_per_point,converted,fraction,patches,largest_patch
metropolis,64,1.5,0,25,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,50,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,75,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,100,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,125,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,150,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,175,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,200,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,225,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,250,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,275,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,300,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,325,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,350,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,375,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,400,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,425,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,450,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,475,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,500,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,525,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,550,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,575,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,600,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,625,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,650,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,675,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,700,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,725,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,750,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,775,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,800,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,825,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,850,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,875,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,900,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,925,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,950,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,975,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1000,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1025,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1050,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1075,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1100,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1125,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1150,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1175,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1200,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1225,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1250,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1275,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1300,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1325,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1350,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1375,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1400,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1425,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1450,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1475,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1500,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1525,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1550,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1575,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1600,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1625,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1650,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1675,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1700,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1725,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1750,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1775,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1800,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1825,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1850,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1875,64.0,1.0,0,0.0,0,0
metropolis,64,1.5,0,1900,64.0,1.0,0,0.0,0,0
