N,D,replica,leg,g,ln_g,squares_per_vertex,spv_err,phi,acceptance,tau_int,surplus,lam
500,3,0,cool,4.0,1.3862943611198906,8.25208,0.03517834961833793,0.6876733333333334,0.00317475,292.53043725010747,0.043741999999999996,1.0
500,3,0,cool,3.95,1.3737155789130306,9.190056,0.022055271178899247,0.765838,0.0009315,187.51594225125996,0.09679900000000001,1.0
500,3,0,cool,3.9,1.3609765531356006,9.82848,0.012912615340638643,0.81904,0.000666,156.2418828737822,0.13514500000000002,1.0
500,3,0,cool,3.85,1.3480731482996928,10.101207999999998,0.014132382902474155,0.8417673333333334,0.0003505,271.56018530918783,0.15599000000000002,1.0
500,3,0,cool,3.8,1.33500106673234,10.421524000000002,0.005526519471227543,0.8684603333333333,0.00030525,172.7937754551075,0.188226,1.0
500,3,0,cool,3.75,1.3217558399823195,10.567092,0.005930246854280428,0.880591,0.000181,118.48672566600217,0.188665,1.0
500,3,0,cool,3.7,1.308332819650179,10.718492000000001,0.009782897316357725,0.8932076666666667,0.00023575,307.3997401226894,0.215027,1.0
500,3,0,cool,3.65,1.2947271675944,10.911691999999999,0.005085479230807656,0.9093076666666666,0.0001855,145.28366568670074,0.259509,1.0
500,3,0,cool,3.6,1.2809338454620642,10.943704000000002,0.0032069570733643184,0.9119753333333334,0.00017075,70.11099445951562,0.255665,1.0
500,3,0,cool,3.55,1.2669476034873244,10.948072000000002,0.005455029208905837,0.9123393333333334,0.00021875,127.28846271760654,0.266606,1.0
500,3,0,cool,3.5,1.252762968495368,11.044868000000001,0.008657170957397228,0.9204056666666667,0.00027875,259.89884744872626,0.31208199999999997,1.0
500,3,0,cool,3.45,1.2383742310432684,11.168059999999999,0.005792056400918988,0.9306716666666667,0.00016475,137.75498504956127,0.31456900000000004,1.0
500,3,0,cool,3.4,1.2237754316221157,11.182547999999999,0.0031749390776542818,0.931879,0.00012925,126.28766354679254,0.29056,1.0
500,3,0,cool,3.35,1.208960345836975,11.287096,0.003768588595004671,0.9405913333333333,9.95e-05,115.34198641950309,0.31868599999999997,1.0
500,3,0,cool,3.3,1.1939224684724346,11.338676,0.0047988105504659165,0.9448896666666666,7.3e-05,138.7276366401284,0.34002,1.0
500,3,0,cool,3.25,1.1786549963416462,11.382612000000002,0.0017026161959715388,0.9485509999999999,5.1e-05,129.87540685113075,0.356694,1.0
500,3,0,cool,3.2,1.1631508098056809,11.339367999999999,0.0022488235965888383,0.9449473333333334,4.4e-05,84.87209896119546,0.339271,1.0
500,3,0,cool,3.15,1.1474024528375417,11.416788,0.0038151947506274687,0.951399,3.1e-05,153.62846712426003,0.379944,1.0
500,3,0,cool,3.1,1.1314021114911006,11.382384000000002,0.0028805873185474263,0.948532,5.15e-05,140.70978465577986,0.349464,1.0
500,3,0,cool,3.05,1.1151415906193203,11.398727999999998,0.0015714342934071658,0.9498939999999999,3.475e-05,205.4343071801913,0.34636700000000004,1.0
500,3,0,cool,3.0,1.0986122886681098,11.415972,0.0028409617106888163,0.9513309999999999,3.55e-05,112.8591331905837,0.35971800000000004,1.0
500,3,0,cool,2.95,1.0818051703517284,11.427815999999998,0.0033112702565635138,0.9523180000000001,4.45e-05,281.76368588227194,0.37348000000000003,1.0
