N,D,replica,leg,g,ln_g,squares_per_vertex,spv_err,phi,acceptance,tau_int,surplus,lam
500,3,0,cool,31.748,3.457829731228629,1.674164,0.0023027541409364597,0.13951366666666667,0.69918975,0.6742881471179224,3e-06,1.0
500,3,0,cool,31.3512,3.445252543858326,1.679096,0.002598032937755801,0.13992466666666667,0.69626325,0.5638036151923264,0.0,1.0
500,3,0,cool,30.9543,3.432511923244339,1.685612,0.00238064981078697,0.14046766666666669,0.692981,0.5634870994277827,2e-06,1.0
500,3,0,cool,30.5575,3.419610154669281,1.693672,0.001776462982445742,0.14113933333333334,0.69016025,0.5751716087531484,3e-06,1.0
500,3,0,cool,30.1606,3.4065364368410784,1.702616,0.002780795267844075,0.14188466666666666,0.68679875,0.5720446721137793,4e-06,1.0
500,3,0,cool,29.7638,3.3932928899854935,1.7114920000000002,0.002010448103268525,0.14262433333333333,0.683575,0.5729960529558227,2e-06,1.0
500,3,0,cool,29.3669,3.379868189758917,1.7245440000000003,0.0027331045019581657,0.143712,0.68010325,0.6747727471333339,3e-06,1.0
500,3,0,cool,28.9701,3.3662642636220395,1.72764,0.0023164869348010586,0.14397000000000001,0.67658825,0.6223191942194068,3e-06,1.0
500,3,0,cool,28.5732,3.3524692155708027,1.7391440000000002,0.0021199711637435057,0.14492866666666668,0.672605,0.5655581902187293,4e-06,1.0
500,3,0,cool,28.1764,3.3384847481323545,1.7462160000000002,0.0025393075898567257,0.14551799999999998,0.6695415,0.6331662664777137,5e-06,1.0
500,3,0,cool,27.7795,3.3242983386041063,1.7513880000000002,0.0019870372332052555,0.145949,0.6659715,0.6220035787891325,4e-06,1.0
500,3,0,cool,27.3827,3.309911427124086,1.7620120000000001,0.0032149986162360845,0.14683433333333332,0.66253975,0.6341899682895847,2e-06,1.0
500,3,0,cool,26.9858,3.2953108017308543,1.7745400000000002,0.0019830069388239746,0.14787833333333333,0.65866375,0.5591229277812634,3e-06,1.0
500,3,0,cool,26.589,3.2804975964243703,1.786208,0.0022324181902143698,0.1488506666666667,0.65512725,0.639627598650733,1e-05,1.0
500,3,0,cool,26.1921,3.265457838581173,1.8029320000000002,0.002232207022026401,0.15024433333333334,0.649894,0.674155433763427,4e-06,1.0
500,3,0,cool,25.7953,3.2501923047898673,1.810308,0.002436422944485626,0.150859,0.6453735,0.7094182888142632,1e-06,1.0
500,3,0,cool,25.3984,3.2346861799144193,1.822752,0.00119811323337988,0.151896,0.64157775,0.5732769294014584,5e-06,1.0
500,3,0,cool,25.0016,3.218939822820288,1.8308600000000002,0.0024454954783029066,0.15257166666666666,0.637098,0.6093131004367306,3e-06,1.0
500,3,0,cool,24.6047,3.202937481599839,1.8491199999999999,0.002132234323543271,0.15409333333333333,0.63219825,0.6086836849908178,3e-06,1.0
500,3,0,cool,24.2079,3.1866790261716385,1.8622159999999999,0.0023452654076637,0.15518466666666667,0.62686525,0.6506254548275724,1e-05,1.0
500,3,0,cool,23.811,3.1701476587768482,1.8746999999999998,0.00221225385843126,0.156225,0.62290575,0.665173267388908,7e-06,1.0
500,3,0,cool,23.4142,3.1533426759190086,1.8934279999999999,0.002493090976547776,0.15778566666666669,0.6165535,0.6467172189139666,1e-05,1.0
500,3,0,cool,23.0173,3.136246107101167,1.9034200000000001,0.002665453720776256,0.15861833333333333,0.6112395,0.5848141417872289,5e-06,1.0
500,3,0,cool,22.6205,3.1188565747761263,1.921076,0.002537730327687328,0.16008966666666666,0.6052385,0.7163209369698837,5e-06,1.0
500,3,0,cool,22.2236,3.1011547872898966,1.936464,0.002213977034981164,0.161372,0.60033575,0.7010070436660457,8e-06,1.0
500,3,0,cool,21.8268,3.083138572551658,1.950216,0.0029102484853359206,0.162518,0.59424975,0.6160384958408563,8e-06,1.0
500,3,0,cool,21.4299,3.064787143119022,1.9703000000000002,0.002080112096225586,0.16419166666666665,0.58768325,0.6780079503059824,1e-05,1.0
500,3,0,cool,21.0331,3.046097387315147,1.990696,0.0029910045743488873,0.16589133333333334,0.581718,0.6664023013335694,6e-06,1.0
500,3,0,cool,20.6362,3.027046815136175,2.010092,0.003046613272145954,0.16750766666666667,0.5744265,0.7085668794753553,8e-06,1.0
500,3,0,cool,20.2394,3.0076311997110903,2.028912,0.002053816585244171,0.169076,0.5679465,0.6780527052957575,3e-06,1.0
500,3,0,cool,19.8425,2.987826101982894,2.048608,0.0019133527582753883,0.17071733333333336,0.56104875,0.6144140745626061,5e-06,1.0
500,3,0,cool,19.4457,2.967625965931221,2.0721480000000003,0.002479628257093378,0.172679,0.55355075,0.7329875992079182,4e-06,1.0
500,3,0,cool,19.0488,2.9470041074626385,2.0956240000000004,0.0030040981740975326,0.1746353333333333,0.54578625,0.7809295686800299,4e-06,1.0
500,3,0,cool,18.652,2.9259533789460743,2.117044,0.0029240937265416,0.17642033333333332,0.53780875,0.7069696356675181,1.1e-05,1.0
500,3,0,cool,18.2551,2.9044444930438424,2.1462000000000003,0.002718518638964969,0.17884999999999998,0.52909575,0.8064159222030425,6e-06,1.0
500,3,0,cool,17.8583,2.8824683861475586,2.177684,0.0028067044723775235,0.18147366666666667,0.52013625,0.8361293200450814,1e-05,1.0
500,3,0,cool,17.4614,2.859992730473009,2.2023800000000002,0.0032156431499132275,0.18353166666666668,0.511666,0.891795252125139,1.1e-05,1.0
500,3,0,cool,17.0646,2.8370061422949124,2.2325600000000003,0.0024359364871063454,0.18604666666666667,0.5027175,0.7705631502239606,1.7e-05,1.0
500,3,0,cool,16.6677,2.813472714838116,2.259048,0.0030562772437486584,0.18825399999999998,0.492805,0.7900417547967609,8.999999999999999e-06,1.0
500,3,0,cool,16.2709,2.7893782362345405,2.3019119999999997,0.0017829362586475224,0.191826,0.481409,0.8343356960733415,1.1e-05,1.0
500,3,0,cool,15.874,2.7646825506686836,2.325184,0.003359537456496057,0.19376533333333334,0.47264675,0.9814608674159949,2.2e-05,1.0
500,3,0,cool,15.4772,2.739367973248111,2.369888,0.0029483362336449885,0.19749066666666665,0.46078225,0.9262623547388289,2.1000000000000002e-05,1.0
500,3,0,cool,15.0803,2.713389256281133,2.4103440000000003,0.003869015131322162,0.200862,0.44912325,1.0386277971924878,1.4999999999999999e-05,1.0
500,3,0,cool,14.6835,2.6867244143874576,2.4485879999999995,0.002174642978786181,0.204049,0.43804575,1.0061329488381459,2.3e-05,1.0
500,3,0,cool,14.2866,2.6593220350108573,2.491228,0.004093735059182986,0.20760233333333333,0.42503875,0.9856227575142494,2.5e-05,1.0
500,3,0,cool,13.8898,2.6311547578144956,2.5394639999999997,0.0032742209707813143,0.211622,0.41220525,1.1818411434832303,2e-05,1.0
