source,N,lam,h_before,h_after,pieces,sizes,defect_points,d_hist,cheapest_exit,dip,symmetries
t34_spread_n216_adj/C432_E128_rep0.npz,216,1.25,0.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E128_rep1.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E128_rep2.npz,216,1.25,0.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E128_rep3.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E128_rep4.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E128_rep5.npz,216,1.25,0.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E128_rep6.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E128_rep7.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E256_rep0.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E256_rep1.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E256_rep2.npz,216,1.25,0.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E256_rep3.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E256_rep4.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E256_rep5.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E256_rep6.npz,216,1.25,0.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E256_rep7.npz,216,1.25,0.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E260_rep0.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E260_rep1.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E260_rep2.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E260_rep3.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E260_rep4.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E260_rep5.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E260_rep6.npz,216,1.25,0.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E260_rep7.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E500_rep0.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E500_rep1.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E500_rep2.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E500_rep3.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E500_rep4.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E500_rep5.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E500_rep6.npz,216,1.25,96.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E500_rep7.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E64_rep0.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E64_rep1.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E64_rep2.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E64_rep3.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E64_rep4.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E64_rep5.npz,216,1.25,0.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E64_rep6.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_spread_n216_adj/C432_E64_rep7.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E128_rep0.npz,216,1.25,0.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E128_rep1.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E128_rep2.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E128_rep3.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E128_rep4.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E128_rep5.npz,216,1.25,0.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E128_rep6.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E128_rep7.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E256_rep0.npz,216,1.25,128.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E256_rep1.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E256_rep2.npz,216,1.25,0.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E256_rep3.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E256_rep4.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E256_rep5.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E256_rep6.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E256_rep7.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E260_rep0.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E260_rep1.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E260_rep2.npz,216,1.25,128.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E260_rep3.npz,216,1.25,128.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E260_rep4.npz,216,1.25,96.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E260_rep5.npz,216,1.25,96.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E260_rep6.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
t34_packed_n216_adj/C216_E260_rep7.npz,216,1.25,64.0,0.0,0,,0,0 0 0 216 0 0 0 0,,False,
