g,replica,n,melted_for,acceptance,sweep,H,h_per_vertex,triangles,squares,pentagons,pieces,largest_frac
1,0,60,150,0.0016,10,352.0,5.866666666666666,7,18,21,1,1.0
1,0,60,150,0.0016,20,322.0,5.366666666666666,8,20,19,1,1.0
1,0,60,150,0.0016,30,298.0,4.966666666666667,5,26,17,1,1.0
1,0,60,150,0.0016,40,274.0,4.566666666666666,5,29,15,1,1.0
1,0,60,150,0.0016,50,252.0,4.2,7,29,14,1,1.0
1,0,60,150,0.0016,60,244.0,4.066666666666666,7,29,15,1,1.0
1,0,60,150,0.0016,70,244.0,4.066666666666666,7,29,15,1,1.0
1,0,60,150,0.0016,80,244.0,4.066666666666666,8,28,15,1,1.0
1,0,60,150,0.0016,90,246.0,4.1,7,29,15,1,1.0
1,0,60,150,0.0016,100,238.0,3.966666666666667,7,29,16,1,1.0
1,0,60,150,0.0016,110,232.0,3.8666666666666667,7,30,15,1,1.0
1,0,60,150,0.0016,120,212.0,3.533333333333333,8,31,14,1,1.0
1,0,60,150,0.0016,130,210.0,3.5,6,35,12,1,1.0
1,0,60,150,0.0016,140,194.0,3.2333333333333334,6,36,13,1,1.0
1,0,60,150,0.0016,150,188.0,3.1333333333333333,6,36,14,1,1.0
1,0,60,150,0.0016,160,184.0,3.066666666666667,6,36,12,1,1.0
1,0,60,150,0.0016,170,184.0,3.066666666666667,6,36,12,1,1.0
1,0,60,150,0.0016,180,178.0,2.966666666666667,7,34,15,1,1.0
1,0,60,150,0.0016,190,178.0,2.966666666666667,7,34,15,1,1.0
1,0,60,150,0.0016,200,176.0,2.933333333333333,7,35,13,1,1.0
1,0,60,150,0.0016,210,176.0,2.933333333333333,7,36,11,1,1.0
1,0,60,150,0.0016,220,176.0,2.933333333333333,7,36,11,1,1.0
1,0,60,150,0.0016,230,162.0,2.7,6,38,11,1,1.0
1,0,60,150,0.0016,240,162.0,2.7,6,38,11,1,1.0
1,0,60,150,0.0016,250,154.0,2.566666666666667,7,37,12,1,1.0
1,0,60,150,0.0016,260,146.0,2.433333333333333,7,37,12,1,1.0
1,0,60,150,0.0016,270,146.0,2.433333333333333,7,37,12,1,1.0
1,0,60,150,0.0016,280,146.0,2.433333333333333,7,37,12,1,1.0
1,0,60,150,0.0016,290,144.0,2.4,6,39,11,1,1.0
1,0,60,150,0.0016,300,144.0,2.4,6,39,11,1,1.0
1,0,60,150,0.0016,310,142.0,2.3666666666666667,6,39,11,1,1.0
1,0,60,150,0.0016,320,142.0,2.3666666666666667,6,39,11,1,1.0
1,0,60,150,0.0016,330,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,340,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,350,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,360,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,370,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,380,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,390,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,400,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,410,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,420,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,430,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,440,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,450,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,460,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,470,134.0,2.2333333333333334,6,40,10,1,1.0
1,0,60,150,0.0016,480,136.0,2.2666666666666666,6,40,10,1,1.0
1,0,60,150,0.0016,490,136.0,2.2666666666666666,6,40,10,1,1.0
1,0,60,150,0.0016,500,140.0,2.3333333333333335,6,40,10,1,1.0
1,0,60,150,0.0016,510,140.0,2.3333333333333335,6,40,10,1,1.0
1,0,60,150,0.0016,520,140.0,2.3333333333333335,6,40,10,1,1.0
1,0,60,150,0.0016,530,136.0,2.2666666666666666,6,40,10,1,1.0
1,0,60,150,0.0016,540,136.0,2.2666666666666666,6,40,10,1,1.0
1,0,60,150,0.0016,550,136.0,2.2666666666666666,6,40,10,1,1.0
1,0,60,150,0.0016,560,138.0,2.3,6,40,10,1,1.0
1,0,60,150,0.0016,570,140.0,2.3333333333333335,5,41,10,1,1.0
1,0,60,150,0.0016,580,140.0,2.3333333333333335,5,41,10,1,1.0
1,0,60,150,0.0016,590,134.0,2.2333333333333334,5,42,9,1,1.0
1,0,60,150,0.0016,600,134.0,2.2333333333333334,5,41,10,1,1.0
1,0,60,150,0.0016,610,134.0,2.2333333333333334,5,41,10,1,1.0
1,0,60,150,0.0016,620,134.0,2.2333333333333334,5,41,10,1,1.0
1,0,60,150,0.0016,630,134.0,2.2333333333333334,5,41,10,1,1.0
1,0,60,150,0.0016,640,134.0,2.2333333333333334,5,41,10,1,1.0
1,0,60,150,0.0016,650,134.0,2.2333333333333334,5,41,10,1,1.0
1,0,60,150,0.0016,660,134.0,2.2333333333333334,5,41,10,1,1.0
1,0,60,150,0.0016,670,132.0,2.2,5,42,9,1,1.0
1,0,60,150,0.0016,680,132.0,2.2,5,42,9,1,1.0
1,0,60,150,0.0016,690,132.0,2.2,5,42,9,1,1.0
1,0,60,150,0.0016,700,130.0,2.1666666666666665,5,42,9,1,1.0
1,0,60,150,0.0016,710,130.0,2.1666666666666665,5,42,9,1,1.0
1,0,60,150,0.0016,720,126.0,2.1,4,44,8,1,1.0
1,0,60,150,0.0016,730,126.0,2.1,4,44,8,1,1.0
1,0,60,150,0.0016,740,118.0,1.9666666666666666,4,43,12,1,1.0
1,0,60,150,0.0016,750,118.0,1.9666666666666666,4,43,12,1,1.0
1,0,60,150,0.0016,760,118.0,1.9666666666666666,4,43,12,1,1.0
1,0,60,150,0.0016,770,118.0,1.9666666666666666,4,43,12,1,1.0
1,0,60,150,0.0016,780,118.0,1.9666666666666666,4,43,12,1,1.0
1,0,60,150,0.0016,790,118.0,1.9666666666666666,4,43,12,1,1.0
1,0,60,150,0.0016,800,120.0,2.0,5,41,13,1,1.0
1,1,60,150,0.0016,10,298.0,4.966666666666667,5,29,12,1,1.0
1,1,60,150,0.0016,20,256.0,4.266666666666667,5,32,14,1,1.0
1,1,60,150,0.0016,30,232.0,3.8666666666666667,4,33,16,1,1.0
1,1,60,150,0.0016,40,228.0,3.8,4,35,13,1,1.0
1,1,60,150,0.0016,50,218.0,3.6333333333333333,8,31,14,1,1.0
1,1,60,150,0.0016,60,218.0,3.6333333333333333,7,30,18,1,1.0
1,1,60,150,0.0016,70,218.0,3.6333333333333333,7,30,18,1,1.0
1,1,60,150,0.0016,80,210.0,3.5,7,30,18,1,1.0
1,1,60,150,0.0016,90,202.0,3.3666666666666667,8,29,19,1,1.0
1,1,60,150,0.0016,100,188.0,3.1333333333333333,7,33,16,1,1.0
1,1,60,150,0.0016,110,172.0,2.8666666666666667,7,34,16,1,1.0
1,1,60,150,0.0016,120,164.0,2.7333333333333334,7,35,15,1,1.0
1,1,60,150,0.0016,130,164.0,2.7333333333333334,7,35,15,1,1.0
1,1,60,150,0.0016,140,164.0,2.7333333333333334,7,35,15,1,1.0
1,1,60,150,0.0016,150,154.0,2.566666666666667,7,36,14,1,1.0
1,1,60,150,0.0016,160,154.0,2.566666666666667,7,36,14,1,1.0
1,1,60,150,0.0016,170,154.0,2.566666666666667,7,36,14,1,1.0
1,1,60,150,0.0016,180,154.0,2.566666666666667,7,36,14,1,1.0
1,1,60,150,0.0016,190,154.0,2.566666666666667,7,36,14,1,1.0
1,1,60,150,0.0016,200,154.0,2.566666666666667,7,36,14,1,1.0
1,1,60,150,0.0016,210,154.0,2.566666666666667,7,36,14,1,1.0
1,1,60,150,0.0016,220,154.0,2.566666666666667,7,36,14,1,1.0
1,1,60,150,0.0016,230,154.0,2.566666666666667,7,36,14,1,1.0
1,1,60,150,0.0016,240,154.0,2.566666666666667,7,36,14,1,1.0
1,1,60,150,0.0016,250,154.0,2.566666666666667,7,36,14,1,1.0
1,1,60,150,0.0016,260,154.0,2.566666666666667,8,35,13,1,1.0
1,1,60,150,0.0016,270,154.0,2.566666666666667,8,35,13,1,1.0
1,1,60,150,0.0016,280,154.0,2.566666666666667,9,34,13,1,1.0
1,1,60,150,0.0016,290,154.0,2.566666666666667,9,34,13,1,1.0
1,1,60,150,0.0016,300,152.0,2.533333333333333,9,34,13,1,1.0
1,1,60,150,0.0016,310,142.0,2.3666666666666667,9,35,12,1,1.0
1,1,60,150,0.0016,320,142.0,2.3666666666666667,9,35,12,1,1.0
1,1,60,150,0.0016,330,142.0,2.3666666666666667,8,37,11,1,1.0
1,1,60,150,0.0016,340,142.0,2.3666666666666667,8,37,11,1,1.0
1,1,60,150,0.0016,350,142.0,2.3666666666666667,8,37,11,1,1.0
1,1,60,150,0.0016,360,142.0,2.3666666666666667,8,37,11,1,1.0
1,1,60,150,0.0016,370,142.0,2.3666666666666667,8,37,11,1,1.0
1,1,60,150,0.0016,380,142.0,2.3666666666666667,9,36,10,1,1.0
1,1,60,150,0.0016,390,142.0,2.3666666666666667,9,36,10,1,1.0
1,1,60,150,0.0016,400,142.0,2.3666666666666667,9,36,10,1,1.0
1,1,60,150,0.0016,410,142.0,2.3666666666666667,9,36,10,1,1.0
1,1,60,150,0.0016,420,142.0,2.3666666666666667,9,36,10,1,1.0
