g,replica,n,melted_for,acceptance,sweep,H,h_per_vertex,triangles,squares,pentagons,pieces,largest_frac
1,0,60,0,0.0,10,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,20,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,30,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,40,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,50,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,60,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,70,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,80,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,90,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,100,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,110,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,120,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,130,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,140,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,150,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,160,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,170,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,180,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,190,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,200,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,210,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,220,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,230,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,240,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,250,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,260,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,270,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,280,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,290,0.0,0.0,0,60,0,1,1.0
1,0,60,0,0.0,300,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,10,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,20,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,30,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,40,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,50,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,60,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,70,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,80,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,90,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,100,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,110,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,120,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,130,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,140,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,150,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,160,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,170,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,180,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,190,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,200,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,210,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,220,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,230,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,240,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,250,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,260,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,270,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,280,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,290,0.0,0.0,0,60,0,1,1.0
1,1,60,0,0.0,300,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,10,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,20,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,30,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,40,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,50,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,60,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,70,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,80,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,90,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,100,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,110,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,120,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,130,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,140,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,150,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,160,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,170,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,180,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,190,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,200,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,210,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,220,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,230,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,240,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,250,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,260,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,270,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,280,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,290,0.0,0.0,0,60,0,1,1.0
2,0,60,0,0.0,300,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,10,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,20,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,30,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,40,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,50,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,60,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,70,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,80,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,90,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,100,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,110,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,120,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,130,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,140,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,150,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,160,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,170,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,180,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,190,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,200,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,210,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,220,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,230,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,240,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,250,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,260,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,270,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,280,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,290,0.0,0.0,0,60,0,1,1.0
2,1,60,0,0.0,300,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,10,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,20,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,30,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,40,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,50,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,60,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,70,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,80,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,90,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,100,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,110,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,120,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,130,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,140,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,150,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,160,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,170,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,180,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,190,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,200,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,210,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,220,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,230,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,240,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,250,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,260,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,270,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,280,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,290,0.0,0.0,0,60,0,1,1.0
4,0,60,0,0.0,300,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,10,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,20,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,30,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,40,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,50,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,60,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,70,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,80,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,90,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,100,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,110,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,120,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,130,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,140,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,150,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,160,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,170,0.0,0.0,0,60,0,1,1.0
4,1,60,0,0.0002,180,16.0,0.26666666666666666,0,60,0,1,1.0
4,1,60,0,0.0002,190,16.0,0.26666666666666666,0,60,0,1,1.0
4,1,60,0,0.0002,200,16.0,0.26666666666666666,0,60,0,1,1.0
4,1,60,0,0.0002,210,16.0,0.26666666666666666,0,60,0,1,1.0
4,1,60,0,0.0002,220,16.0,0.26666666666666666,0,60,0,1,1.0
4,1,60,0,0.0002,230,16.0,0.26666666666666666,0,60,0,1,1.0
4,1,60,0,0.0002,240,16.0,0.26666666666666666,0,60,0,1,1.0
4,1,60,0,0.0002,250,16.0,0.26666666666666666,0,60,0,1,1.0
4,1,60,0,0.0002,260,16.0,0.26666666666666666,0,60,0,1,1.0
4,1,60,0,0.0002,270,16.0,0.26666666666666666,0,60,0,1,1.0
4,1,60,0,0.0002,280,16.0,0.26666666666666666,0,60,0,1,1.0
4,1,60,0,0.0002,290,32.0,0.5333333333333333,0,60,0,1,1.0
4,1,60,0,0.0002,300,64.0,1.0666666666666667,0,58,0,1,1.0
8,0,60,0,0.0693,10,36.0,0.6,0,59,0,1,1.0
8,0,60,0,0.0693,20,126.0,2.1,0,52,2,1,1.0
8,0,60,0,0.0693,30,242.0,4.033333333333333,0,43,5,1,1.0
8,0,60,0,0.0693,40,410.0,6.833333333333333,3,23,13,1,1.0
8,0,60,0,0.0693,50,434.0,7.233333333333333,6,15,19,1,1.0
8,0,60,0,0.0693,60,470.0,7.833333333333333,7,14,14,1,1.0
8,0,60,0,0.0693,70,398.0,6.633333333333334,4,24,12,1,1.0
8,0,60,0,0.0693,80,444.0,7.4,6,20,10,1,1.0
8,0,60,0,0.0693,90,448.0,7.466666666666667,5,19,13,1,1.0
8,0,60,0,0.0693,100,442.0,7.366666666666666,9,12,17,1,1.0
8,0,60,0,0.0693,110,352.0,5.866666666666666,5,27,10,1,1.0
8,0,60,0,0.0693,120,432.0,7.2,7,15,18,1,1.0
8,0,60,0,0.0693,130,452.0,7.533333333333333,5,15,19,1,1.0
8,0,60,0,0.0693,140,394.0,6.566666666666666,5,20,18,1,1.0
8,0,60,0,0.0693,150,426.0,7.1,6,17,16,1,1.0
8,0,60,0,0.0693,160,376.0,6.266666666666667,3,26,13,1,1.0
8,0,60,0,0.0693,170,458.0,7.633333333333334,5,18,13,1,1.0
8,0,60,0,0.0693,180,430.0,7.166666666666667,8,19,9,1,1.0
8,0,60,0,0.0693,190,382.0,6.366666666666666,5,24,12,1,1.0
8,0,60,0,0.0693,200,454.0,7.566666666666666,5,18,14,1,1.0
8,0,60,0,0.0693,210,428.0,7.133333333333334,4,23,11,1,1.0
8,0,60,0,0.0693,220,450.0,7.5,11,9,18,1,1.0
8,0,60,0,0.0693,230,446.0,7.433333333333334,5,19,13,1,1.0
8,0,60,0,0.0693,240,412.0,6.866666666666666,2,25,13,1,1.0
8,0,60,0,0.0693,250,352.0,5.866666666666666,2,30,11,1,1.0
8,0,60,0,0.0693,260,480.0,8.0,7,13,16,1,1.0
8,0,60,0,0.0693,270,436.0,7.266666666666667,7,15,17,1,1.0
8,0,60,0,0.0693,280,452.0,7.533333333333333,6,15,18,1,1.0
8,0,60,0,0.0693,290,390.0,6.5,4,23,14,1,1.0
8,0,60,0,0.0693,300,474.0,7.9,5,19,10,1,1.0
8,1,60,0,0.0718,10,32.0,0.5333333333333333,0,60,0,1,1.0
8,1,60,0,0.0718,20,104.0,1.7333333333333334,0,53,3,1,1.0
8,1,60,0,0.0718,30,286.0,4.766666666666667,1,36,10,1,1.0
8,1,60,0,0.0718,40,458.0,7.633333333333334,3,19,16,1,1.0
8,1,60,0,0.0718,50,410.0,6.833333333333333,4,21,16,1,1.0
8,1,60,0,0.0718,60,418.0,6.966666666666667,6,19,14,1,1.0
8,1,60,0,0.0718,70,438.0,7.3,9,9,23,1,1.0
8,1,60,0,0.0718,80,392.0,6.533333333333333,6,22,12,1,1.0
8,1,60,0,0.0718,90,470.0,7.833333333333333,3,18,15,1,1.0
8,1,60,0,0.0718,100,426.0,7.1,2,23,14,1,1.0
8,1,60,0,0.0718,110,462.0,7.7,10,8,20,1,1.0
8,1,60,0,0.0718,120,458.0,7.633333333333334,7,17,11,1,1.0
8,1,60,0,0.0718,130,398.0,6.633333333333334,8,18,14,1,1.0
8,1,60,0,0.0718,140,388.0,6.466666666666667,12,12,17,1,1.0
8,1,60,0,0.0718,150,358.0,5.966666666666667,3,26,15,1,1.0
8,1,60,0,0.0718,160,468.0,7.8,2,20,15,1,1.0
8,1,60,0,0.0718,170,422.0,7.033333333333333,2,24,13,1,1.0
8,1,60,0,0.0718,180,432.0,7.2,6,20,12,1,1.0
8,1,60,0,0.0718,190,408.0,6.8,7,20,12,1,1.0
8,1,60,0,0.0718,200,490.0,8.166666666666666,1,20,14,1,1.0
8,1,60,0,0.0718,210,422.0,7.033333333333333,7,16,17,1,1.0
8,1,60,0,0.0718,220,434.0,7.233333333333333,7,16,15,1,1.0
8,1,60,0,0.0718,230,470.0,7.833333333333333,4,14,20,1,1.0
8,1,60,0,0.0718,240,460.0,7.666666666666667,2,22,12,1,1.0
8,1,60,0,0.0718,250,420.0,7.0,8,16,15,1,1.0
8,1,60,0,0.0718,260,438.0,7.3,1,25,12,1,1.0
8,1,60,0,0.0718,270,368.0,6.133333333333334,5,24,14,1,1.0
8,1,60,0,0.0718,280,452.0,7.533333333333333,5,18,13,1,1.0
8,1,60,0,0.0718,290,416.0,6.933333333333334,12,12,14,1,1.0
8,1,60,0,0.0718,300,400.0,6.666666666666667,4,20,18,1,1.0
