n,budget_per_point,replica,acceptance,h_per_point,demon_end,temperature,squares,surplus,curled,flat,melted,d0,d1,d2,d3,d4,d5,d6
144,0.5,0,0.0002,0.4444444444444444,8.0,4.103939283046697,140,0,0,129,15,0,0,129,14,1,0,0
144,0.5,1,0.0002,0.5,0.0,2.644040957623689,140,1,0,129,15,0,0,129,14,1,0,0
144,0.5,2,0.0001,0.5,0.0,3.27247517970652,141,3,1,131,12,0,1,131,11,1,0,0
144,1.0,0,0.0005,1.0,0.0,nan,136,2,0,112,32,0,0,112,32,0,0,0
144,1.0,1,0.0007,1.0,0.0,2.2414947774692147,135,0,0,109,35,0,0,109,34,1,0,0
144,1.0,2,0.0006,1.0,0.0,2.890263593404582,136,2,0,113,31,0,0,113,30,1,0,0
144,2.0,0,0.0019,2.0,0.0,2.7082263309717596,127,2,0,83,61,0,0,83,54,7,0,0
144,2.0,1,0.0031,2.0,0.0,2.5436314874916808,127,2,0,83,61,0,0,83,55,5,1,0
144,2.0,2,0.0021,2.0,0.0,2.5945066444883182,127,2,0,80,64,0,0,80,60,4,0,0
144,4.0,0,0.014,4.0,0.0,3.4729976347754348,112,8,3,38,103,0,3,38,76,26,1,0
144,4.0,1,0.0142,4.0,0.0,3.5637429455529643,109,2,0,35,109,0,0,35,82,23,4,0
144,4.0,2,0.0145,4.0,0.0,3.5577502459019215,108,0,0,30,114,0,0,30,87,24,3,0
