N,C,replica,depart_sweep,n_start,start_cols,start,converted_at,end_sweep,rings,largest_ring_piece,ring_cols,dist,half_length,f_final,bath_T,drift
64,128,0,180,4,11 12 13 14,12.5,380,2380,1,4,10 11,nan,8.0,0.9375,0.484375,0.0
64,128,1,55,4,11 12 13 14,12.5,255,2255,1,4,5 6 7,nan,8.0,0.9375,0.484375,0.0
64,128,2,75,4,7 8 9 10,8.5,260,2260,1,4,7 9,nan,8.0,0.9375,0.484375,0.0
64,128,3,180,5,8 9 10 11 12,10.0,280,2280,1,4,0 14,nan,8.0,0.9375,0.484375,0.0
64,128,4,5,4,3 4 5 6,4.5,325,2325,1,4,1 2 3,nan,8.0,0.9375,0.484375,0.0
64,128,5,25,5,2 3 4 5 6,4.0,175,2175,1,4,11 12,nan,8.0,0.9375,0.484375,0.0
64,128,6,30,4,0 1 2 15,0.49999999999999956,180,2180,1,4,1 15,nan,8.0,0.9375,0.484375,0.0
64,128,7,25,4,0 1 2 15,0.49999999999999956,145,2145,1,4,11 12 13,nan,8.0,0.9375,0.484375,0.0
64,128,8,60,4,10 11 12 13,11.5,260,2260,1,4,9 10,nan,8.0,0.9375,0.484375,0.0
64,128,9,45,4,8 9 10 11,9.5,170,2170,0,0,,nan,8.0,1.0,0.59375,0.0
64,128,10,40,4,7 8 9 10,8.5,165,2165,1,4,1 2 3 4,nan,8.0,0.9375,0.484375,0.0
64,128,11,35,4,0 1 14 15,15.5,265,2265,1,4,6 7 8 9,nan,8.0,0.9375,0.484375,0.0
64,128,12,5,6,0 1 2 13 14 15,15.5,125,2125,1,4,5 6,nan,8.0,0.9375,0.484375,0.0
64,128,13,100,4,5 6 7 8,6.499999999999999,270,2270,1,4,6 7,nan,8.0,0.9375,0.484375,0.0
64,128,14,85,4,3 4 5 6,4.5,315,2315,1,4,3 4 5,nan,8.0,0.9375,0.484375,0.0
64,128,15,55,4,2 3 4 5,3.5,220,2220,1,4,3 4 5,nan,8.0,0.9375,0.484375,0.0
64,128,16,85,5,0 12 13 14 15,14.0,240,2240,1,4,3 5,nan,8.0,0.9375,0.484375,0.0
64,128,17,65,4,12 13 14 15,13.5,155,2155,1,4,7 8,nan,8.0,0.9375,0.484375,0.0
64,128,18,30,5,0 1 2 3 15,0.9999999999999996,120,2120,1,4,12 13 14,nan,8.0,0.9375,0.484375,0.0
64,128,19,15,4,10 11 12 13,11.5,170,2170,1,4,0 13 14,nan,8.0,0.9375,0.484375,0.0
64,128,20,5,4,0 1 2 15,0.49999999999999956,215,2215,1,4,7 8,nan,8.0,0.9375,0.484375,0.0
64,128,21,70,6,0 1 2 3 4 15,1.4999999999999993,270,2270,1,4,5 6 7,nan,8.0,0.9375,0.484375,0.0
64,128,22,5,4,2 3 4 5,3.5,170,2170,1,4,3 4,nan,8.0,0.9375,0.484375,0.0
64,128,23,20,5,11 12 13 14 15,13.0,260,2260,1,4,10 11,nan,8.0,0.9375,0.484375,0.0
64,128,24,50,4,1 2 3 4,2.4999999999999996,185,2185,1,4,10 11 12,nan,8.0,0.9375,0.484375,0.0
64,128,25,35,4,11 12 13 14,12.5,210,2210,1,4,5 6,nan,8.0,0.9375,0.484375,0.0
64,128,26,60,4,0 13 14 15,14.5,190,2190,1,4,6 7 8,nan,8.0,0.9375,0.484375,0.0
64,128,27,15,4,4 5 6 7,5.499999999999999,270,2270,1,4,8 10 11,nan,8.0,0.9375,0.484375,0.0
64,128,28,40,4,8 9 10 11,9.5,290,2290,1,4,4 5 6,nan,8.0,0.9375,0.484375,0.0
64,128,29,15,4,4 5 6 7,5.499999999999999,70,2070,1,4,6 7,nan,8.0,0.9375,0.484375,0.0
64,128,30,40,5,5 6 7 8 9,7.0,180,2180,1,4,2 3 4,nan,8.0,0.9375,0.484375,0.0
64,128,31,50,4,12 13 14 15,13.5,190,2190,1,4,8 9,nan,8.0,0.9375,0.484375,0.0
64,128,32,10,4,11 12 13 14,12.5,180,2180,1,4,0 14 15,nan,8.0,0.9375,0.484375,0.0
64,128,33,30,5,5 6 7 8 9,7.0,160,2160,1,4,0 14,nan,8.0,0.9375,0.484375,0.0
64,128,34,10,5,0 1 2 3 4,1.9999999999999998,120,2120,0,0,,nan,8.0,1.0,0.59375,0.0
64,128,35,35,5,6 7 8 9 10,8.0,185,2185,1,4,1 2,nan,8.0,0.9375,0.484375,0.0
64,128,36,55,4,8 9 10 11,9.5,165,2165,1,4,4,5.5,8.0,0.9375,0.484375,0.0
64,128,37,65,5,11 12 13 14 15,13.0,185,2185,0,0,,nan,8.0,1.0,0.4375,0.0
64,128,38,50,5,7 8 9 10 11,9.0,315,2315,0,0,,nan,8.0,1.0,0.4375,0.0
64,128,39,90,4,3 4 5 6,4.5,230,2230,1,4,1 2 4,nan,8.0,0.9375,0.484375,0.0
