N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac
484,0,cool,12.0,0.13054938016528925,0.014432574829162386,0.1008168206404959,0.6827851602853823,0.00018332951957311574,0.0017006935591980588,0.6818598952573083,22,22,1.0,none,0.0002626033057851239,1.0,1.0,0.0,0.0
484,0,cool,11.377,0.13792561983471074,0.014906772647822007,0.10755054545454548,0.662254446991219,0.00017168491968503702,0.0017082907791617235,0.7380104888288428,22,22,1.0,none,0.0003037190082644628,1.0,1.0,0.0,0.0
484,0,cool,10.786,0.1465805785123967,0.015278220134696862,0.11297722107438017,0.6387229225852272,0.00014834208420787002,0.0018843484686965355,0.718736496351632,22,22,1.0,none,0.0003669421487603306,1.0,1.0,0.0,0.0
484,0,cool,10.226,0.1561285123966942,0.01548721763523967,0.11608929247933886,0.6130677782799587,0.00019805953360118057,0.0019346125814314352,0.7916240113397365,22,22,1.0,none,0.00044752066115702477,1.0,1.0,0.0,0.0
484,0,cool,9.695,0.16589979338842975,0.01588096953117534,0.12206731353305786,0.5875683997288224,0.00019456992717536658,0.002210051310451196,0.9216535645954652,22,22,1.0,none,0.0005285123966942149,1.0,1.0,0.0,0.0
484,0,cool,9.192,0.17733388429752067,0.016136636625874657,0.12602926413223142,0.5589501751355889,0.0002377026919327297,0.001802331020220654,0.967982151858725,22,22,1.0,none,0.0006318181818181818,1.0,1.0,0.0,0.0
484,0,cool,8.715,0.1898185950413223,0.016581201831696563,0.13306914702479342,0.5286316422391529,0.00019695099874121892,0.0024829258413749103,1.0471825466087183,22,22,1.0,none,0.000778099173553719,1.0,1.0,0.0,0.0
484,0,cool,8.262,0.20355599173553718,0.016655116793353502,0.134258171053719,0.4971684731727789,0.00019964054353857226,0.0017377088313929767,1.211307726030931,22,22,1.0,none,0.0009524793388429753,1.0,1.0,0.0,0.0
484,0,cool,7.833,0.21812706611570248,0.01706986703487804,0.14102809452479337,0.4645497724044422,0.00031112984112130113,0.0019688187668959597,1.3725756907311508,22,22,1.0,none,0.0011985537190082644,1.0,1.0,0.0,0.0
484,0,cool,7.426,0.2354026859504132,0.017717018888829778,0.15192409502066112,0.4288124273631198,0.00028220222331954174,0.0027928363760273325,1.466212388034594,22,22,1.0,none,0.0015111570247933884,1.0,1.0,0.0,0.0
484,0,cool,7.041,0.25271012396694215,0.018103600432943734,0.1586263287396694,0.39392079755294424,0.00029571951369932007,0.0029406333490778246,1.7412177852754138,22,22,1.0,none,0.0018202479338842975,1.0,1.0,0.0,0.0
484,0,cool,6.675,0.2725103305785124,0.01811838283524339,0.1588854855371901,0.35786707854467975,0.00035668133632416033,0.0035778710461706327,1.9725248853969473,22,22,1.0,none,0.0023200413223140497,1.0,1.0,0.0,0.0
484,0,cool,6.329,0.2934814049586777,0.018188575824395193,0.16011895661157027,0.3214776157347624,0.00041423814397189657,0.004376807366478146,2.431599494857755,22,22,1.0,none,0.0028545454545454542,1.0,1.0,0.0,0.0
484,0,cool,6.0,0.31687272727272725,0.019073902016437046,0.17608584925619838,0.2848180849690083,0.0005814486486524331,0.005597908715192386,3.2570186959933376,22,22,1.0,none,0.0037834710743801653,1.0,1.0,0.0,0.0
484,0,cool,5.688,0.34184731404958674,0.018770759878889112,0.17053325039256198,0.24900800216296487,0.0004353447261634405,0.002846940243569979,3.502791087570419,22,22,1.0,none,0.0049109504132231405,1.0,1.0,0.0,0.0
484,0,cool,5.393,0.3679022727272727,0.019143753771778654,0.1773779213016529,0.21500062548424587,0.000513374003767738,0.0061572411052887984,4.134501805627942,22,22,1.0,none,0.0060247933884297515,1.0,1.0,0.0,0.0
484,0,cool,5.113,0.39751900826446285,0.019117883629979744,0.1768988416528926,0.1814289692019628,0.0005674764050678444,0.004799623023246843,5.393481994413057,22,22,1.0,none,0.007829132231404958,1.0,1.0,0.0,0.0
484,0,cool,4.848,0.4266161157024793,0.018673283869271633,0.16876670074380165,0.15202122207515495,0.0005942564351844598,0.0067613497919652345,6.136895892598381,22,22,1.0,none,0.010036776859504132,1.0,1.0,0.0,0.0
