N,lx,ly,replica,k,g,lam,cap,phi,surplus,e_mean,e_var,c_per_point,m2,m4,binder,levels_seen,sweeps,tau_int,acceptance,swap_rate,round_trips,pieces,largest_frac,baby_frac,cube_frac
676,26,26,0,0,7.0,1.0,none,0.20299422152366864,0.0008832632211538462,12.755625508505917,23898.913191913092,0.7214984057454743,74376627.795375,5538985744652688.0,0.6662386639566635,288,128000,1.548841986941267,0.4712105676775212,0.5614,0,1.0,1.0,0.0,0.0
676,26,26,0,1,6.754,1.0,none,0.21485389700443788,0.00104504900147929,12.56651784393491,24592.745473246094,0.7975137995178364,72189041.1485,5218352573639451.0,0.6662128471244448,295,128000,1.5804529327483818,0.44581696560650863,0.54805,0,1.0,1.0,0.0,0.0
676,26,26,0,2,6.516,1.0,none,0.22733321005917156,0.001247133875739645,12.367657174556212,25220.072685937503,0.8786936475032912,69923786.46025,4896383964196103.0,0.6661861616531051,299,128000,1.7065094869735824,0.4198929132766263,0.52355,0,1.0,1.0,0.0,0.0
676,26,26,0,3,6.287,1.0,none,0.24068813563239644,0.0014804571930473374,12.154911658653846,25910.557319920896,0.9697128214488082,67540402.737625,4568704132865148.0,0.6661552987046544,307,128000,1.9162877468006205,0.39357471338757377,0.5053,0,1.0,1.0,0.0,0.0
676,26,26,0,4,6.066,1.0,none,0.25487287352071003,0.0017678208210059174,11.929105306952662,26372.537346839847,1.060230779681052,65055681.167,4239099952326838.0,0.6661265037311002,313,128000,2.050029185634506,0.3668499306582833,0.484,0,1.0,1.0,0.0,0.0
676,26,26,0,5,5.853,1.0,none,0.2699578055658284,0.0021052029400887573,11.6890959227071,27023.641455538083,1.1669174275919518,62465922.717375,3908740939152835.5,0.666090086031013,313,128000,2.3200282727726327,0.33991706730769444,0.4656,0,1.0,1.0,0.0,0.0
676,26,26,0,6,5.647,1.0,none,0.2859707955806213,0.002522108450443787,11.434555704511835,28101.084734881828,1.3035893780966505,59777285.428125,3580038280529830.0,0.6660403191677897,321,128000,2.6300791081668846,0.3129448825813592,0.44895,0,1.0,1.0,0.0,0.0
676,26,26,0,7,5.449,1.0,none,0.3028610854289941,0.003015093380177515,11.166283006656805,28377.63609652734,1.4138258028619564,57006830.5915,3256247385908852.5,0.6660031700258009,329,128000,3.0882823334553207,0.28641963295118217,0.4185,0,1.0,1.0,0.0,0.0
676,26,26,0,8,5.257,1.0,none,0.32117405926405324,0.003636568509615385,10.87576132581361,28807.868910194342,1.5420145873801918,54080927.374625,2930976950752862.0,0.6659566057417032,329,128000,3.3940760690164313,0.25970485392011994,0.39695,0,1.0,1.0,0.0,0.0
676,26,26,0,9,5.072,1.0,none,0.3403412999260355,0.00439958163831361,10.572137527736686,29253.13882281152,1.6821599409451025,51105502.657375,2617747446372145.5,0.6659040881580492,330,128000,3.8926906075869807,0.23380019415680353,0.3913,0,1.0,1.0,0.0,0.0
676,26,26,0,10,4.894,1.0,none,0.35955699889053255,0.005225799741124261,10.267991216715975,29395.217610746102,1.8155242476855311,48209125.9955,2329786410294977.5,0.6658539459435111,338,128000,4.514586166040652,0.20941106231508888,0.36065,0,1.0,1.0,0.0,0.0
676,26,26,0,11,4.722,1.0,none,0.3803970044378698,0.006341854659763314,9.939015347633136,30281.248093359376,2.0089776719099848,45172210.35025,2046000376734548.8,0.6657728151356321,341,128000,5.283890223672206,0.18555832562869756,0.34715,0,1.0,1.0,0.0,0.0
676,26,26,0,12,4.556,1.0,none,0.40205503420857985,0.007574530787721893,9.59741757581361,30174.900141045902,2.150461713222419,42122428.074875,1779381493842309.5,0.6657118206361436,330,128000,6.236165947633595,0.16298747688609552,0.32415,0,1.0,1.0,0.0,0.0
676,26,26,0,13,4.396,1.0,none,0.4246783584504438,0.00918283099112426,9.241877588757397,29462.436414437503,2.2553118135859003,39060834.26525,1530350784183806.0,0.6656612563469566,325,128000,7.111669777647215,0.14208781897189446,0.30385,0,1.0,1.0,0.0,0.0
676,26,26,0,14,4.241,1.0,none,0.44803893537352074,0.011057646079881658,8.875607618343196,29512.805034437504,2.427321194265345,36028441.813,1302299270255643.8,0.6655751177269349,337,128000,8.880031282220557,0.12244104567307693,0.29575,0,1.0,1.0,0.0,0.0
676,26,26,0,15,4.092,1.0,none,0.47210778014053256,0.013297926682692309,8.499467224482249,30085.169287475586,2.6578747635685582,33042462.383375,1095783057864092.8,0.6654519381562071,345,128000,10.886359232717947,0.1045887157914206,0.28375,0,1.0,1.0,0.0,0.0
676,26,26,0,16,3.948,1.0,none,0.4966471777921598,0.016022536057692306,8.117735299556212,28630.778630371093,2.7172661279763024,30142264.4975,912008569533625.8,0.6654000193412984,332,128000,13.834337617800923,0.08870830713757487,0.2767,0,1.0,1.0,0.0,0.0
676,26,26,0,17,3.809,1.0,none,0.5213928323779585,0.019060442862426034,7.733956453402366,27276.059360433595,2.781076822399795,27360876.18875,751604352171246.9,0.6653367457692146,325,128000,16.104404850271916,0.07469806767751407,0.26775,0,1.0,1.0,0.0,0.0
676,26,26,0,18,3.675,1.0,none,0.5464309818786982,0.022708995931952664,7.347940273668639,27218.58239185938,2.9812892876772943,24700370.17225,612795860662166.2,0.6651983076475585,319,128000,19.699893184940922,0.06241291605029639,0.25005,0,1.0,1.0,0.0,0.0
676,26,26,0,19,3.546,1.0,none,0.5723860600036983,0.0271687430658284,6.950498012204142,26104.21775006934,3.071047438314694,22102350.927875,490822692201118.75,0.6650912931484536,308,128000,26.147961758441472,0.05160047614644978,0.24075,0,1.0,1.0,0.0,0.0
676,26,26,0,20,3.421,1.0,none,0.598389596431213,0.03226750878328403,6.554836492233727,25014.330486592768,3.1618119686139865,19659390.967375,388458668815741.56,0.6649701956982266,309,128000,28.306164326205565,0.04246252773668647,0.24425,0,1.0,1.0,0.0,0.0
