source,N,n_loops,n_cubes,eigenvalue,multiplicity,loc_loops,loc_each_loop,loc_loops_collar,loc_cube,random_max_here,pr_best
n144_adj/N144_rep3,144,2,0,0.03038449398,1,0.111111,0.055556|0.055556,0.326633,,0.069667,96.000
n144_adj/N144_rep3,144,2,0,0.1206147584,1,0.111111,0.055556|0.055556,0.307338,,0.084343,96.000
n144_adj/N144_rep3,144,2,0,0.2679491924,1,0.111111,0.055556|0.055556,0.277778,,0.083333,96.000
n144_adj/N144_rep3,144,2,0,0.4679111138,1,0.111111,0.055556|0.055556,0.241516,,0.079101,96.000
n144_adj/N144_rep3,144,2,0,0.6161709316,2,0.000000,0.000000|0.000000,0.006701,,0.106276,64.000
n144_adj/N144_rep3,144,2,0,0.7064011961,2,0.000000,0.000000|0.000000,0.025995,,0.111354,64.000
n144_adj/N144_rep3,144,2,0,0.7144247806,1,0.111111,0.055556|0.055556,0.202928,,0.069667,96.000
n144_adj/N144_rep3,144,2,0,0.8537356301,2,0.000000,0.000000|0.000000,0.055556,,0.115673,64.000
n144_adj/N144_rep3,144,2,0,1,1,0.111111,0.055556|0.055556,0.166667,,0.069444,96.000
n144_adj/N144_rep3,144,2,0,1.053697551,2,0.000000,0.000000|0.000000,0.091817,,0.119912,64.000
n144_adj/N144_rep3,144,2,0,1.300211218,2,0.000000,0.000000|0.000000,0.130405,,0.100079,64.000
n144_adj/N144_rep3,144,2,0,1.315959713,1,0.111111,0.055556|0.055556,0.137106,,0.096830,96.000
n144_adj/N144_rep3,144,2,0,1.585786438,2,0.000000,0.000000|0.000000,0.166667,,0.116274,64.000
n144_adj/N144_rep3,144,2,0,1.652703645,1,0.111111,0.055556|0.055556,0.117812,,0.070377,96.000
n144_adj/N144_rep3,144,2,0,1.901746151,2,0.000000,0.000000|0.000000,0.196227,,0.107919,64.000
n144_adj/N144_rep3,144,2,0,2,3,0.111111,0.055556|0.055556,0.166667,,0.114141,72.000
n144_adj/N144_rep3,144,2,0,2.030384494,2,0.111111,0.055556|0.055556,0.326633,,0.109436,78.314
n144_adj/N144_rep3,144,2,0,2.120614758,2,0.111111,0.055556|0.055556,0.307338,,0.137214,73.531
n144_adj/N144_rep3,144,2,0,2.238490082,2,0.000000,0.000000|0.000000,0.215521,,0.126029,64.000
n144_adj/N144_rep3,144,2,0,2.267949192,2,0.111111,0.055556|0.055556,0.277778,,0.118056,94.466
n144_adj/N144_rep3,144,2,0,2.347296355,1,0.111111,0.055556|0.055556,0.117812,,0.070377,96.000
n144_adj/N144_rep3,144,2,0,2.467911114,2,0.111111,0.055556|0.055556,0.241516,,0.129586,48.000
n144_adj/N144_rep3,144,2,0,2.585786438,2,0.000000,0.000000|0.000000,0.222222,,0.138889,48.000
n144_adj/N144_rep3,144,2,0,2.684040287,1,0.111111,0.055556|0.055556,0.137106,,0.096830,96.000
n144_adj/N144_rep3,144,2,0,2.714424781,2,0.111111,0.055556|0.055556,0.202928,,0.089731,49.283
n144_adj/N144_rep3,144,2,0,2.933082793,2,0.000000,0.000000|0.000000,0.215521,,0.126029,64.000
n144_adj/N144_rep3,144,2,0,3,3,0.111111,0.055556|0.055556,0.166667,,0.122718,67.569
n144_adj/N144_rep3,144,2,0,3.269826724,2,0.000000,0.000000|0.000000,0.196227,,0.107919,64.000
n144_adj/N144_rep3,144,2,0,3.285575219,1,0.111111,0.055556|0.055556,0.202928,,0.069667,96.000
n144_adj/N144_rep3,144,2,0,3.315959713,2,0.111111,0.055556|0.055556,0.137106,,0.118947,95.798
n144_adj/N144_rep3,144,2,0,3.444598056,2,0.000000,0.000000|0.000000,0.006701,,0.106276,64.000
n144_adj/N144_rep3,144,2,0,3.532088886,1,0.111111,0.055556|0.055556,0.241516,,0.079101,96.000
n144_adj/N144_rep3,144,2,0,3.534828321,2,0.000000,0.000000|0.000000,0.025995,,0.111354,64.000
n144_adj/N144_rep3,144,2,0,3.585786438,2,0.000000,0.000000|0.000000,0.166667,,0.116274,64.000
n144_adj/N144_rep3,144,2,0,3.652703645,2,0.111111,0.055556|0.055556,0.117812,,0.106288,60.457
n144_adj/N144_rep3,144,2,0,3.682162755,2,0.000000,0.000000|0.000000,0.055556,,0.115673,64.000
n144_adj/N144_rep3,144,2,0,3.732050808,1,0.111111,0.055556|0.055556,0.277778,,0.083333,96.000
n144_adj/N144_rep3,144,2,0,3.871361657,2,0.000000,0.000000|0.000000,0.130405,,0.100079,64.000
n144_adj/N144_rep3,144,2,0,3.879385242,1,0.111111,0.055556|0.055556,0.307338,,0.084343,96.000
n144_adj/N144_rep3,144,2,0,3.882124676,2,0.000000,0.000000|0.000000,0.091817,,0.119912,64.000
n144_adj/N144_rep3,144,2,0,3.969615506,1,0.111111,0.055556|0.055556,0.326633,,0.069667,96.000
n144_adj/N144_rep3,144,2,0,4,4,0.111111,0.055556|0.055556,0.166667,,0.142259,37.093
n144_adj/N144_rep3,144,2,0,4.030384494,1,0.111111,0.055556|0.055556,0.326633,,0.069667,96.000
n144_adj/N144_rep3,144,2,0,4.117875324,2,0.000000,0.000000|0.000000,0.091817,,0.119912,64.000
n144_adj/N144_rep3,144,2,0,4.120614758,1,0.111111,0.055556|0.055556,0.307338,,0.084343,96.000
n144_adj/N144_rep3,144,2,0,4.128638343,2,0.000000,0.000000|0.000000,0.130405,,0.100079,64.000
n144_adj/N144_rep3,144,2,0,4.267949192,1,0.111111,0.055556|0.055556,0.277778,,0.083333,96.000
n144_adj/N144_rep3,144,2,0,4.317837245,2,0.000000,0.000000|0.000000,0.055556,,0.115673,64.000
n144_adj/N144_rep3,144,2,0,4.347296355,2,0.111111,0.055556|0.055556,0.117812,,0.106288,56.989
n144_adj/N144_rep3,144,2,0,4.414213562,2,0.000000,0.000000|0.000000,0.166667,,0.116274,64.000
n144_adj/N144_rep3,144,2,0,4.465171679,2,0.000000,0.000000|0.000000,0.025995,,0.111354,64.000
n144_adj/N144_rep3,144,2,0,4.467911114,1,0.111111,0.055556|0.055556,0.241516,,0.079101,96.000
n144_adj/N144_rep3,144,2,0,4.555401944,2,0.000000,0.000000|0.000000,0.006701,,0.106276,64.000
n144_adj/N144_rep3,144,2,0,4.684040287,2,0.111111,0.055556|0.055556,0.137106,,0.118947,48.415
n144_adj/N144_rep3,144,2,0,4.714424781,1,0.111111,0.055556|0.055556,0.202928,,0.069667,96.000
n144_adj/N144_rep3,144,2,0,4.730173276,2,0.000000,0.000000|0.000000,0.196227,,0.107919,64.000
n144_adj/N144_rep3,144,2,0,5,3,0.111111,0.055556|0.055556,0.166667,,0.122718,68.611
n144_adj/N144_rep3,144,2,0,5.066917207,2,0.000000,0.000000|0.000000,0.215521,,0.126029,64.000
n144_adj/N144_rep3,144,2,0,5.285575219,2,0.111111,0.055556|0.055556,0.202928,,0.089731,51.039
n144_adj/N144_rep3,144,2,0,5.315959713,1,0.111111,0.055556|0.055556,0.137106,,0.096830,96.000
n144_adj/N144_rep3,144,2,0,5.414213562,2,0.000000,0.000000|0.000000,0.222222,,0.138889,48.000
n144_adj/N144_rep3,144,2,0,5.532088886,2,0.111111,0.055556|0.055556,0.241516,,0.129586,89.548
n144_adj/N144_rep3,144,2,0,5.652703645,1,0.111111,0.055556|0.055556,0.117812,,0.070377,96.000
