object,source,N,d_hist,defect_vertices,pieces,renamings_whole,ln_renamings_whole,renamings_defect,ln_renamings_defect,renamings_defect_any_side,spectra,seconds_whole
leftover,n144_adj/N144_rep3,144,0|8|136|0|0|0|0,8,four-point remnant(4);four-point remnant(4),16,2.77258872224,32,3.4657359028,128,four-point remnant:-1.32264985e-16|2|2|4;four-point remnant:-1.32264985e-16|2|2|4,3.7
leftover,n144_adj/N144_rep5,144,0|8|136|0|0|0|0,8,four-point remnant(4);four-point remnant(4),224,5.41164605186,32,3.4657359028,128,four-point remnant:-1.32264985e-16|2|2|4;four-point remnant:-1.32264985e-16|2|2|4,4.9
leftover,n192a_adj/N192_rep3,192,0|8|180|4|0|0|0,12,four-point remnant(4);unnamed: 2 at d=3(2);unnamed: 2 at d=1(2);unnamed: 2 at d=1(2);unnamed: 2 at d=3(2),2,0.69314718056,96,4.56434819147,3072,four-point remnant:-1.32264985e-16|2|2|4;unnamed: 2 at d=3:0|2;unnamed: 2 at d=1:0|2;unnamed: 2 at d=1:0|2;unnamed: 2 at d=3:0|2,44.0
leftover,n192a_adj/N192_rep5,192,0|12|176|4|0|0|0,16,unnamed: 8 at d=1(8);unnamed: 2 at d=3(2);unnamed: 2 at d=1(2);unnamed: 2 at d=1(2);unnamed: 2 at d=3(2),2,0.69314718056,576,6.3561076607,18432,unnamed: 8 at d=1:2.12555755e-17|2|2|2|4|4|4|6;unnamed: 2 at d=3:0|2;unnamed: 2 at d=1:0|2;unnamed: 2 at d=1:0|2;unnamed: 2 at d=3:0|2,0.3
leftover,n192a_adj/N192_rep8,192,0|23|166|3|0|0|0,26,unnamed: 8 at d=1(8);unnamed: 8 at d=1(8);four-point remnant(4);unnamed: 3 at d=3(3);unnamed: 3 at d=1(3),4,1.38629436112,36864,10.5149907441,294912,unnamed: 8 at d=1:-6.66133815e-16|2|2|2|4|4|4|6;unnamed: 8 at d=1:2.43304722e-16|2|2|2|4|4|4|6;four-point remnant:-1.32264985e-16|2|2|4;unnamed: 3 at d=3:-4.4408921e-16|1|3;unnamed: 3 at d=1:-4.4408921e-16|1|3,0.9
leftover,n192b_adj/N192_rep20,192,0|8|184|0|0|0|0,8,four-point remnant(4);four-point remnant(4),16,2.77258872224,32,3.4657359028,128,four-point remnant:-1.32264985e-16|2|2|4;four-point remnant:-1.32264985e-16|2|2|4,6.1
leftover,n192b_adj/N192_rep22,192,0|8|180|4|0|0|0,12,four-point remnant(4);unnamed: 2 at d=3(2);unnamed: 2 at d=1(2);unnamed: 2 at d=3(2);unnamed: 2 at d=1(2),2,0.69314718056,96,4.56434819147,3072,four-point remnant:-1.32264985e-16|2|2|4;unnamed: 2 at d=3:0|2;unnamed: 2 at d=1:0|2;unnamed: 2 at d=3:0|2;unnamed: 2 at d=1:0|2,4.9
leftover,n64_adj/N64_rep25,64,0|8|56|0|0|0|0,8,four-point remnant(4);four-point remnant(4),2,0.69314718056,32,3.4657359028,128,four-point remnant:-1.32264985e-16|2|2|4;four-point remnant:-1.32264985e-16|2|2|4,0.4
leftover,n96_adj/N96_rep10,96,0|12|80|4|0|0|0,16,unnamed: 8 at d=1(8);unnamed: 2 at d=3(2);unnamed: 2 at d=1(2);unnamed: 2 at d=1(2);unnamed: 2 at d=3(2),2,0.69314718056,576,6.3561076607,18432,unnamed: 8 at d=1:-6.66133815e-16|2|2|2|4|4|4|6;unnamed: 2 at d=3:0|2;unnamed: 2 at d=1:0|2;unnamed: 2 at d=1:0|2;unnamed: 2 at d=3:0|2,1.2
leftover,n96_adj/N96_rep20,96,0|5|86|5|0|0|0,10,unnamed: 2 at d=3(2);unnamed: 2 at d=1(2);unnamed: 2 at d=3(2);unnamed: 2 at d=1(2);unnamed: 1 at d=1(1);unnamed: 1 at d=3(1),1,0,48,3.87120101091,768,unnamed: 2 at d=3:0|2;unnamed: 2 at d=1:0|2;unnamed: 2 at d=3:0|2;unnamed: 2 at d=1:0|2;unnamed: 1 at d=1:0;unnamed: 1 at d=3:0,0.6
leftover,n96_adj/N96_rep23,96,0|0|96|0|0|0|0,0,,4,1.38629436112,1,0,1,,3.6
leftover,n96_adj/N96_rep3,96,0|16|80|0|0|0|0,16,unnamed: 8 at d=1(8);unnamed: 8 at d=1(8),8,2.07944154168,1152,7.04925484126,4608,unnamed: 8 at d=1:2.43304722e-16|2|2|2|4|4|4|6;unnamed: 8 at d=1:3.54327046e-16|2|2|2|4|4|4|6,2.8
sheet,"torus(8,8)",64,0|0|64|0|0|0|0,0,,256,5.54517744448,1,0,1,,5.8
tube,"torus(16,4)",64,0|64|0|0|0|0|0,64,unnamed: 64 at d=1(64),128,4.85203026392,128,4.85203026392,256,unnamed: 64 at d=1:1.99840144e-15|0.152240935|0.152240935|0.585786438|0.585786438|1.23463314|1.23463314|2|2|2|2|2.15224093|2.15224093|2.15224093|2.15224093|2.58578644|2.58578644|2.58578644|2.58578644|2.76536686|2.76536686|3.23463314|3.23463314|3.23463314|3.23463314|3.41421356|3.41421356|3.84775907|3.84775907|4|4|4|4|4|4|4.15224093|4.15224093|4.58578644|4.58578644|4.76536686|4.76536686|4.76536686|4.76536686|5.23463314|5.23463314|5.41421356|5.41421356|5.41421356|5.41421356|5.84775907|5.84775907|5.84775907|5.84775907|6|6|6|6|6.76536686|6.76536686|7.41421356|7.41421356|7.84775907|7.84775907|8,1.9
sheet,"torus(12,8)",96,0|0|96|0|0|0|0,0,,192,5.25749537203,1,0,1,,7.2
tube,"torus(24,4)",96,0|96|0|0|0|0|0,96,unnamed: 96 at d=1(96),192,5.25749537203,192,5.25749537203,384,unnamed: 96 at d=1:-7.38058169e-15|0.0681483474|0.0681483474|0.267949192|0.267949192|0.585786438|0.585786438|1|1|1.48236191|1.48236191|2|2|2|2|2.06814835|2.06814835|2.06814835|2.06814835|2.26794919|2.26794919|2.26794919|2.26794919|2.51763809|2.51763809|2.58578644|2.58578644|2.58578644|2.58578644|3|3|3|3|3|3|3.41421356|3.41421356|3.48236191|3.48236191|3.48236191|3.48236191|3.73205081|3.73205081|3.93185165|3.93185165|4|4|4|4|4|4|4.06814835|4.06814835|4.26794919|4.26794919|4.51763809|4.51763809|4.51763809|4.51763809|4.58578644|4.58578644|5|5|5|5|5|5|5.41421356|5.41421356|5.41421356|5.41421356|5.48236191|5.48236191|5.73205081|5.73205081|5.73205081|5.73205081|5.93185165|5.93185165|5.93185165|5.93185165|6|6|6|6|6.51763809|6.51763809|7|7|7.41421356|7.41421356|7.73205081|7.73205081|7.93185165|7.93185165|8,5.2
sheet,"torus(12,12)",144,0|0|144|0|0|0|0,0,,576,6.3561076607,1,0,1,,70.6
tube,"torus(36,4)",144,0|144|0|0|0|0|0,144,unnamed: 144 at d=1(144),288,5.66296048014,288,5.66296048014,576,unnamed: 144 at d=1:-1.32316189e-15|0.030384494|0.030384494|0.120614758|0.120614758|0.267949192|0.267949192|0.467911114|0.467911114|0.714424781|0.714424781|1|1|1.31595971|1.31595971|1.65270364|1.65270364|2|2|2|2|2.03038449|2.03038449|2.03038449|2.03038449|2.12061476|2.12061476|2.12061476|2.12061476|2.26794919|2.26794919|2.26794919|2.26794919|2.34729636|2.34729636|2.46791111|2.46791111|2.46791111|2.46791111|2.68404029|2.68404029|2.71442478|2.71442478|2.71442478|2.71442478|3|3|3|3|3|3|3.28557522|3.28557522|3.31595971|3.31595971|3.31595971|3.31595971|3.53208889|3.53208889|3.65270364|3.65270364|3.65270364|3.65270364|3.73205081|3.73205081|3.87938524|3.87938524|3.96961551|3.96961551|4|4|4|4|4|4|4.03038449|4.03038449|4.12061476|4.12061476|4.26794919|4.26794919|4.34729636|4.34729636|4.34729636|4.34729636|4.46791111|4.46791111|4.68404029|4.68404029|4.68404029|4.68404029|4.71442478|4.71442478|5|5|5|5|5|5|5.28557522|5.28557522|5.28557522|5.28557522|5.31595971|5.31595971|5.53208889|5.53208889|5.53208889|5.53208889|5.65270364|5.65270364|5.73205081|5.73205081|5.73205081|5.73205081|5.87938524|5.87938524|5.87938524|5.87938524|5.96961551|5.96961551|5.96961551|5.96961551|6|6|6|6|6.34729636|6.34729636|6.68404029|6.68404029|7|7|7.28557522|7.28557522|7.53208889|7.53208889|7.73205081|7.73205081|7.87938524|7.87938524|7.96961551|7.96961551|8,15.2
sheet,"torus(16,12)",192,0|0|192|0|0|0|0,0,,384,5.95064255259,1,0,1,,67.3
