N,lam,g,replica,class_id,S,X,A,p_interchangeable,p_named,f_interchangeable_chain,f_named_chain,f_named_reweighted
18,1.0,10.0,0,0,18,0,18,0.09476769538619666,0.012333731419006245,0.0996,0.0125,0.09710204345855901
18,1.0,10.0,0,1,18,4,2,0.019133267716851275,0.02241123684640777,0.0181,0.02465,0.02127613663336426
18,1.0,10.0,0,2,18,0,12,0.09476769538619666,0.01850059712850937,0.0877,0.01665,0.08622661459120042
18,1.0,10.0,0,3,18,2,4,0.04258187039965614,0.024938562429909477,0.04045,0.0261,0.045055348164771386
18,1.0,10.0,0,4,18,0,72,0.09476769538619666,0.0030834328547515613,0.09375,0.00305,0.0947715944155536
18,1.0,10.0,0,5,18,4,8,0.019133267716851275,0.005602809211601943,0.0161,0.0047,0.016226830373519196
18,1.0,10.0,0,6,18,6,6,0.008597131363390263,0.003356672612260704,0.0078,0.00215,0.0055671838249573835
18,1.0,10.0,0,7,19,8,1,0.019133267716851275,0.04482247369281554,0.0176,0.0473,0.02041300735817707
18,1.0,10.0,0,8,19,10,1,0.008597131363390263,0.020140035673564226,0.0104,0.0209,0.009019700925706147
18,1.0,10.0,0,9,19,9,1,0.01282541289677196,0.03004540262919935,0.0132,0.0323,0.013939537794273139
18,1.0,10.0,0,10,20,11,1,0.02854348132658114,0.06686727326431835,0.02825,0.06615,0.02854800077681635
18,1.0,10.0,0,11,20,10,1,0.04258187039965614,0.09975424971963791,0.0441,0.09715,0.041926504542217816
18,1.0,10.0,0,12,19,7,1,0.02854348132658114,0.06686727326431835,0.0322,0.0672,0.029001143646289623
18,1.0,10.0,0,13,20,10,2,0.04258187039965614,0.049877124859818954,0.03935,0.04715,0.040696545325076064
18,1.0,10.0,0,14,20,10,2,0.04258187039965614,0.049877124859818954,0.0456,0.0509,0.04393328010702804
18,1.0,10.0,0,15,21,14,1,0.04258187039965614,0.09975424971963791,0.0433,0.09765,0.042142286861014615
18,1.0,10.0,0,16,19,8,2,0.019133267716851275,0.02241123684640777,0.0188,0.02105,0.018168871242690374
18,1.0,10.0,0,17,21,13,2,0.06352468593396679,0.0744079267132153,0.06115,0.0736,0.06352631465377727
18,1.0,10.0,0,18,21,12,2,0.09476769538619666,0.11100358277105621,0.09825,0.11145,0.09619575771961246
18,1.0,10.0,0,19,19,9,2,0.01282541289677196,0.015022701314599676,0.0135,0.0153,0.013205877910364025
18,1.0,10.0,0,20,20,11,1,0.02854348132658114,0.06686727326431835,0.0313,0.06795,0.02932481712448482
18,1.0,10.0,0,21,20,12,2,0.019133267716851275,0.02241123684640777,0.0215,0.0234,0.020197225039380276
18,1.0,10.0,0,22,20,12,4,0.019133267716851275,0.011205618423203886,0.02025,0.0101,0.01743521135878126
18,1.0,10.0,0,23,22,16,4,0.09476769538619666,0.055501791385528104,0.09185,0.05775,0.09969143128412059
18,1.0,10.0,0,24,18,8,4,0.003862940129891823,0.0022623753416216256,0.0039,0.00225,0.00388408173834236
18,1.0,10.0,0,25,18,9,9,0.002589406205702005,0.000674006908064757,0.002,0.00065,0.002524653129922534
18,1.0,10.0,1,0,18,0,18,0.09476769538619666,0.012333731419006245,0.08325,0.011,0.08639308855291575
18,1.0,10.0,1,1,18,4,2,0.019133267716851275,0.02241123684640777,0.01945,0.0225,0.0196347928529354
18,1.0,10.0,1,2,18,0,12,0.09476769538619666,0.01850059712850937,0.09355,0.01735,0.09084364159958111
18,1.0,10.0,1,3,18,2,4,0.04258187039965614,0.024938562429909477,0.0407,0.0213,0.03717520780155769
18,1.0,10.0,1,4,18,0,72,0.09476769538619666,0.0030834328547515613,0.0963,0.0031,0.09738857255055958
18,1.0,10.0,1,5,18,4,8,0.019133267716851275,0.005602809211601943,0.01985,0.00385,0.013438924886009118
18,1.0,10.0,1,6,18,6,6,0.008597131363390263,0.003356672612260704,0.00965,0.00375,0.0098173964264677
18,1.0,10.0,1,7,19,8,1,0.019133267716851275,0.04482247369281554,0.0214,0.04565,0.0199184065274778
18,1.0,10.0,1,8,19,10,1,0.008597131363390263,0.020140035673564226,0.0087,0.01975,0.008617492418788314
18,1.0,10.0,1,9,19,9,1,0.01282541289677196,0.03004540262919935,0.01255,0.03035,0.013242576957479763
18,1.0,10.0,1,10,20,11,1,0.02854348132658114,0.06686727326431835,0.0305,0.0658,0.028710430438292207
18,1.0,10.0,1,11,20,10,1,0.04258187039965614,0.09975424971963791,0.0431,0.10705,0.046708990553482994
18,1.0,10.0,1,12,19,7,1,0.02854348132658114,0.06686727326431835,0.03115,0.07095,0.030957523398128146
18,1.0,10.0,1,13,20,10,2,0.04258187039965614,0.049877124859818954,0.0416,0.0493,0.04302201278443178
18,1.0,10.0,1,14,20,10,2,0.04258187039965614,0.049877124859818954,0.0429,0.0494,0.043109278530444835
18,1.0,10.0,1,15,21,14,1,0.04258187039965614,0.09975424971963791,0.0458,0.0958,0.04180029234024914
18,1.0,10.0,1,16,19,8,2,0.019133267716851275,0.02241123684640777,0.01905,0.02095,0.018282173789733184
18,1.0,10.0,1,17,21,13,2,0.06352468593396679,0.0744079267132153,0.06335,0.07485,0.0653184108907651
18,1.0,10.0,1,18,21,12,2,0.09476769538619666,0.11100358277105621,0.0944,0.1128,0.09843576150271614
18,1.0,10.0,1,19,19,9,2,0.01282541289677196,0.015022701314599676,0.01385,0.0151,0.01317712764796998
18,1.0,10.0,1,20,20,11,1,0.02854348132658114,0.06686727326431835,0.02805,0.0671,0.02927765778737701
18,1.0,10.0,1,21,20,12,2,0.019133267716851275,0.02241123684640777,0.0201,0.021,0.018325806662739707
18,1.0,10.0,1,22,20,12,4,0.019133267716851275,0.011205618423203886,0.02005,0.0124,0.021641905011235463
18,1.0,10.0,1,23,22,16,4,0.09476769538619666,0.055501791385528104,0.09405,0.0556,0.09703950956650739
18,1.0,10.0,1,24,18,8,4,0.003862940129891823,0.0022623753416216256,0.004,0.0024,0.004188755808626219
18,1.0,10.0,1,25,18,9,9,0.002589406205702005,0.000674006908064757,0.00265,0.0009,0.0035342627135283716
18,1.0,10.0,2,0,18,0,18,0.09476769538619666,0.012333731419006245,0.0916,0.0126,0.09741221947814883
18,1.0,10.0,2,1,18,4,2,0.019133267716851275,0.02241123684640777,0.0155,0.0243,0.020874047031031892
18,1.0,10.0,2,2,18,0,12,0.09476769538619666,0.01850059712850937,0.0897,0.01805,0.09303124664447548
18,1.0,10.0,2,3,18,2,4,0.04258187039965614,0.024938562429909477,0.03885,0.02535,0.04355202405239988
18,1.0,10.0,2,4,18,0,72,0.09476769538619666,0.0030834328547515613,0.10145,0.00285,0.08813486524213465
18,1.0,10.0,2,5,18,4,8,0.019133267716851275,0.005602809211601943,0.0166,0.00555,0.019070117040695805
18,1.0,10.0,2,6,18,6,6,0.008597131363390263,0.003356672612260704,0.0086,0.00315,0.008117684956512402
18,1.0,10.0,2,7,19,8,1,0.019133267716851275,0.04482247369281554,0.021,0.04255,0.018275528830666812
18,1.0,10.0,2,8,19,10,1,0.008597131363390263,0.020140035673564226,0.0078,0.01915,0.008225061741651456
18,1.0,10.0,2,9,19,9,1,0.01282541289677196,0.03004540262919935,0.01355,0.0302,0.012971115644797597
18,1.0,10.0,2,10,20,11,1,0.02854348132658114,0.06686727326431835,0.0295,0.06695,0.02875550306023838
18,1.0,10.0,2,11,20,10,1,0.04258187039965614,0.09975424971963791,0.04375,0.10385,0.04460431654676259
18,1.0,10.0,2,12,19,7,1,0.02854348132658114,0.06686727326431835,0.0286,0.0687,0.029507140556211748
18,1.0,10.0,2,13,20,10,2,0.04258187039965614,0.049877124859818954,0.04175,0.0505,0.0433802211961774
18,1.0,10.0,2,14,20,10,2,0.04258187039965614,0.049877124859818954,0.0438,0.0513,0.044067432621067326
18,1.0,10.0,2,15,21,14,1,0.04258187039965614,0.09975424971963791,0.04705,0.0988,0.04243530548695373
18,1.0,10.0,2,16,19,8,2,0.019133267716851275,0.02241123684640777,0.01685,0.0227,0.019499624181252017
18,1.0,10.0,2,17,21,13,2,0.06352468593396679,0.0744079267132153,0.0645,0.0712,0.06116181681520456
18,1.0,10.0,2,18,21,12,2,0.09476769538619666,0.11100358277105621,0.1001,0.1082,0.09294534521636423
18,1.0,10.0,2,19,19,9,2,0.01282541289677196,0.015022701314599676,0.01225,0.0143,0.012283904219907658
