N,replica,protocol,leg,k,g,lam,phi,chi,tau_int,acceptance,swap_rate,round_trips,snapshots,snap_no_fluct,snap_no_xi,diam_mean,xi_over_diam,xi_over_diam_err,xi_pooled_over_diam
196,0,sequential,cool,0,12.0,1.0,0.2613561224489796,0.15926435897959185,0.715001326357424,0.48963061224489807,,,100,0,0,7.83,0.3154430839096897,0.06602249862415545,0.2569201152479056
196,0,sequential,cool,1,11.377,1.0,0.27349489795918364,0.16396007653061226,0.7793868955000526,0.4657864795918367,,,100,0,0,7.83,0.46665842386371814,0.1443905816366986,0.28917601256391756
196,0,sequential,cool,2,10.786,1.0,0.285205612244898,0.16728755056122446,0.7886200304022072,0.4405010204081631,,,100,0,0,7.89,0.2978652816540963,0.03889008349491119,0.23896383918263972
196,0,sequential,cool,3,10.226,1.0,0.29911275510204083,0.16974132035714287,0.9610364002536568,0.41390994897959194,,,100,0,0,7.89,1.3215477415008428,0.5684325624686227,0.29018468580065426
196,0,sequential,cool,4,9.695,1.0,0.31417244897959185,0.17499973040816325,1.0138639074986973,0.3858696428571428,,,100,0,0,7.95,0.29549449530051297,0.028835682262562883,0.25971827992069146
196,0,sequential,cool,5,9.192,1.0,0.3285938775510204,0.1727788808163265,1.1658232749225965,0.35920076530612255,,,100,0,0,7.98,0.29335441695932224,0.03815793052441318,0.25021072951164275
196,0,sequential,cool,6,8.715,1.0,0.34514132653061225,0.1809397179081633,1.4555652716156835,0.33128520408163253,,,100,0,0,7.98,0.2772976908873553,0.028379780219766032,0.24845150795663049
196,0,sequential,cool,7,8.262,1.0,0.36261530612244897,0.17317514918367344,1.409338744756156,0.3034045918367348,,,100,0,0,8.01,0.25452582186936823,0.015034490366549025,0.2365115116216726
196,0,sequential,cool,8,7.833,1.0,0.38262857142857143,0.18637029061224486,1.9329258530543452,0.27415561224489793,,,100,0,0,8.01,0.24490690031214754,0.013738024544790894,0.2350554756656413
196,0,sequential,cool,9,7.426,1.0,0.401080612244898,0.17990969775510204,1.8438385694987625,0.24740255102040806,,,100,0,0,8.02,0.2770158323513295,0.022766422790007852,0.24885562645160644
196,0,sequential,cool,10,7.041,1.0,0.4217408163265306,0.18536027836734692,2.457195773457355,0.220825,,,100,0,0,8.07,0.23405859306755897,0.01100506087780807,0.22174305273520256
196,0,sequential,cool,11,6.675,1.0,0.444990306122449,0.1781792468877551,2.6790114132655543,0.19353571428571426,,,100,0,0,8.09,0.23460508840847566,0.012019830034542421,0.21920384949107935
196,0,sequential,cool,12,6.329,1.0,0.4686591836734694,0.18712963346938774,2.9874058390273626,0.1685040816326532,,,100,0,0,8.12,0.23280946062274535,0.015964700466131635,0.21176961345908277
196,0,sequential,cool,13,6.0,1.0,0.49146632653061223,0.17293270020408164,3.391233279295057,0.14565612244897957,,,100,0,0,8.22,0.3050075817847132,0.05882043111667616,0.19386426415228797
