N,replica,protocol,leg,k,g,lam,phi,chi,tau_int,acceptance,swap_rate,round_trips,snapshots,snap_no_fluct,snap_no_xi,diam_mean,xi_over_diam,xi_over_diam_err,xi_pooled_over_diam
36,1,tempering,,0,9.0,1.0,0.7599305555555556,0.1434059375,1.376328406052122,0.11068472222222246,0.8519333333333333,626,1000,0,0,5.157,0.28328112383117016,0.024333664111236497,0.19887887803929552
36,1,tempering,,1,8.357,1.0,0.7759199999999999,0.14055908515555557,1.3362267775664831,0.09793402777777704,0.8536666666666667,626,1000,0,0,5.184,0.27327607761026973,0.015044378674398501,0.19694990585834884
36,1,tempering,,2,7.76,1.0,0.7916641666666666,0.13634722199722224,1.431706001940349,0.08589236111111051,0.8399333333333333,626,1000,0,0,5.211,0.2922929331370511,0.020756575492582578,0.19569846460863122
36,1,tempering,,3,7.205,1.0,0.8093880555555555,0.13153206330833334,1.587488163526561,0.07418657407407402,0.8344,626,1000,0,0,5.255,321685687669.6262,321685687669.3208,0.19229641355387378
36,1,tempering,,4,6.69,1.0,0.8263213888888888,0.12810358597500004,1.7941934588629276,0.06359398148148142,0.83,626,1000,0,0,5.317,428914250226.14514,428914250225.76105,0.19078156468407648
36,1,tempering,,5,6.212,1.0,0.8436241666666667,0.12405227719722224,2.032480075981976,0.0541685185185185,0.8132,626,1000,0,0,5.343,0.39242582714114305,0.07483724687756099,0.1843689355534416
36,1,tempering,,6,5.768,1.0,0.8614202777777779,0.12014517008611111,2.138306744512697,0.045127430555555806,0.8153333333333334,626,1000,0,0,5.427,1501199875790.4746,1501199875790.165,0.17901214592988304
36,1,tempering,,7,5.356,1.0,0.8794055555555556,0.11515461222222223,2.353314552159248,0.037550578703703597,0.8074,626,1000,0,0,5.497,1501199875790.517,1501199875790.1653,0.17576438524676075
36,1,tempering,,8,4.973,1.0,0.8967688888888888,0.11159237937777775,2.7410332676392257,0.030575578703703723,0.7992666666666667,626,1000,0,0,5.554,562949953421.6697,562949953421.3116,0.35102450821077036
36,1,tempering,,9,4.618,1.0,0.9147747222222223,0.10763641744166665,2.939448490156449,0.024708680555555584,0.7903333333333333,626,1000,0,1,5.63,2254053867553.1797,1679399046824.376,0.3340064965239881
36,1,tempering,,10,4.288,1.0,0.9327197222222223,0.1071025008861111,3.3282994938537263,0.019456134259259718,0.7777333333333334,626,1000,0,1,5.688,300540515674.0817,300540515673.7067,0.31977009709097926
36,1,tempering,,11,3.981,1.0,0.9519875,0.11239529437499998,3.883211759885815,0.015255555555557243,0.7798,626,1000,0,3,5.768,0.39989106028717686,0.04931023656051636,0.28352323776374116
36,1,tempering,,12,3.697,1.0,0.9702469444444445,0.12316370466388887,4.598266038736379,0.011822685185187158,0.7652666666666667,626,1000,4,6,5.769,0.3585572033159394,0.04437085073006051,0.28057413687929916
36,1,tempering,,13,3.433,1.0,0.9899486111111112,0.14649984937499996,5.521768138340391,0.009212962962964491,0.7417333333333334,626,1000,5,4,5.843,0.3115734363257272,0.015700713703392905,0.25401970970553084
36,1,tempering,,14,3.187,1.0,1.0131172222222222,0.1835563408777778,6.930519814622621,0.007216203703704985,0.7364666666666667,626,1000,10,13,5.765,0.3508789307817483,0.047698313737337454,0.2907866313335831
36,1,tempering,,15,2.96,1.0,1.0379325,0.22442079375277776,7.370693782955587,0.00605150462963067,0.7344,626,1000,30,23,5.561,0.34491091181819994,0.03312231652925919,0.23990975460931738
36,1,tempering,,16,2.748,1.0,1.064335,0.26000739101111114,7.356941711617492,0.005568518518519395,0.755,626,1000,55,35,5.389,0.3675988617523409,0.03260311728885059,0.13562262508301198
36,1,tempering,,17,2.552,1.0,1.0879541666666668,0.27702049104166665,10.18629845511248,0.005436458333334051,0.8102,626,1000,97,46,5.153,0.4449227163739956,0.044196143265585915,0.16655790702724294
36,1,tempering,,18,2.369,1.0,1.1039630555555555,0.2805636464194444,36.98990656059397,0.00536979166666728,0.8592,626,1000,144,64,4.969,0.4424093321021617,0.04284752541562001,0.18120092503264695
36,1,tempering,,19,2.2,1.0,1.1138402777777778,0.2793138038194445,108.76097728865781,0.005207638888889466,,626,1000,182,65,4.876,0.49836386646808667,0.05997110562170506,0.18641348345314301
