N,k,replica,seed_columns,planted_cost,f_final,phi_final,bath_T,drift,acceptance,d0,d1,d2,d3,d4,d5,d6,pieces_d1,sizes_d1,h_final
384,1,0,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,8.515625e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,1,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,8.14236111111111e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,2,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,7.222222222222222e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,3,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,7.178819444444444e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,4,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,9.826388888888889e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,5,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,9.253472222222222e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,6,0,12.0,0.979166666666667,1.0052083333333333,0.4791666666666667,0.0,7.573784722222222e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,1,7,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,6.423611111111112e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,8,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,8.203125e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,9,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,7.534722222222223e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,10,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,8.84548611111111e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,11,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,9.418402777777778e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,12,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,9.348958333333334e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,13,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,6.892361111111111e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,14,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,8.246527777777778e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,15,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,8.888888888888889e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,16,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,7.534722222222223e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,17,0,12.0,0.979166666666667,1.0052083333333333,0.4661458333333333,0.0,7.356770833333334e-05,0,9,374,1,0,0,0,2,5 4,38.0
384,1,18,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,7.578125e-05,0,4,380,0,0,0,0,1,4,14.0
384,1,19,0,12.0,0.989583333333333,1.0026041666666667,0.4973958333333333,0.0,9.887152777777778e-05,0,4,380,0,0,0,0,1,4,14.0
