N,C,lam,k,replica,seed_columns,planted_cost,f_final,phi_final,bath_T,drift,acceptance,d0,d1,d2,d3,d4,d5,d6,pieces_d1,sizes_d1,h_final
96,3,1.25,1,0,0,12.0,1.25,0.9375,4.0,0.0,0.001382638888888889,0,0,72,24,0,0,0,0,,96.0
96,3,1.25,1,1,0,12.0,1.25,0.9375,2.3333333333333335,0.0,0.0014477430555555556,0,0,73,22,1,0,0,0,,101.0
96,3,1.25,1,2,0,12.0,1.2083333333333335,0.9479166666666666,6.0,0.0,0.001450173611111111,0,0,77,18,1,0,0,0,,90.0
96,3,1.25,1,3,0,12.0,1.2083333333333335,0.9479166666666666,1.0,0.0,0.0017324652777777779,0,0,78,16,2,0,0,0,,105.0
96,3,1.25,1,4,0,12.0,1.25,0.9375,4.0,0.0,0.002126388888888889,0,0,72,24,0,0,0,0,,96.0
96,3,1.25,1,5,0,12.0,1.1666666666666665,0.9583333333333334,1.3333333333333333,0.0,0.0021713541666666665,0,4,72,20,0,0,0,1,4,104.0
96,3,1.25,1,6,0,12.0,1.1666666666666665,0.9583333333333334,4.666666666666667,0.0,0.0018855902777777777,0,3,76,15,2,0,0,2,2 1,94.0
96,3,1.25,1,7,0,12.0,1.25,0.9375,0.6666666666666666,0.0,0.0017130208333333333,0,1,72,22,0,1,0,1,1,106.0
96,3,1.25,1,8,0,12.0,1.2083333333333335,0.9479166666666666,4.333333333333333,0.0,0.001959548611111111,0,2,72,22,0,0,0,1,2,95.0
96,3,1.25,1,9,0,12.0,1.2083333333333335,0.9479166666666666,1.0,0.0,0.002109375,0,0,76,20,0,0,0,0,,105.0
96,3,1.25,1,10,0,12.0,1.1666666666666665,0.9583333333333334,1.3333333333333333,0.0,0.0013918402777777779,0,4,74,16,2,0,0,3,2 1 1,104.0
96,3,1.25,1,11,0,12.0,1.1666666666666665,0.9583333333333334,3.0,0.0,0.001457986111111111,0,2,76,18,0,0,0,1,2,99.0
96,3,1.25,1,12,0,12.0,1.1666666666666665,0.9583333333333334,3.0,0.0,0.0019704861111111112,0,3,77,14,1,1,0,2,2 1,99.0
96,3,1.25,1,13,0,12.0,1.25,0.9375,0.6666666666666666,0.0,0.0021302083333333333,0,1,72,21,2,0,0,1,1,106.0
96,3,1.25,1,14,0,12.0,1.2083333333333335,0.9479166666666666,4.333333333333333,0.0,0.0009486111111111111,0,0,76,20,0,0,0,0,,95.0
96,3,1.25,1,15,0,12.0,1.2083333333333335,0.9479166666666666,1.0,0.0,0.0015583333333333332,0,2,73,20,1,0,0,2,1 1,105.0
96,3,1.25,1,16,0,12.0,1.2083333333333335,0.9479166666666666,4.333333333333333,0.0,0.0018512152777777778,0,2,72,22,0,0,0,1,2,95.0
96,3,1.25,1,17,0,12.0,1.25,0.9375,0.6666666666666666,0.0,0.0018246527777777777,0,0,73,22,1,0,0,0,,106.0
96,3,1.25,1,18,0,12.0,1.25,0.9375,0.6666666666666666,0.0,0.001237673611111111,0,0,72,24,0,0,0,0,,106.0
96,3,1.25,1,19,0,12.0,1.1666666666666665,0.9583333333333334,1.3333333333333333,0.0,0.0014050347222222222,0,4,73,18,1,0,0,3,2 1 1,104.0
96,6,1.25,1,0,0,12.0,1.125,0.96875,1.6666666666666667,0.0,0.0017828125,0,2,80,14,0,0,0,1,2,98.0
96,6,1.25,1,1,0,12.0,1.2083333333333335,0.9479166666666666,3.0,0.0,0.0014541666666666668,0,0,76,20,0,0,0,0,,90.0
96,6,1.25,1,2,0,12.0,1.125,0.96875,1.6666666666666667,0.0,0.001531076388888889,0,0,84,12,0,0,0,0,,98.0
96,6,1.25,1,3,0,12.0,1.1666666666666665,0.9583333333333334,0.6666666666666666,0.0,0.001193923611111111,0,4,73,18,1,0,0,1,4,104.0
96,6,1.25,1,4,0,12.0,1.1666666666666665,0.9583333333333334,1.5,0.0,0.0010390625,0,4,73,18,1,0,0,2,2 2,99.0
96,6,1.25,1,5,0,12.0,1.125,0.96875,4.166666666666667,0.0,0.001228125,0,6,72,18,0,0,0,2,4 2,83.0
96,6,1.25,1,6,0,12.0,1.2083333333333335,0.9479166666666666,0.5,0.0,0.0015949652777777778,0,2,72,22,0,0,0,1,2,105.0
96,6,1.25,1,7,0,12.0,1.0833333333333335,0.9791666666666666,1.0,0.0,0.0024487847222222224,0,5,79,11,1,0,0,3,2 2 1,102.0
96,6,1.25,1,8,0,12.0,1.0833333333333335,0.9791666666666666,4.333333333333333,0.0,0.0018703125,0,8,72,16,0,0,0,1,8,82.0
96,6,1.25,1,9,0,12.0,1.0833333333333335,0.9791666666666666,2.6666666666666665,0.0,0.0016302083333333333,0,5,78,13,0,0,0,3,2 2 1,92.0
96,6,1.25,1,10,0,12.0,1.2083333333333335,0.9479166666666666,1.3333333333333333,0.0,0.0013,0,0,77,18,1,0,0,0,,100.0
96,6,1.25,1,11,0,12.0,1.2083333333333335,0.9479166666666666,2.1666666666666665,0.0,0.0017038194444444444,0,2,72,22,0,0,0,1,2,95.0
96,6,1.25,1,12,0,12.0,1.2083333333333335,0.9479166666666666,1.3333333333333333,0.0,0.00191875,0,0,77,18,1,0,0,0,,100.0
96,6,1.25,1,13,0,12.0,1.1666666666666665,0.9583333333333334,1.5,0.0,0.001418923611111111,0,5,72,17,2,0,0,2,3 2,99.0
96,6,1.25,1,14,0,12.0,1.1666666666666665,0.9583333333333334,3.1666666666666665,0.0,0.0011836805555555557,0,0,80,16,0,0,0,0,,89.0
96,6,1.25,1,15,0,12.0,1.0,1.0,3.0,0.0,0.0016060763888888889,0,8,80,8,0,0,0,4,2 2 2 2,90.0
96,6,1.25,1,16,0,12.0,1.1666666666666665,0.9583333333333334,2.3333333333333335,0.0,0.002075,0,4,72,20,0,0,0,2,2 2,94.0
96,6,1.25,1,17,0,12.0,1.1666666666666665,0.9583333333333334,1.5,0.0,0.0016600694444444445,0,2,78,14,2,0,0,2,1 1,99.0
96,6,1.25,1,18,0,12.0,1.25,0.9375,2.0,0.0,0.001,0,0,73,22,1,0,0,0,,96.0
96,6,1.25,1,19,0,12.0,1.2083333333333335,0.9479166666666666,2.1666666666666665,0.0,0.0015454861111111112,0,0,78,16,2,0,0,0,,95.0
96,12,1.25,1,0,0,12.0,1.2083333333333335,0.9479166666666666,1.0833333333333333,0.0,0.0011255208333333334,0,1,74,21,0,0,0,1,1,95.0
96,12,1.25,1,1,0,12.0,1.2083333333333335,0.9479166666666666,1.5,0.0,0.0010383680555555556,0,0,76,20,0,0,0,0,,90.0
96,12,1.25,1,2,0,12.0,1.0833333333333335,0.9791666666666666,1.75,0.0,0.0014368055555555555,0,3,82,11,0,0,0,2,2 1,87.0
96,12,1.25,1,3,0,12.0,1.125,0.96875,2.9166666666666665,0.0,0.000993923611111111,0,3,80,12,0,1,0,2,2 1,73.0
96,12,1.25,1,4,0,12.0,1.125,0.96875,2.0833333333333335,0.0,0.001190451388888889,0,4,76,16,0,0,0,1,4,83.0
96,12,1.25,1,5,0,12.0,1.125,0.96875,2.5,0.0,0.0015465277777777777,0,0,84,12,0,0,0,0,,78.0
96,12,1.25,1,6,0,12.0,1.0833333333333335,0.9791666666666666,2.5833333333333335,0.0,0.0013184027777777777,0,2,84,10,0,0,0,1,2,77.0
96,12,1.25,1,7,0,12.0,1.1666666666666665,0.9583333333333334,3.6666666666666665,0.0,0.001168576388888889,0,0,80,16,0,0,0,0,,64.0
96,12,1.25,1,8,0,12.0,1.1666666666666665,0.9583333333333334,1.5833333333333333,0.0,0.0016288194444444445,0,2,76,18,0,0,0,1,2,89.0
96,12,1.25,1,9,0,12.0,1.2083333333333335,0.9479166666666666,1.5,0.0,0.0010444444444444444,0,0,76,20,0,0,0,0,,90.0
96,12,1.25,1,10,0,12.0,1.0833333333333335,0.9791666666666666,2.5833333333333335,0.0,0.001443923611111111,0,5,78,13,0,0,0,2,3 2,77.0
96,12,1.25,1,11,0,12.0,1.0833333333333335,0.9791666666666666,3.0,0.0,0.0015994791666666666,0,2,84,10,0,0,0,1,2,72.0
96,12,1.25,1,12,0,12.0,1.1666666666666665,0.9583333333333334,2.0,0.0,0.001335763888888889,0,2,76,18,0,0,0,1,2,84.0
96,12,1.25,1,13,0,12.0,1.0416666666666665,0.9895833333333334,1.8333333333333333,0.0,0.0010428819444444444,0,8,77,10,1,0,0,3,4 2 2,86.0
96,12,1.25,1,14,0,12.0,1.0,1.0,1.9166666666666667,0.0,0.0012043402777777777,0,6,84,6,0,0,0,2,4 2,85.0
96,12,1.25,1,15,0,12.0,1.0833333333333335,0.9791666666666666,1.75,0.0,0.001103125,0,2,84,10,0,0,0,1,2,87.0
96,12,1.25,1,16,0,12.0,1.1666666666666665,0.9583333333333334,3.6666666666666665,0.0,0.0011805555555555556,0,0,80,16,0,0,0,0,,64.0
96,12,1.25,1,17,0,12.0,1.125,0.96875,2.0833333333333335,0.0,0.0015685763888888889,0,4,76,16,0,0,0,2,2 2,83.0
96,12,1.25,1,18,0,12.0,1.1666666666666665,0.9583333333333334,2.4166666666666665,0.0,0.0011743055555555556,0,0,81,14,1,0,0,0,,79.0
96,12,1.25,1,19,0,12.0,1.0833333333333335,0.9791666666666666,2.5833333333333335,0.0,0.0009980902777777779,0,2,84,10,0,0,0,1,2,77.0
96,18,1.25,1,0,0,12.0,1.0,1.0,1.2777777777777777,0.0,0.0013663194444444445,0,8,80,8,0,0,0,3,4 2 2,85.0
96,18,1.25,1,1,0,12.0,1.125,0.96875,1.1111111111111112,0.0,0.0016690972222222222,0,4,76,16,0,0,0,2,2 2,88.0
96,18,1.25,1,2,0,12.0,1.2083333333333335,0.9479166666666666,1.2777777777777777,0.0,0.0009324652777777778,0,0,77,18,1,0,0,0,,85.0
96,18,1.25,1,3,0,12.0,1.2083333333333335,0.9479166666666666,1.5555555555555556,0.0,0.0010595486111111112,0,0,76,20,0,0,0,0,,80.0
96,18,1.25,1,4,0,12.0,1.125,0.96875,1.6666666666666667,0.0,0.001223263888888889,0,0,84,12,0,0,0,0,,78.0
96,18,1.25,1,5,0,12.0,1.0833333333333335,0.9791666666666666,1.7222222222222223,0.0,0.0011855902777777778,0,4,80,12,0,0,0,3,2 1 1,77.0
96,18,1.25,1,6,0,12.0,1.0833333333333335,0.9791666666666666,2.0,0.0,0.000796875,0,3,82,11,0,0,0,2,2 1,72.0
96,18,1.25,1,7,0,12.0,1.1666666666666665,0.9583333333333334,1.8888888888888888,0.0,0.0009984375,0,1,79,15,1,0,0,1,1,74.0
96,18,1.25,1,8,0,12.0,1.0833333333333335,0.9791666666666666,1.1666666666666667,0.0,0.0009887152777777778,0,10,68,18,0,0,0,2,8 2,87.0
96,18,1.25,1,9,0,12.0,1.125,0.96875,1.6666666666666667,0.0,0.0006442708333333333,0,1,83,11,1,0,0,1,1,78.0
96,18,1.25,1,10,0,12.0,1.0833333333333335,0.9791666666666666,2.5555555555555554,0.0,0.0009272569444444444,0,2,84,10,0,0,0,1,2,62.0
96,18,1.25,1,11,0,12.0,1.0833333333333335,0.9791666666666666,0.8888888888888888,0.0,0.0009965277777777778,0,4,80,12,0,0,0,1,4,92.0
96,18,1.25,1,12,0,12.0,1.0416666666666665,0.9895833333333334,2.0555555555555554,0.0,0.0010282986111111111,0,5,83,7,1,0,0,3,2 2 1,71.0
96,18,1.25,1,13,0,12.0,1.0,1.0,2.6666666666666665,0.0,0.0006645833333333333,0,6,84,6,0,0,0,2,4 2,60.0
96,18,1.25,1,14,0,12.0,1.0833333333333335,0.9791666666666666,2.5555555555555554,0.0,0.0009258680555555555,0,0,88,8,0,0,0,0,,62.0
96,18,1.25,1,15,0,12.0,1.125,0.96875,1.1111111111111112,0.0,0.000959375,0,2,80,14,0,0,0,2,1 1,88.0
96,18,1.25,1,16,0,12.0,1.1666666666666665,0.9583333333333334,0.7777777777777778,0.0,0.0009118055555555556,0,1,78,17,0,0,0,1,1,94.0
96,18,1.25,1,17,0,12.0,1.0,1.0,2.111111111111111,0.0,0.0008949652777777777,0,8,80,8,0,0,0,3,4 2 2,70.0
96,18,1.25,1,18,0,12.0,1.125,0.96875,1.9444444444444444,0.0,0.0006847222222222222,0,2,80,14,0,0,0,1,2,73.0
96,18,1.25,1,19,0,12.0,1.1666666666666665,0.9583333333333334,2.1666666666666665,0.0,0.0006244791666666666,0,0,80,16,0,0,0,0,,69.0
96,24,1.25,1,0,0,12.0,1.0416666666666665,0.9895833333333334,2.1666666666666665,0.0,0.0009342013888888889,0,2,88,6,0,0,0,1,2,56.0
96,24,1.25,1,1,0,12.0,1.0416666666666665,0.9895833333333334,1.5416666666666667,0.0,0.00030694444444444443,0,6,80,10,0,0,0,3,2 2 2,71.0
96,24,1.25,1,2,0,12.0,1.0416666666666665,0.9895833333333334,2.375,0.0,0.0007401041666666667,0,4,84,8,0,0,0,2,2 2,51.0
96,24,1.25,1,3,0,12.0,1.0416666666666665,0.9895833333333334,1.9583333333333333,0.0,0.00047065972222222225,0,6,80,10,0,0,0,2,4 2,61.0
96,24,1.25,1,4,0,12.0,1.1666666666666665,0.9583333333333334,1.8333333333333333,0.0,0.0007673611111111111,0,0,80,16,0,0,0,0,,64.0
96,24,1.25,1,5,0,12.0,1.125,0.96875,1.25,0.0,0.0006449652777777777,0,2,82,10,2,0,0,1,2,78.0
96,24,1.25,1,6,0,12.0,1.125,0.96875,2.0833333333333335,0.0,0.0007145833333333333,0,0,84,12,0,0,0,0,,58.0
96,24,1.25,1,7,0,12.0,1.0833333333333335,0.9791666666666666,2.5416666666666665,0.0,0.0009305555555555556,0,1,86,9,0,0,0,1,1,47.0
96,24,1.25,1,8,0,12.0,1.125,0.96875,1.6666666666666667,0.0,0.0004465277777777778,0,0,84,12,0,0,0,0,,68.0
96,24,1.25,1,9,0,12.0,0.916666666666667,1.0208333333333333,2.7083333333333335,0.0,0.00048159722222222224,1,10,81,4,0,0,0,3,5 4 1,43.0
96,24,1.25,1,10,0,12.0,0.958333333333333,1.0104166666666667,1.8333333333333333,0.0,0.0009532986111111111,0,12,76,8,0,0,0,2,10 2,64.0
96,24,1.25,1,11,0,12.0,0.958333333333333,1.0104166666666667,2.6666666666666665,0.0,0.0006963541666666666,0,10,80,6,0,0,0,1,10,44.0
96,24,1.25,1,12,0,12.0,1.0833333333333335,0.9791666666666666,3.1666666666666665,0.0,0.0005336805555555556,0,0,88,8,0,0,0,0,,32.0
96,24,1.25,1,13,0,12.0,1.0833333333333335,0.9791666666666666,2.3333333333333335,0.0,0.0006899305555555556,0,0,88,8,0,0,0,0,,52.0
96,24,1.25,1,14,0,12.0,1.1666666666666665,0.9583333333333334,0.7916666666666666,0.0,0.0005590277777777778,0,0,82,12,2,0,0,0,,89.0
96,24,1.25,1,15,0,12.0,1.0416666666666665,0.9895833333333334,1.75,0.0,0.0005069444444444444,0,0,92,4,0,0,0,0,,66.0
96,24,1.25,1,16,0,12.0,1.125,0.96875,1.6666666666666667,0.0,0.000590625,0,1,82,13,0,0,0,1,1,68.0
96,24,1.25,1,17,0,12.0,1.0833333333333335,0.9791666666666666,3.1666666666666665,0.0,0.0004746527777777778,0,0,88,8,0,0,0,0,,32.0
96,24,1.25,1,18,0,12.0,1.0416666666666665,0.9895833333333334,2.7916666666666665,0.0,0.0008442708333333334,0,2,88,6,0,0,0,1,2,41.0
96,24,1.25,1,19,0,12.0,1.0,1.0,2.0,0.0,0.0005001736111111111,0,8,80,8,0,0,0,1,8,60.0
96,36,1.25,1,0,0,12.0,1.0,1.0,3.0,0.0,0.00033055555555555556,0,0,96,0,0,0,0,0,,0.0
96,36,1.25,1,1,0,12.0,1.0,1.0,2.4444444444444446,0.0,0.00034010416666666667,0,0,96,0,0,0,0,0,,20.0
96,36,1.25,1,2,0,12.0,1.0,1.0,2.4444444444444446,0.0,0.0002842013888888889,0,2,92,2,0,0,0,1,2,20.0
96,36,1.25,1,3,0,12.0,1.0416666666666665,0.9895833333333334,1.3055555555555556,0.0,0.00043472222222222225,0,4,84,8,0,0,0,2,2 2,61.0
96,36,1.25,1,4,0,12.0,1.0,1.0,1.75,0.0,0.00039288194444444445,0,2,92,2,0,0,0,1,2,45.0
96,36,1.25,1,5,0,12.0,0.958333333333333,1.0104166666666667,2.611111111111111,0.0,0.00037934027777777776,0,4,92,0,0,0,0,1,4,14.0
