N,g,replica,sweep,followed,pieces_d1,n_d1,displacement,d1_vertices
96,1.0,0,0,True,1,4,0,82 86 89 90
96,1.0,0,500,True,1,4,0,82 86 89 90
96,1.0,0,1000,True,1,4,0,82 86 89 90
96,1.0,0,1500,True,1,4,0,82 86 89 90
96,1.0,0,2000,True,1,4,0,82 86 89 90
96,1.0,0,2500,True,1,4,0,82 86 89 90
96,1.0,0,3000,True,1,4,0,82 86 89 90
96,1.0,0,3500,True,1,4,0,82 86 89 90
96,1.0,0,4000,True,1,4,0,82 86 89 90
96,1.0,0,4500,True,1,4,0,82 86 89 90
96,1.0,0,5000,True,1,4,0,82 86 89 90
96,1.0,0,5500,True,1,4,0,82 86 89 90
96,1.0,0,6000,True,1,4,0,82 86 89 90
96,1.0,0,6500,True,1,4,0,82 86 89 90
96,1.0,0,7000,True,1,4,0,82 86 89 90
96,1.0,0,7500,True,1,4,0,82 86 89 90
96,1.0,0,8000,True,1,4,0,82 86 89 90
96,1.0,0,8500,True,1,4,0,82 86 89 90
96,1.0,0,9000,True,1,4,0,82 86 89 90
96,1.0,0,9500,True,1,4,0,82 86 89 90
96,1.0,0,10000,True,1,4,0,82 86 89 90
96,1.0,0,10500,True,1,4,0,82 86 89 90
96,1.0,0,11000,True,1,4,0,82 86 89 90
96,1.0,0,11500,True,1,4,0,82 86 89 90
96,1.0,0,12000,True,1,4,0,82 86 89 90
96,1.0,0,12500,True,1,4,0,82 86 89 90
96,1.0,0,13000,True,1,4,0,82 86 89 90
96,1.0,0,13500,True,1,4,0,82 86 89 90
96,1.0,0,14000,True,1,4,0,82 86 89 90
96,1.0,0,14500,True,1,4,0,82 86 89 90
96,1.0,0,15000,True,1,4,0,82 86 89 90
96,1.0,0,15500,True,1,4,0,82 86 89 90
96,1.0,0,16000,True,1,4,0,82 86 89 90
96,1.0,0,16500,True,1,4,0,82 86 89 90
96,1.0,0,17000,True,1,4,0,82 86 89 93
96,1.0,0,17500,True,1,4,0,82 86 92 93
96,1.0,0,18000,True,1,4,0,82 86 92 93
96,1.0,0,18500,True,1,4,0,82 86 92 93
96,1.0,0,19000,True,1,4,0,82 86 92 93
96,1.0,0,19500,True,1,4,0,82 86 92 93
96,1.0,0,20000,True,1,4,0,82 86 92 93
96,1.0,0,20500,True,1,4,0,82 86 92 93
96,1.0,0,21000,True,1,4,0,82 86 92 93
96,1.0,0,21500,True,1,4,0,82 86 92 93
96,1.0,0,22000,True,1,4,0,82 86 92 93
96,1.0,0,22500,True,1,4,0,82 86 92 93
96,1.0,0,23000,True,1,4,0,82 86 92 93
96,1.0,0,23500,True,1,4,0,82 86 92 93
96,1.0,0,24000,True,1,4,0,82 86 92 93
96,1.0,0,24500,True,1,4,0,82 86 92 93
96,1.0,0,25000,True,1,4,0,82 86 92 93
96,1.0,0,25500,True,1,4,0,82 86 92 93
96,1.0,0,26000,True,1,4,0,82 86 92 93
96,1.0,0,26500,True,1,4,0,82 86 92 93
96,1.0,0,27000,True,1,4,0,82 86 92 93
96,1.0,0,27500,True,1,4,0,82 86 92 93
96,1.0,0,28000,True,1,4,0,82 86 92 93
96,1.0,0,28500,True,1,4,0,82 86 92 93
96,1.0,0,29000,True,1,4,0,82 86 92 93
96,1.0,0,29500,True,1,4,0,82 86 92 93
96,1.0,0,30000,True,1,4,0,82 86 92 93
96,1.0,0,30500,True,1,4,0,82 86 92 93
96,1.0,0,31000,True,1,4,0,82 86 92 93
96,1.0,0,31500,True,1,4,0,82 86 92 93
96,1.0,0,32000,True,1,4,0,82 86 92 93
96,1.0,0,32500,True,1,4,0,82 86 92 93
96,1.0,0,33000,True,1,4,0,82 86 92 93
96,1.0,0,33500,True,1,4,0,82 86 92 93
96,1.0,0,34000,True,1,4,0,82 86 92 93
96,1.0,0,34500,True,1,4,0,82 86 92 93
96,1.0,0,35000,True,1,4,0,82 86 92 93
96,1.0,0,35500,True,1,4,0,82 86 92 93
96,1.0,0,36000,True,1,4,0,82 86 92 93
96,1.0,0,36500,True,1,4,0,82 86 92 93
96,1.0,0,37000,True,1,4,0,82 86 92 93
96,1.0,0,37500,True,1,4,0,82 86 92 93
96,1.0,0,38000,True,1,4,0,82 86 92 93
96,1.0,0,38500,True,1,4,0,82 86 92 93
96,1.0,0,39000,True,1,4,0,82 86 92 93
96,1.0,0,39500,True,1,4,0,82 86 92 93
96,1.0,0,40000,True,1,4,0,82 86 92 93
96,1.0,0,40500,True,1,4,0,82 86 92 93
96,1.0,0,41000,True,1,4,0,82 86 92 93
96,1.0,0,41500,True,1,4,0,82 86 92 93
96,1.0,0,42000,True,1,4,0,82 86 92 93
96,1.0,0,42500,True,1,4,0,82 86 92 93
96,1.0,0,43000,True,1,4,0,82 86 92 93
96,1.0,0,43500,True,1,4,0,82 86 92 93
96,1.0,0,44000,True,1,4,0,82 86 92 93
96,1.0,0,44500,True,1,4,0,82 86 92 93
96,1.0,0,45000,True,1,4,0,82 86 92 93
96,1.0,0,45500,True,1,4,0,82 86 92 93
96,1.0,0,46000,True,1,4,0,82 86 92 93
96,1.0,0,46500,True,1,4,0,82 86 90 92
96,1.0,0,47000,True,1,4,0,82 86 90 92
96,1.0,0,47500,True,1,4,0,82 86 90 92
96,1.0,0,48000,True,1,4,0,82 86 90 92
96,1.0,0,48500,True,1,4,0,82 86 90 92
96,1.0,0,49000,True,1,4,0,82 86 90 92
96,1.0,0,49500,True,1,4,0,82 86 90 92
96,1.0,0,50000,True,1,4,0,82 86 90 92
96,1.0,0,50500,True,1,4,0,82 86 90 92
96,1.0,0,51000,True,1,4,0,82 86 89 90
96,1.0,0,51500,True,1,4,0,82 86 89 90
96,1.0,0,52000,True,1,4,0,82 86 89 90
96,1.0,0,52500,True,1,4,0,86 87 90 92
96,1.0,0,53000,True,1,4,0,86 87 90 92
96,1.0,0,53500,True,1,4,0,86 87 90 92
96,1.0,0,54000,True,1,4,0,86 87 90 92
96,1.0,0,54500,True,1,4,0,86 87 90 92
96,1.0,0,55000,True,1,4,0,86 87 90 92
96,1.0,0,55500,True,1,4,0,86 87 90 92
96,1.0,0,56000,True,1,4,0,86 87 90 92
96,1.0,0,56500,True,1,4,0,86 87 90 92
96,1.0,0,57000,True,1,4,0,86 87 90 92
96,1.0,0,57500,True,1,4,0,86 87 90 92
96,1.0,0,58000,True,1,4,0,86 87 90 92
96,1.0,0,58500,True,1,4,0,86 87 90 92
96,1.0,0,59000,True,1,4,0,86 87 90 92
96,1.0,0,59500,True,1,4,0,86 87 90 92
96,1.0,0,60000,True,1,4,0,86 87 90 92
96,1.0,0,60500,True,1,4,0,86 87 90 92
96,1.0,0,61000,True,1,4,0,86 87 90 92
96,1.0,0,61500,True,1,4,0,86 87 90 92
96,1.0,0,62000,True,1,4,0,86 87 90 92
96,1.0,0,62500,True,1,4,0,86 87 90 92
96,1.0,0,63000,True,1,4,0,86 87 90 92
96,1.0,0,63500,True,1,4,0,86 87 90 92
96,1.0,0,64000,True,1,4,0,86 87 90 92
96,1.0,0,64500,True,1,4,0,86 87 90 92
