N,points,protocol,budget_per_point,replica,folded,flat,melted,folded_share,phi_end,h_end_per_point,drift,symmetries_end,d0,d1,d2,d3,d4,d5,d6
36,interchangeable,single,0.5,0,0,36,0,,1.0,0.0,0.0,144,0,0,36,0,0,0,0
36,interchangeable,single,0.5,1,0,36,0,,1.0,0.0,0.0,144,0,0,36,0,0,0,0
36,interchangeable,single,0.5,2,0,36,0,,1.0,0.0,0.0,144,0,0,36,0,0,0,0
36,interchangeable,single,0.5,3,0,36,0,,1.0,0.0,0.0,144,0,0,36,0,0,0,0
36,interchangeable,single,0.5,4,0,36,0,,1.0,0.0,0.0,144,0,0,36,0,0,0,0
36,interchangeable,single,0.5,5,0,36,0,,1.0,0.0,0.0,144,0,0,36,0,0,0,0
36,interchangeable,single,1.0,0,8,28,0,1.0,1.0555555555555556,0.7777777777777778,0.0,4,0,8,28,0,0,0,0
36,interchangeable,single,1.0,1,1,30,5,0.16666666666666666,0.9722222222222222,1.0,0.0,1,0,1,30,5,0,0,0
36,interchangeable,single,1.0,2,1,32,3,0.25,0.9722222222222222,1.0,0.0,2,0,1,32,2,0,1,0
36,interchangeable,single,1.0,3,1,30,5,0.16666666666666666,0.9722222222222222,0.8611111111111112,0.0,1,0,1,30,5,0,0,0
36,interchangeable,single,1.0,4,4,28,4,0.5,1.0,0.8333333333333334,0.0,1,0,4,28,4,0,0,0
36,interchangeable,single,1.0,5,1,30,5,0.16666666666666666,0.9722222222222222,1.0,0.0,1,0,1,30,5,0,0,0
36,interchangeable,single,2.0,0,4,24,8,0.3333333333333333,0.9722222222222222,1.6944444444444444,0.0,1,0,4,24,8,0,0,0
36,interchangeable,single,2.0,1,1,26,9,0.1,0.9444444444444444,1.5833333333333333,0.0,1,0,1,26,9,0,0,0
36,interchangeable,single,2.0,2,0,24,12,0.0,0.9166666666666666,1.8888888888888888,0.0,1,0,0,24,12,0,0,0
36,interchangeable,single,2.0,3,4,21,11,0.26666666666666666,0.9444444444444444,1.8611111111111112,0.0,1,0,4,21,10,1,0,0
36,interchangeable,single,2.0,4,4,20,12,0.25,0.9444444444444444,1.8611111111111112,0.0,1,0,4,20,12,0,0,0
36,interchangeable,single,2.0,5,8,16,12,0.4,0.9722222222222222,1.9722222222222223,0.0,1,0,8,16,12,0,0,0
36,interchangeable,single,4.0,0,0,12,24,0.0,0.7777777777777778,3.9722222222222223,0.0,1,0,0,12,18,4,2,0
36,interchangeable,single,4.0,1,3,8,25,0.10714285714285714,0.8055555555555556,3.9444444444444446,0.0,1,0,3,8,19,6,0,0
36,interchangeable,single,4.0,2,0,9,27,0.0,0.7777777777777778,3.6944444444444446,0.0,1,0,0,9,22,5,0,0
36,interchangeable,single,4.0,3,2,10,24,0.07692307692307693,0.8055555555555556,3.9444444444444446,0.0,1,0,2,10,18,6,0,0
36,interchangeable,single,4.0,4,1,13,22,0.043478260869565216,0.8055555555555556,3.8055555555555554,0.0,1,0,1,13,16,5,1,0
36,interchangeable,single,4.0,5,3,11,22,0.12,0.8333333333333334,3.9166666666666665,0.0,1,0,3,11,17,5,0,0
36,interchangeable,bath,2.0,0,4,28,4,0.5,1.0,0.8333333333333334,0.0,2,0,4,28,4,0,0,0
36,interchangeable,bath,2.0,1,5,30,1,0.8333333333333334,1.0277777777777777,0.8055555555555556,0.0,1,0,5,30,1,0,0,0
36,interchangeable,bath,2.0,2,0,36,0,,1.0,0.0,0.0,24,0,0,36,0,0,0,0
36,interchangeable,bath,2.0,3,2,32,2,0.5,1.0,0.6944444444444444,0.0,1,0,2,32,2,0,0,0
36,interchangeable,bath,2.0,4,0,36,0,,1.0,0.0,0.0,24,0,0,36,0,0,0,0
36,interchangeable,bath,2.0,5,0,36,0,,1.0,0.0,0.0,144,0,0,36,0,0,0,0
36,interchangeable,bath,4.0,0,0,32,4,0.0,0.9722222222222222,0.7222222222222222,0.0,1,0,0,32,4,0,0,0
36,interchangeable,bath,4.0,1,5,26,5,0.5,1.0,1.1111111111111112,0.0,1,0,5,26,5,0,0,0
36,interchangeable,bath,4.0,2,0,36,0,,1.0,0.0,0.0,24,0,0,36,0,0,0,0
36,interchangeable,bath,4.0,3,0,28,8,0.0,0.9444444444444444,0.8888888888888888,0.0,1,0,0,28,8,0,0,0
36,interchangeable,bath,4.0,4,2,28,6,0.25,0.9722222222222222,1.0,0.0,1,0,2,28,6,0,0,0
36,interchangeable,bath,4.0,5,2,32,2,0.5,1.0,0.4166666666666667,0.0,1,0,2,32,2,0,0,0
