N,points,protocol,budget_per_point,replica,folded,flat,melted,folded_share,phi_end,h_end_per_point,drift,symmetries_end,d0,d1,d2,d3,d4,d5,d6
36,named,single,0.5,0,0,36,0,,1.0,0.0,0.0,144,0,0,36,0,0,0,0
36,named,single,0.5,1,0,36,0,,1.0,0.0,0.0,144,0,0,36,0,0,0,0
36,named,single,0.5,2,0,36,0,,1.0,0.0,0.0,144,0,0,36,0,0,0,0
36,named,single,0.5,3,0,36,0,,1.0,0.0,0.0,144,0,0,36,0,0,0,0
36,named,single,0.5,4,0,36,0,,1.0,0.0,0.0,144,0,0,36,0,0,0,0
36,named,single,0.5,5,0,36,0,,1.0,0.0,0.0,144,0,0,36,0,0,0,0
36,named,single,1.0,0,2,28,6,0.25,0.9722222222222222,1.0,0.0,1,0,2,28,6,0,0,0
36,named,single,1.0,1,2,28,6,0.25,0.9722222222222222,1.0,0.0,1,0,2,28,6,0,0,0
36,named,single,1.0,2,7,27,2,0.7777777777777778,1.0277777777777777,0.9444444444444444,0.0,1,0,7,27,1,1,0,0
36,named,single,1.0,3,2,28,6,0.25,0.9722222222222222,1.0,0.0,1,0,2,28,6,0,0,0
36,named,single,1.0,4,0,28,8,0.0,0.9444444444444444,0.8888888888888888,0.0,1,0,0,28,8,0,0,0
36,named,single,1.0,5,0,28,8,0.0,0.9444444444444444,0.8888888888888888,0.0,1,0,0,28,8,0,0,0
36,named,single,2.0,0,1,26,9,0.1,0.9444444444444444,2.0,0.0,1,0,1,26,9,0,0,0
36,named,single,2.0,1,4,24,8,0.3333333333333333,0.9722222222222222,1.8333333333333333,0.0,1,0,4,24,8,0,0,0
36,named,single,2.0,2,6,20,10,0.375,0.9722222222222222,1.9722222222222223,0.0,1,1,5,20,9,1,0,0
36,named,single,2.0,3,4,20,12,0.25,0.9444444444444444,2.0,0.0,1,0,4,20,12,0,0,0
36,named,single,2.0,4,2,24,10,0.16666666666666666,0.9444444444444444,1.8611111111111112,0.0,1,0,2,24,10,0,0,0
36,named,single,2.0,5,1,24,11,0.08333333333333333,0.9166666666666666,1.8888888888888888,0.0,1,0,1,24,9,2,0,0
