N,lam,g,replica,exits,fallbacks,first_exit_sweeps,end_sweeps,went_through
96,1.25,1.5,0,1,0,2416.9947916666665,2499.6302083333335,True
96,1.25,1.5,1,1,0,58.307291666666664,128.15625,True
96,1.25,1.5,2,2,1,2188.6354166666665,3503.8385416666665,True
96,1.25,1.5,3,1,0,680.6770833333334,748.1458333333334,True
96,1.25,1.5,4,2,1,1962.34375,2068.5104166666665,True
96,1.25,1.5,5,1,0,221.50520833333334,253.1875,True
96,1.25,1.5,6,1,0,1113.890625,1182.2552083333333,True
96,1.25,1.5,7,2,1,550.3333333333334,2330.296875,True
96,1.25,1.5,8,1,0,768.1666666666666,819.125,True
96,1.25,1.5,9,2,1,935.125,1650.8385416666667,True
96,1.25,1.5,10,1,0,2377.03125,2391.2552083333335,True
96,1.25,1.5,11,1,0,1493.1666666666667,1658.265625,True
96,1.25,1.5,12,3,2,1190.3802083333333,2793.734375,True
96,1.25,1.5,13,2,1,783.1614583333334,1485.7291666666667,True
96,1.25,1.5,14,1,0,429.0364583333333,793.0989583333334,True
96,1.25,1.5,15,1,0,529.3333333333334,578.1666666666666,True
96,1.25,1.5,16,1,0,570.4114583333334,622.2135416666666,True
96,1.25,1.5,17,1,0,770.125,821.578125,True
96,1.25,1.5,18,1,0,1622.0052083333333,1672.875,True
96,1.25,1.5,19,2,1,434.1510416666667,3134.828125,True
96,1.25,1.5,20,2,1,122.11979166666667,2059.0416666666665,True
96,1.25,1.5,21,3,2,496.9375,4058.5208333333335,True
96,1.25,1.5,22,1,0,597.8385416666666,679.359375,True
96,1.25,1.5,23,1,0,1611.8385416666667,1682.5833333333333,True
96,1.25,1.5,24,1,0,790.7760416666666,804.125,True
96,1.25,1.5,25,1,0,249.703125,349.3385416666667,True
96,1.25,1.5,26,2,1,39.84375,1963.1145833333333,True
96,1.25,1.5,27,3,2,617.7239583333334,1680.59375,True
96,1.25,1.5,28,1,0,1142.1041666666667,1224.015625,True
96,1.25,1.5,29,1,0,2308.2864583333335,2375.4166666666665,True
96,1.25,1.5,30,1,0,774.5,821.3229166666666,True
96,1.25,1.5,31,1,0,184.13541666666666,240.14583333333334,True
96,1.25,1.5,32,2,1,222.13020833333334,1608.4583333333333,True
96,1.25,1.5,33,1,0,96.54166666666667,102.91666666666667,True
96,1.25,1.5,34,1,0,451.328125,519.9010416666666,True
96,1.25,1.5,35,3,2,318.2395833333333,1252.875,True
96,1.25,1.5,36,2,1,1160.96875,1617.71875,True
96,1.25,1.5,37,2,1,661.8489583333334,1003.9322916666666,True
96,1.25,1.5,38,3,2,964.2291666666666,3118.1302083333335,True
96,1.25,1.5,39,1,0,2277.140625,2365.0104166666665,True
