N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
192,48,4,0,1.35,1.5,3016366831,4905,210,1.0,1.400000000000001,1.4000000000000004,1.387812500000001,0,1800,0.75,0.0,1550,4,0.875,48,0,140,48,4,0,0,0,2160,1,1.0,96,0,96,96,0,0,0,0,2405,1,1.0,144,0,48,144,0,0,0,0
192,48,4,1,1.35,1.5,252091884,15795,205,1.0,1.400000000000001,1.4000000000000004,1.3080381944444455,9600,11400,0.75,0.0625,290,2,0.5,48,0,144,48,0,0,0,0,480,4,0.6136363636363636,88,0,100,88,4,0,0,0,620,7,0.40298507462686567,134,0,47,134,11,0,0,0
192,48,4,2,1.35,1.5,431215890,20160,210,1.0,1.400000000000001,1.4000000000000004,0.8008854166666676,16800,18600,0.75,0.1875,270,5,0.65,40,0,148,40,4,0,0,0,705,4,0.43478260869565216,92,0,94,92,6,0,0,0,905,3,0.578125,128,0,56,128,8,0,0,0
192,48,4,3,1.35,1.5,2410427064,38065,215,1.0,1.400000000000001,1.4000000000000004,0.6684548611111122,34800,36600,0.75,0.08333333333333304,515,6,0.6428571428571429,28,0,152,28,12,0,0,0,805,6,0.28125,64,0,112,64,16,0,0,0,1045,6,0.46,100,0,68,100,24,0,0,0
192,48,4,4,1.35,1.5,41680675,123285,380,1.0,1.2020833333333343,1.4000000000000004,1.1821006944444454,0,100200,0.75,0.0,465,7,0.625,32,0,152,32,8,0,0,0,1890,3,0.9545454545454546,88,0,100,88,4,0,0,0,2510,3,0.7941176470588235,136,0,52,136,4,0,0,0
192,48,4,5,1.35,1.5,956463256,102270,280,1.0,1.287500000000001,1.4000000000000004,1.001762152777779,45000,100200,0.75,0.16666666666666696,280,3,0.9,40,0,148,40,4,0,0,0,805,3,0.9545454545454546,88,0,100,88,4,0,0,0,1585,3,0.9776119402985075,134,0,53,134,5,0,0,0
192,48,4,6,1.35,1.5,3831151092,101655,245,1.0,1.2604166666666676,1.4000000000000004,0.8239496527777788,31200,100200,0.75,0.0,455,4,0.5,40,0,148,40,4,0,0,0,725,7,0.5,80,0,104,80,8,0,0,0,1050,5,0.5042016806722689,119,0,61,119,11,1,0,0
192,48,4,7,1.35,1.5,624995601,101930,395,0.9947916666666666,1.0787239583333343,1.4000000000000004,-0.02509548611111012,42000,100200,0.75,0.125,460,7,0.5714285714285714,28,0,154,28,10,0,0,0,730,3,0.9344262295081968,61,0,114,61,16,1,0,0,900,7,0.4642857142857143,84,0,78,84,30,0,0,0
192,48,4,8,1.35,1.5,1804683807,100975,205,1.0,1.2329861111111122,1.4000000000000004,0.7858940972222233,21000,100200,0.75,0.27083333333333304,205,2,0.5384615384615384,52,0,140,52,0,0,0,0,340,4,0.4782608695652174,92,0,96,92,4,0,0,0,450,3,0.5564516129032258,124,0,58,124,10,0,0,0
192,48,4,9,1.35,1.5,282076353,102210,210,1.0,1.2603819444444455,1.4000000000000004,0.9887934027777788,48000,100200,0.75,0.0,445,4,0.45454545454545453,44,0,144,44,4,0,0,0,815,5,0.6,80,0,104,80,8,0,0,0,970,8,0.55,120,0,60,120,12,0,0,0
