N,t_cool,g_hot,g_cold,replica,followed,block,sweep,g,n_d1,pieces_d1,n_damage,h,final
96,300,1.25,0.25,0,True,0,0,1.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,1,500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,2,1000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,3,1500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,4,2000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,5,2500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,6,3000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,7,3500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,8,4000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,9,4500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,10,5000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,11,5500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,12,6000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,13,6500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,14,7000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,15,7500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,16,8000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,17,8500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,18,9000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,19,9500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,20,10000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,21,10500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,22,11000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,23,11500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,24,12000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,25,12500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,26,13000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,27,13500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,28,14000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,29,14500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,30,15000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,31,15500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,32,16000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,33,16500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,34,17000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,35,17500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,36,18000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,37,18500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,38,19000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,39,19500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,40,20000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,0,True,41,20500,0.25,4,1,4,14.0,True
96,300,1.25,0.25,1,True,0,0,1.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,1,500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,2,1000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,3,1500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,4,2000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,5,2500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,6,3000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,7,3500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,8,4000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,9,4500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,10,5000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,11,5500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,12,6000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,13,6500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,14,7000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,15,7500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,16,8000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,17,8500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,18,9000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,19,9500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,20,10000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,21,10500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,22,11000,0.25,4,1,4,14.0,False
