N,protocol,points,E,achieved,radius,leak,local_heat,replica,block,sweep,h,folded,flat,melted,d0,d1,d2,d3,d4,d5,d6,pieces_folded,largest_folded,pieces_damage,largest_damage,stores_total,stores_max,lost,drift,symmetries,final
144,patch,named,32.0,32.0,3,0.0,True,0,0,0,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,1,500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,2,1000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,3,1500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,4,2000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,5,2500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,6,3000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,7,3500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,8,4000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,9,4500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,10,5000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,11,5500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,12,6000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,13,6500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,14,7000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,15,7500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,16,8000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,17,8500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,18,9000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,19,9500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,20,10000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,21,10500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,22,11000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,23,11500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,24,12000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,25,12500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,26,13000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,27,13500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,28,14000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,29,14500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,30,15000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,31,15500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,32,16000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,33,16500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,34,17000,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,35,17500,32.0,0,136,8,0,0,136,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,36,18000,26.0,1,138,5,0,1,138,5,0,0,0,1,1,2,5,6.0,5.0,0.0,0.0,,False
144,patch,named,32.0,32.0,3,0.0,True,0,37,18500,26.0,1,138,5,0,1,138,5,0,0,0,1,1,2,5,6.0,5.0,0.0,0.0,,False
