N,protocol,points,E,achieved,radius,leak,local_heat,replica,block,sweep,h,folded,flat,melted,d0,d1,d2,d3,d4,d5,d6,pieces_folded,largest_folded,pieces_damage,largest_damage,stores_total,stores_max,lost,drift,symmetries,final
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,0,0,32.0,0,56,8,0,0,56,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,1,100,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,2,200,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,3,300,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,4,400,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,5,500,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,6,600,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,7,700,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,8,800,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,9,900,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,10,1000,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,11,1100,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
