N,protocol,points,E,achieved,radius,leak,local_heat,replica,block,sweep,h,folded,flat,melted,d0,d1,d2,d3,d4,d5,d6,pieces_folded,largest_folded,pieces_damage,largest_damage,stores_total,stores_max,lost,drift,symmetries,final
144,stores,named,288.0,288.0,2,0.0,True,0,0,0,0.0,0,144,0,0,0,144,0,0,0,0,0,0,0,0,288.0,32.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,1,500,238.0,1,92,51,0,1,92,49,2,0,0,1,1,2,50,50.0,16.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,2,1000,245.0,8,94,42,0,8,94,36,6,0,0,5,2,6,43,43.0,11.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,3,1500,226.0,2,100,42,0,2,100,38,4,0,0,1,2,5,19,62.0,11.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,4,2000,238.0,0,96,48,0,0,96,45,2,1,0,0,0,4,42,50.0,5.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,5,2500,210.0,4,96,44,0,4,96,44,0,0,0,2,2,2,40,78.0,15.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,6,3000,242.0,4,93,47,0,4,93,42,5,0,0,2,2,3,47,46.0,8.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,7,3500,201.0,2,98,44,0,2,98,42,2,0,0,1,2,3,32,87.0,11.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,8,4000,178.0,4,104,36,0,4,104,36,0,0,0,1,4,3,22,110.0,11.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,9,4500,212.0,0,99,45,0,0,99,42,3,0,0,0,0,1,45,76.0,8.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,10,5000,194.0,2,106,36,0,2,106,34,2,0,0,1,2,2,36,94.0,8.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,11,5500,178.0,5,104,35,0,5,104,33,2,0,0,3,2,6,32,110.0,15.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,12,6000,196.0,0,102,42,0,0,102,40,2,0,0,0,0,1,42,92.0,9.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,13,6500,211.0,5,95,44,0,5,95,39,5,0,0,1,5,1,49,77.0,8.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,14,7000,198.0,4,106,34,0,4,106,32,2,0,0,2,2,4,30,90.0,6.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,15,7500,212.0,9,99,36,0,9,99,35,1,0,0,3,5,2,43,76.0,6.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,16,8000,200.0,4,99,41,0,4,99,38,3,0,0,3,2,6,33,88.0,6.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,17,8500,180.0,0,106,38,0,0,106,36,2,0,0,0,0,4,29,108.0,15.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,18,9000,201.0,0,103,41,0,0,103,38,3,0,0,0,0,3,37,87.0,12.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,19,9500,195.0,1,106,37,0,1,106,33,4,0,0,1,1,3,33,93.0,12.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,20,10000,207.0,8,103,33,0,8,103,30,3,0,0,5,2,8,29,81.0,12.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,21,10500,198.0,2,112,30,0,2,112,26,4,0,0,2,1,5,20,90.0,9.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,22,11000,170.0,8,108,28,0,8,108,28,0,0,0,3,5,7,22,118.0,8.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,23,11500,171.0,6,109,29,0,6,109,28,1,0,0,1,6,2,29,117.0,17.0,0.0,0.0,,False
144,stores,named,288.0,288.0,2,0.0,True,0,24,12000,178.0,3,110,31,0,3,110,28,2,1,0,1,3,4,25,110.0,8.0,0.0,0.0,,False
