N,dims,C,spark,replica,lam,sweep,h_per_vertex,d0,d1,d2,d3,d4,d5,d6,d7,melted,pieces_flat,largest_flat,bath_T,total,drift,left,final
512,4 4 32,128,16.0,0,1.25,0,2.0,0,512,0,0,0,0,0,0,0,0,0,0.125,16.0,0.0,False,False
512,4 4 32,128,16.0,0,1.25,200,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,400,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,600,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,800,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,1000,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,1200,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,1400,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,1600,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,1800,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,2000,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,2200,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,2400,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,2600,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,2800,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,3000,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,3200,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,3400,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,3600,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,3800,2.0234375,0,480,24,4,0,4,0,0,4,2,2,0.03125,4.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,4000,2.015625,0,464,36,4,4,4,0,0,8,2,2,0.0625,8.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,4200,2.015625,0,464,36,4,4,4,0,0,8,2,2,0.0625,8.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,4400,2.015625,0,464,36,4,4,4,0,0,8,2,2,0.0625,8.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,4600,2.015625,0,464,36,4,4,4,0,0,8,2,2,0.0625,8.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,4800,2.0078125,0,448,48,4,8,4,0,0,12,2,2,0.09375,12.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,5000,2.0078125,0,448,48,4,8,4,0,0,12,2,2,0.09375,12.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,5200,2.0078125,0,448,48,4,8,4,0,0,12,2,2,0.09375,12.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,5400,2.0078125,0,448,48,4,8,4,0,0,12,2,2,0.09375,12.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,5600,2.0078125,0,448,48,4,8,4,0,0,12,2,2,0.09375,12.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,5800,2.0078125,0,448,48,4,8,4,0,0,12,2,2,0.09375,12.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,6000,2.0078125,0,448,48,4,8,4,0,0,12,2,2,0.09375,12.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,6200,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,6400,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,6600,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,6800,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,7000,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,7200,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,7400,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,7600,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,7800,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,8000,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,8200,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,8400,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,8600,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,8800,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,9000,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,9200,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,9400,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,9600,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,9800,2.0,0,432,60,4,12,4,0,0,16,2,2,0.125,16.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,10000,1.9921875,0,416,72,4,16,4,0,0,20,2,2,0.15625,20.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,10200,1.984375,0,400,84,4,20,4,0,0,24,2,2,0.1875,24.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,10400,1.984375,0,400,84,4,20,4,0,0,24,2,2,0.1875,24.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,10600,1.984375,0,400,84,4,20,4,0,0,24,2,2,0.1875,24.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,10800,1.984375,0,400,84,4,20,4,0,0,24,2,2,0.1875,24.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,11000,1.984375,0,400,84,4,20,4,0,0,24,2,2,0.1875,24.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,11200,1.9765625,0,384,96,4,24,4,0,0,28,2,2,0.21875,28.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,11400,1.9765625,0,384,96,4,24,4,0,0,28,2,2,0.21875,28.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,11600,1.9765625,0,384,96,4,24,4,0,0,28,2,2,0.21875,28.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,11800,1.9765625,0,384,96,4,24,4,0,0,28,2,2,0.21875,28.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,12000,1.9765625,0,384,96,4,24,4,0,0,28,2,2,0.21875,28.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,12200,1.9765625,0,384,96,4,24,4,0,0,28,2,2,0.21875,28.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,12400,1.96875,0,368,108,4,28,4,0,0,32,2,2,0.25,32.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,12600,1.96875,0,368,108,4,28,4,0,0,32,2,2,0.25,32.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,12800,1.96875,0,368,108,4,28,4,0,0,32,2,2,0.25,32.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,13000,1.96875,0,368,108,4,28,4,0,0,32,2,2,0.25,32.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,13200,1.96875,0,368,108,4,28,4,0,0,32,2,2,0.25,32.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,13400,1.96875,0,368,108,4,28,4,0,0,32,2,2,0.25,32.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,13600,1.9609375,0,352,120,4,32,4,0,0,36,2,2,0.28125,36.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,13800,1.9609375,0,352,120,4,32,4,0,0,36,2,2,0.28125,36.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,14000,1.9609375,0,352,120,4,32,4,0,0,36,2,2,0.28125,36.0,0.0,True,False
512,4 4 32,128,16.0,0,1.25,14200,1.9609375,0,352,120,4,32,4,0,0,36,2,2,0.28125,36.0,0.0,True,False
