N,dims,C,spark,replica,lam,sweep,h_per_vertex,d0,d1,d2,d3,d4,d5,d6,d7,melted,pieces_flat,largest_flat,bath_T,total,drift,left,final
2304,9x(4 4 4 4),576,20.0,0,1.1,0,1.6000000000000005,2304,0,0,0,0,0,0,0,0,0,0,0.034722222222222224,20.0,0.0,False,False
2304,9x(4 4 4 4),576,20.0,0,1.1,250,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,500,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,750,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,1000,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,1250,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,1500,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,1750,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,2000,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,2250,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,2500,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,2750,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,3000,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,3250,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,3500,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,3750,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,4000,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,4250,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,4500,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,4750,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,5000,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,5250,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,5500,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,5750,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,6000,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,6250,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,6500,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,6750,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,7000,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,7250,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,7500,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,7750,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,8000,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,8250,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,8500,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,8750,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,9000,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
2304,9x(4 4 4 4),576,20.0,0,1.1,9250,1.6083333333333358,2280,20,0,0,0,4,0,0,4,0,0,0.0013888888888889087,0.8000000000000114,4.547473508864641e-12,True,False
