N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
64,16,4,3500,1.3,1.5,4202182358,12635,730,1.0,1.2000000000000002,1.2000000000000002,0.9544791666666669,8400,9600,0.75,0.0,750,1,1.0,20,0,44,20,0,0,0,0,780,1,1.0,32,0,32,32,0,0,0,0,840,1,1.0,48,0,16,48,0,0,0,0
64,16,4,3501,1.3,1.5,1702531566,3705,1240,1.0,1.2000000000000002,1.2000000000000002,1.1459375000000003,0,1800,0.75,0.0,1260,1,1.0,16,0,48,16,0,0,0,0,1355,1,1.0,32,0,32,32,0,0,0,0,1405,1,1.0,48,0,16,48,0,0,0,0
64,16,4,3502,1.3,1.5,3364275836,2970,,1.0,1.2000000000000002,1.2000000000000002,1.1396875000000002,600,1800,0.75,0.9375,205,1,1.0,60,0,4,60,0,0,0,0,205,1,1.0,60,0,4,60,0,0,0,0,205,1,1.0,60,0,4,60,0,0,0,0
64,16,4,3503,1.3,1.5,2210514704,114670,335,1.0,0.8750000000000001,1.2000000000000002,0.46317708333333374,16800,100200,0.75,0.0,335,4,0.25,8,0,52,8,4,0,0,0,405,3,0.8333333333333334,24,0,36,24,4,0,0,0,530,3,0.7,40,0,20,40,4,0,0,0
64,16,4,3504,1.3,1.5,3417617006,3515,,1.0,1.2000000000000002,1.2000000000000002,0.9573958333333336,1200,2400,0.75,0.9375,205,1,1.0,60,0,4,60,0,0,0,0,205,1,1.0,60,0,4,60,0,0,0,0,205,1,1.0,60,0,4,60,0,0,0,0
64,16,4,3505,1.3,1.5,3657475910,117475,210,1.0,0.9000000000000002,1.2000000000000002,0.8875000000000002,0,100200,0.75,0.0,210,4,0.25,8,0,52,8,4,0,0,0,255,3,0.8333333333333334,24,0,36,24,4,0,0,0,325,3,0.9583333333333334,48,0,14,48,2,0,0,0
64,16,4,3506,1.3,1.5,887489851,19290,825,1.0,1.2000000000000002,1.2000000000000002,0.5672916666666669,16800,18000,0.75,0.0,825,4,0.25,8,0,52,8,4,0,0,0,840,3,0.75,16,0,40,16,8,0,0,0,1230,3,0.6818181818181818,44,0,16,44,4,0,0,0
64,16,4,3507,1.3,1.5,3026048481,2665,710,1.0,1.2000000000000002,1.2000000000000002,1.1662500000000002,0,1800,0.75,0.0,740,1,1.0,16,0,48,16,0,0,0,0,755,1,1.0,32,0,32,32,0,0,0,0,810,1,1.0,48,0,16,48,0,0,0,0
64,16,4,3508,1.3,1.5,1686130534,100950,205,0.984375,0.9500000000000002,1.2000000000000002,0.0815625000000002,7200,100200,0.75,0.3125,205,4,0.3333333333333333,12,0,48,12,4,0,0,0,385,2,0.8666666666666667,15,0,41,15,7,1,0,0,655,2,0.9166666666666666,24,0,28,24,12,0,0,0
64,16,4,3509,1.3,1.5,1660998569,59175,285,0.984375,1.2000000000000002,1.2000000000000002,0.3873958333333338,57600,58800,0.75,0.625,205,3,0.875,32,0,28,32,4,0,0,0,205,3,0.875,32,0,28,32,4,0,0,0,285,3,0.9,40,0,20,40,4,0,0,0
64,16,4,3510,1.3,1.5,516308947,2585,410,1.0,1.2000000000000002,1.2000000000000002,1.1483333333333334,0,1800,0.75,0.0,445,1,1.0,16,0,48,16,0,0,0,0,560,1,1.0,36,0,28,36,0,0,0,0,615,1,1.0,48,0,16,48,0,0,0,0
64,16,4,3511,1.3,1.5,2786932720,1405,,1.0,1.2000000000000002,1.2000000000000002,1.2000000000000002,0,1200,0.75,1.0,205,1,1.0,64,0,0,64,0,0,0,0,205,1,1.0,64,0,0,64,0,0,0,0,205,1,1.0,64,0,0,64,0,0,0,0
64,16,4,3512,1.3,1.5,538274517,18535,525,1.0,1.2000000000000002,1.2000000000000002,0.5391666666666669,15600,17400,0.75,0.0,525,4,0.25,8,0,52,8,4,0,0,0,635,3,0.8333333333333334,24,0,36,24,4,0,0,0,755,3,0.5,40,0,20,40,4,0,0,0
64,16,4,3513,1.3,1.5,3296183128,1835,495,1.0,1.2000000000000002,1.2000000000000002,1.1972916666666669,0,1200,0.75,0.0,515,1,1.0,16,0,48,16,0,0,0,0,560,1,1.0,32,0,32,32,0,0,0,0,610,1,1.0,48,0,16,48,0,0,0,0
64,16,4,3514,1.3,1.5,942528994,5800,290,1.0,1.2000000000000002,1.2000000000000002,0.9581250000000002,4200,5400,0.75,0.0,295,1,1.0,20,0,44,20,0,0,0,0,325,1,1.0,32,0,32,32,0,0,0,0,350,1,1.0,48,0,16,48,0,0,0,0
64,16,4,3515,1.3,1.5,2548918853,100545,230,0.984375,0.8750000000000001,1.2000000000000002,0.22927083333333342,42600,100200,0.75,0.0,235,4,0.25,8,0,52,8,4,0,0,0,290,4,0.75,24,0,32,24,8,0,0,0,315,5,0.75,32,0,22,32,10,0,0,0
64,16,4,3516,1.3,1.5,1125854025,5440,1075,1.0,1.2000000000000002,1.2000000000000002,0.9573958333333336,3000,4200,0.75,0.0,1090,1,1.0,20,0,44,20,0,0,0,0,1125,1,1.0,32,0,32,32,0,0,0,0,1215,1,1.0,48,0,16,48,0,0,0,0
64,16,4,3517,1.3,1.5,42935753,1515,205,1.0,1.2000000000000002,1.2000000000000002,1.1972916666666669,0,1200,0.75,0.375,205,1,1.0,28,0,36,28,0,0,0,0,230,1,1.0,32,0,32,32,0,0,0,0,260,1,1.0,48,0,16,48,0,0,0,0
64,16,4,3518,1.3,1.5,113405897,3740,620,1.0,1.2000000000000002,1.2000000000000002,0.9617708333333336,1200,2400,0.75,0.0,1135,1,1.0,20,0,44,20,0,0,0,0,1150,1,1.0,32,0,32,32,0,0,0,0,1245,1,1.0,48,0,16,48,0,0,0,0
64,16,4,3519,1.3,1.5,1985260568,3820,205,1.0,1.2000000000000002,1.2000000000000002,0.9560416666666669,2400,3600,0.75,0.8125,205,1,1.0,56,0,8,56,0,0,0,0,205,1,1.0,56,0,8,56,0,0,0,0,205,1,1.0,56,0,8,56,0,0,0,0
64,16,4,3520,1.3,1.5,2683795286,3580,,1.0,1.2000000000000002,1.2000000000000002,0.950104166666667,1800,3000,0.75,0.875,205,1,1.0,56,0,8,56,0,0,0,0,205,1,1.0,56,0,8,56,0,0,0,0,205,1,1.0,56,0,8,56,0,0,0,0
64,16,4,3521,1.3,1.5,3838866885,10135,,1.0,1.2000000000000002,1.2000000000000002,0.7228125000000003,7800,9600,0.75,0.9375,205,1,1.0,56,0,6,56,2,0,0,0,205,1,1.0,56,0,6,56,2,0,0,0,205,1,1.0,56,0,6,56,2,0,0,0
