N,lx,ly,replica,k,g,lam,cap,phi,surplus,e_mean,e_var,c_per_point,m2,m4,binder,levels_seen,sweeps,tau_int,acceptance,swap_rate,round_trips,pieces,largest_frac,baby_frac,cube_frac
64,8,8,0,0,14.0,0.0,none,0.49960078125,0.03324505208333333,8.0063875,3283.3272825600006,0.2617448407653062,265846.1056,74137191288.0128,0.6503333051096492,31,60000,0.8131456980757367,0.3079237304687504,0.634375,1,1.0,1.0,0.0,0.0
64,8,8,0,1,11.9687,0.0,none,0.538503125,0.04432421875,7.38395,3362.274566826667,0.3667408090983199,226687.32586666668,54407617548.561066,0.6470737385398053,29,60000,0.9703299855622018,0.25386474609374954,0.613625,1,1.0,1.0,0.0,0.0
64,8,8,0,2,10.4521,0.0,none,0.5784609375,0.05860703125,6.744625,3374.6613973333338,0.4826620102027525,189701.56373333334,38515124334.31893,0.6432465121280901,32,60000,1.2813835162585339,0.2060010742187516,0.61525,1,1.0,1.0,0.0,0.0
64,8,8,0,3,9.2767,0.0,none,0.61907734375,0.07607890625,6.0947625,3465.33660096,0.6291850971105143,155615.8848,26333246465.6384,0.6375273053182637,34,60000,1.8433261067940765,0.16420078124999973,0.607375,1,1.0,1.0,0.0,0.0
64,8,8,0,4,8.3389,0.0,none,0.6612794270833333,0.09960078125,5.419529166666667,3626.933193315556,0.8149708038425343,123931.7632,17108395796.0704,0.62870185700339,34,60000,2.231144087525658,0.12836308593749943,0.8645,1,1.0,1.0,0.0,0.0
64,8,8,0,5,8.0671,0.0,none,0.6744705729166667,0.10851432291666667,5.208470833333333,3623.4978781155555,0.8699877877332772,114740.47573333334,14777366844.757334,0.625852792993264,32,60000,2.0623483240821967,0.11869345703124896,0.86225,1,1.0,1.0,0.0,0.0
64,8,8,0,6,7.8124,0.0,none,0.6896440104166667,0.11887916666666666,4.965695833333333,3772.711659448889,0.9658389101367719,104772.43306666666,12495205414.775467,0.6205731270383147,36,60000,2.2607878423988823,0.10845175781249967,0.853125,1,1.0,1.0,0.0,0.0
64,8,8,0,7,7.5733,0.0,none,0.7051651041666667,0.13102421875,4.717358333333333,3941.7051337955554,1.0738258078555312,95091.9168,10461361615.6672,0.6143620581320874,35,60000,2.5689554876205962,0.09866855468750009,0.859,1,1.0003833333333334,0.9999145833333334,8.541666666666666e-05,1.25e-05
64,8,8,0,8,7.3484,0.0,none,0.7212606770833333,0.14440989583333333,4.459829166666666,4078.5145684622216,1.1801479789255906,85548.26666666666,8628165261.175467,0.6070160884343592,38,60000,2.6429765614821275,0.0897882812499995,0.85575,1,1.001,0.9997734375,0.0002265625,6.25e-05
64,8,8,0,9,7.1365,0.0,none,0.73692109375,0.15862473958333334,4.2092625,4348.1081081600005,1.33398153861596,76920.5888,7132197070.4384,0.5981935721123675,41,60000,2.967471738910077,0.08163115234375008,0.83575,1,1.0019833333333332,0.9995354166666667,0.00038125,0.0001625
64,8,8,0,10,6.9365,0.0,none,0.7588247395833333,0.18431953125,3.858804166666667,6487.612531982222,2.1068040708259574,67478.5664,5732623577.9072,0.5803371977827414,59,60000,4.772118553686075,0.07256923828125013,0.8035,1,1.0172,0.9959635416666667,0.003940625,0.0020958333333333332
64,8,8,0,11,6.7473,0.0,none,0.8100309895833333,0.2805739583333333,3.0395041666666667,26755.758267662226,9.182844898454466,64597.0048,6025189684.0192,0.5186901977848806,62,60000,6.057036583553308,0.062331445312499525,0.414375,1,1.16755,0.9602354166666667,0.03939270833333333,0.024495833333333335
64,8,8,0,12,6.5683,0.0,none,1.2328127604166668,1.2550723958333334,-3.7250041666666664,87762.21525326221,31.784958006751978,144596.9024,26751432671.232,0.5735110219859199,59,60000,1839.5757886606639,0.026256445312500168,0.6415,1,3.0462166666666666,0.5111354166666666,0.49471510416666664,0.3356875
64,8,8,0,13,6.3984,0.0,none,1.4192010416666667,1.71233359375,-6.707216666666667,12012.794892515558,4.5848097011993,196278.54506666667,41108367714.986664,0.6443168285331378,56,60000,6.1138415533494594,0.010249023437501704,0.766625,1,3.8873333333333333,0.30401354166666666,0.7321088541666667,0.5510166666666667
64,8,8,0,14,6.2372,0.0,none,1.4431427083333332,1.78323046875,-7.090283333333334,3435.174241848889,1.3797152233493144,209349.76853333332,45844419427.259735,0.6513254473445695,51,60000,5.954775564113577,0.003255859374999578,0.854875,1,3.9684166666666667,0.28061875,0.7816979166666667,0.6225208333333333
64,8,8,0,15,6.0838,0.0,none,1.4543817708333333,1.82321171875,-7.270108333333333,2218.145402595556,0.9363973593532693,218710.07573333333,49641063254.152534,0.6540747700098638,25,60000,4.530241053101297,0.0015932617187498733,0.889625,1,3.98705,0.27236510416666665,0.8171979166666666,0.68325
64,8,8,0,16,5.9378,0.0,none,1.46275625,1.85486953125,-7.4041,1928.571999573333,0.854682383187588,226474.14613333333,52915250674.619736,0.6561077874939344,19,60000,3.73105547916156,0.0012067382812500015,0.89725,1,3.9938333333333333,0.267315625,0.8470104166666667,0.7365125
64,8,8,0,17,5.7987,0.0,none,1.4701674479166666,1.8833888020833334,-7.522679166666666,1677.325777848889,0.7794282919232247,233472.84053333334,55938015368.53333,0.6579315144511485,20,60000,3.5991403334154186,0.0009208007812500747,0.90625,1,3.995983333333333,0.2633932291666667,0.8734921875,0.7866958333333334
64,8,8,0,18,5.6659,0.0,none,1.4765338541666666,1.9079122395833332,-7.6245416666666666,1371.229006222222,0.6674092279274363,239486.60053333335,58540551761.646935,0.6597695981322378,14,60000,3.5384820139553663,0.0007174804687500515,0.920875,1,3.9975666666666667,0.2600869791666667,0.8964088541666667,0.8300583333333333
64,8,8,0,19,5.5391,0.0,none,1.4815919270833333,1.9277096354166667,-7.705470833333333,1123.078259982222,0.5719415328596507,244320.13226666665,60670380495.12106,0.6612050296748364,14,60000,3.988942259870183,0.000569140625000031,0.933875,1,3.9983,0.25761510416666666,0.9162682291666666,0.8659375
64,8,8,0,20,5.4178,0.0,none,1.4858356770833334,1.9442268229166666,-7.773370833333333,879.8150484622224,0.46834455366724453,248381.81973333334,62464866338.95253,0.6624990876393935,13,60000,4.762290829662888,0.00044501953125001534,0.87225,1,3.9990833333333335,0.25554166666666667,0.9333583333333333,0.8961708333333334
64,8,8,0,21,5.0839,0.0,none,1.49291328125,1.9719466145833333,-7.8866125,441.4487204266666,0.26687401503275315,255207.14666666667,65523013826.42347,0.6646587748905176,13,60000,4.583729416983223,0.000254296874999994,0.92875,1,3.99975,0.2524635416666667,0.963328125,0.9465208333333334
64,8,8,0,22,4.7888,0.0,none,1.4962794270833333,1.9852197916666667,-7.940470833333333,215.6929159822222,0.14696113884834802,258472.90453333332,67003218040.14933,0.6656938542545453,9,60000,5.158997691969413,0.0001829101562499958,0.96175,1,3.9999166666666666,0.25104166666666666,0.9786375,0.9714916666666666
64,8,8,0,23,4.526,0.0,none,1.49813671875,1.9925934895833333,-7.9701875,99.53180266666665,0.0759194051527428,260293.38026666667,67843664538.28267,0.666218857683303,8,60000,4.972595224752703,0.00012031249999999808,,1,3.9998833333333335,0.25039375,0.9884729166666667,0.9859208333333334
64,8,8,1,0,14.0,0.0,none,0.4990177083333333,0.03293723958333333,8.015716666666666,3298.8538322488885,0.26298260780045346,266473.87306666665,74499063661.63626,0.6502801437570802,31,60000,0.7958023606036887,0.3080375000000001,0.62525,2,1.0,1.0,0.0,0.0
64,8,8,1,1,11.9687,0.0,none,0.5383528645833333,0.04419270833333333,7.386354166666667,3342.268755555556,0.36455867100507067,226812.77013333334,54451046133.48693,0.6471826223543684,31,60000,0.993601299479004,0.25420859374999993,0.6205,2,1.0,1.0,0.0,0.0
64,8,8,1,2,10.4521,0.0,none,0.5775265625,0.058032291666666666,6.759575,3399.7652761599998,0.48625250038583856,190553.6,38860942370.4064,0.643255113136262,31,60000,1.3461006252426773,0.2061750976562507,0.61275,2,1.0,1.0,0.0,0.0
64,8,8,1,3,9.2767,0.0,none,0.6193604166666666,0.07652005208333333,6.090233333333333,3469.8906783288885,0.6300119598201279,155394.38933333333,26260900081.390934,0.6374919256449474,31,60000,1.7870799712884222,0.16424912109375028,0.615875,2,1.0,1.0,0.0,0.0
64,8,8,1,4,8.3389,0.0,none,0.6604481770833334,0.09941770833333333,5.432829166666667,3596.1495721955553,0.8080537333832306,124492.18133333333,17247313184.904533,0.6290494310308097,33,60000,2.1349458938116834,0.12885039062500062,0.858625,2,1.0,1.0,0.0,0.0
64,8,8,1,5,8.0671,0.0,none,0.6755880208333334,0.10917395833333333,5.190591666666666,3651.3784487822227,0.8766818046227391,114006.80106666667,14604641964.305067,0.625451432780217,35,60000,2.091186229489546,0.11806796874999961,0.863375,2,1.0002333333333333,0.9999416666666666,3.3333333333333335e-05,3.3333333333333335e-05
64,8,8,1,6,7.8124,0.0,none,0.6895375,0.11924583333333333,4.9674,3841.84213504,0.98353676495028,104910.8992,12546552050.4832,0.6200189669730505,39,60000,2.3040908321195466,0.10857519531249994,0.857625,2,1.0003333333333333,0.9999166666666667,4.166666666666667e-06,4.166666666666667e-06
64,8,8,1,7,7.5733,0.0,none,0.7054401041666667,0.13098359375,4.712958333333333,3960.980472888889,1.0790769252960835,94941.2352,10435599990.784,0.6140896612817381,38,60000,2.3547177647778974,0.09873066406249985,0.853625,2,1.0008833333333333,0.9997895833333333,0.00014791666666666667,7.5e-05
64,8,8,1,8,7.3484,0.0,none,0.7218768229166667,0.14532369791666666,4.449970833333333,4246.306983182222,1.2286999396423854,85356.28373333333,8611562152.482134,0.6060059267612028,43,60000,2.91731351497365,0.08961337890625026,0.84675,2,1.00195,0.9995395833333334,0.00033541666666666664,0.00014583333333333335
64,8,8,1,9,7.1365,0.0,none,0.7394684895833333,0.16286119791666667,4.168504166666667,4991.100125795555,1.5312488235285766,76164.94506666667,7054769895.287467,0.5946302548775136,46,60000,3.3675586737915477,0.08099667968750006,0.834875,2,1.0066,0.9984520833333334,0.00136875,0.0006541666666666667
64,8,8,1,10,6.9365,0.0,none,0.7657973958333333,0.19913723958333332,3.7472416666666666,9789.32350264889,3.179010229778842,67304.61866666666,5822001425.066667,0.571588306165655,63,60000,6.290352832368021,0.0720083984375001,0.72575,2,1.0426,0.9899140625,0.0090609375,0.0051125
64,8,8,1,11,6.7473,0.0,none,0.8778736979166667,0.43462578125,1.9540208333333333,58359.959379555556,20.02972406542775,73999.296,8826147173.1712,0.4627273489829241,63,60000,1076.947414274063,0.05568808593749919,0.2575,2,1.4536166666666666,0.8909859375,0.10784010416666667,0.07702916666666666
64,8,8,1,12,6.5683,0.0,none,1.3594122395833332,1.5695658854166668,-5.750595833333334,43634.44334584889,15.803144273346634,179086.51093333334,37124106386.36373,0.6141584415181098,57,60000,285.3624889061139,0.009558984375000698,0.786125,2,3.5850666666666666,0.3733213541666667,0.6563635416666667,0.5191125
64,8,8,1,13,6.3984,0.0,none,1.4354268229166667,1.7647958333333333,-6.966829166666667,7679.90062072889,2.931114964103991,206486.2592,45195129228.4928,0.6466638562800708,55,60000,8.34167621084258,0.003155664062499632,0.881875,2,3.9185166666666666,0.2891197916666667,0.7689901041666667,0.6375833333333333
64,8,8,1,14,6.2372,0.0,none,1.45210390625,1.8170981770833334,-7.2336625,2937.8251206399996,1.1799582079724236,217264.6016,49213562424.5248,0.652475360344623,46,60000,13.571777462660787,0.0019801757812497986,0.902625,2,3.9709166666666667,0.27332708333333333,0.8101036458333334,0.6976041666666667
64,8,8,1,15,6.0838,0.0,none,1.4609369791666666,1.8488192708333333,-7.374991666666666,2106.111999715556,0.8891020907503024,224889.60853333335,52304958143.41973,0.6552670250426333,21,60000,20.182963097206283,0.0015944335937498617,0.906,2,3.98635,0.26686927083333334,0.8384182291666666,0.7441916666666667
64,8,8,1,16,5.9378,0.0,none,1.4677296875,1.87442265625,-7.483675,1812.7878596266667,0.803370498183121,231210.87146666666,54980947493.95627,0.6571734376696721,21,60000,17.791495791936995,0.0012403320312499649,0.914,2,3.9921166666666665,0.2629916666666667,0.8629875,0.7858416666666667
64,8,8,1,17,5.7987,0.0,none,1.47332265625,1.8956885416666667,-7.5731625,1532.7588635733339,0.7122502013277802,236449.78773333333,57218400988.910934,0.6588568892617845,15,60000,10.18332087468652,0.0008329101562500647,0.919375,2,3.9953,0.26023229166666667,0.8829177083333334,0.8195166666666667
64,8,8,1,18,5.6659,0.0,none,1.4782119791666666,1.91461875,-7.651391666666667,1284.7246537955552,0.6253055364189676,241080.10666666666,59229261920.11947,0.6603025270345838,15,60000,7.5654395172599,0.0006429687500000385,0.924625,2,3.997333333333333,0.2578515625,0.9018192708333334,0.851525
64,8,8,1,19,5.5391,0.0,none,1.4826075520833333,1.9316494791666667,-7.721720833333333,1045.8251826488888,0.5325994450973506,245269.71306666668,61066792600.644264,0.6616267602948416,14,60000,6.375996099037652,0.0004960937500000203,0.938125,2,3.9978333333333333,0.2560859375,0.9184640625,0.8796541666666666
64,8,8,1,20,5.4178,0.0,none,1.4861794270833333,1.9454856770833333,-7.778870833333333,835.6130815288889,0.44481489193800977,248687.97866666666,62578326583.15947,0.6627180454868506,15,60000,6.076511960806528,0.0004066406250000123,0.859125,2,3.9988333333333332,0.25449479166666666,0.9325510416666667,0.9031291666666666
64,8,8,1,21,5.0839,0.0,none,1.4933263020833334,1.9735346354166667,-7.893220833333333,380.23373304888895,0.229867022587748,255573.056,65659373895.68,0.6649224353478446,9,60000,5.531805473150853,0.0002274414062499937,0.93125,2,4.0,0.251640625,0.9628760416666666,0.9513916666666666
64,8,8,1,22,4.7888,0.0,none,1.4964815104166667,1.98598515625,-7.943704166666667,185.24393806222218,0.12621490130265028,258652.82133333333,67070357588.10453,0.665824253290829,9,60000,5.159434215406955,0.0001316406249999978,0.9625,2,4.0,0.25066666666666665,0.9783708333333333,0.9737041666666667
64,8,8,1,23,4.526,0.0,none,1.4979286458333334,1.99173125,-7.966858333333334,94.58160952888889,0.07214356960729519,260071.10826666668,67725418952.56747,0.6662308222723554,7,60000,4.752098090514972,9.482421874999912e-05,,2,4.0,0.2502552083333333,0.986128125,0.9843416666666667
64,8,8,2,0,14.0,0.0,none,0.49932578125,0.0331234375,8.0107875,3265.806014506667,0.2603480560034014,266117.2522666667,74256803202.11627,0.650482494009038,28,60000,0.7917138250786545,0.3080307617187491,0.618,1,1.0,1.0,0.0,0.0
64,8,8,2,1,11.9687,0.0,none,0.5382684895833333,0.044140885416666664,7.3877041666666665,3325.9479892622217,0.36277847997172175,226878.144,54459533803.52,0.6473309539328016,30,60000,1.001255198569558,0.2541389648437489,0.626625,1,1.0,1.0,0.0,0.0
64,8,8,2,2,10.4521,0.0,none,0.57837109375,0.05835,6.7460625,3423.2922293333336,0.489617450280237,189829.62773333333,38603367604.770134,0.6429114329046202,32,60000,1.3214435249518057,0.2057706054687496,0.61625,1,1.0,1.0,0.0,0.0
64,8,8,2,3,9.2767,0.0,none,0.6189307291666667,0.07627447916666667,6.097108333333333,3459.657270328889,0.6281539273841251,155727.35146666667,26376553166.711468,0.6374507653133084,30,60000,1.7640026160232063,0.16452412109375056,0.60825,1,1.0,1.0,0.0,0.0
64,8,8,2,4,8.3389,0.0,none,0.6600776041666667,0.09872057291666667,5.438758333333333,3575.370581048889,0.803384700286882,124735.42826666667,17297522200.849068,0.6294191296368162,33,60000,2.1255344005351575,0.12898134765625038,0.866125,1,1.0,1.0,0.0,0.0
64,8,8,2,5,8.0671,0.0,none,0.6748421875,0.10842265625,5.202525,3670.503592106666,0.8812736773630007,114533.93066666667,14745962398.788267,0.6253001350627119,35,60000,2.108371835191147,0.1184468750000003,0.86975,1,1.0001666666666666,0.9999583333333333,4.1666666666666665e-05,4.1666666666666665e-05
64,8,8,2,6,7.8124,0.0,none,0.6894669270833333,0.11862708333333333,4.968529166666666,3761.5198002488887,0.9629737208331952,104876.5312,12505410368.3072,0.6210167080344693,37,60000,2.2423881523447675,0.10844902343749953,0.864,1,1.0003333333333333,0.9999166666666667,8.333333333333333e-05,8.333333333333333e-05
64,8,8,2,7,7.5733,0.0,none,0.7048822916666667,0.13057161458333333,4.721883333333333,3925.6877863822224,1.0694622544079746,95250.85013333333,10482784956.142933,0.6148608203773631,36,60000,2.4210326520853362,0.09909023437499999,0.852125,1,1.0005,0.9998802083333334,0.00011979166666666666,8.333333333333333e-05
