N,lx,ly,replica,k,g,lam,cap,phi,surplus,e_mean,e_var,c_per_point,m2,m4,binder,levels_seen,sweeps,tau_int,acceptance,swap_rate,round_trips,pieces,largest_frac,baby_frac,cube_frac
36,6,6,0,0,8.0,1.5,none,0.7630333333333333,0.09979166666666667,4.390216666666666,786.7171818266667,0.3414571101678241,25765.824266666667,746085632.2410667,0.6253900218454449,108,60000,1.6491654070047919,0.09712152777777881,0.5735,26,1.0,1.0,0.0,0.0
36,6,6,0,1,6.5,1.5,none,0.8039560185185185,0.11153055555555556,3.805887037037037,706.4298575955555,0.4644509254408649,19478.699733333335,435129968.02453333,0.6177233124117067,100,60000,2.116570345910074,0.06480000000000001,0.623375,26,1.0,1.0,0.0,0.0
36,6,6,0,2,5.5,1.5,none,0.8387648148148148,0.11934768518518518,3.295849074074074,644.6492296788889,0.5919643982358943,14722.6062,254392412.0088,0.6087867937858578,99,60000,2.9844315412684566,0.043172916666666616,0.630625,26,1.0,1.0,0.0,0.0
36,6,6,0,3,4.8,1.5,none,0.8688087962962964,0.12030509259259259,2.8208898148148145,656.9655258655556,0.7920591313001009,10969.781,147715648.9864,0.590824768036354,93,60000,4.098680792696568,0.028399826388889566,0.6615,26,1.0,1.0,0.0,0.0
36,6,6,0,4,4.3,1.5,none,0.8945587962962962,0.11512546296296297,2.377812037037037,658.4649184788888,0.9892207777160158,7986.036066666667,83235646.68506667,0.5649636275662724,89,60000,5.150489704780154,0.018596006944444646,0.66875,26,1.0,1.0,0.0,0.0
36,6,6,0,5,3.9,1.5,none,0.9167375,0.1027263888888889,1.9485583333333334,687.8027997233334,1.2561231640794313,5608.558733333333,45332899.540533334,0.5196147117004369,78,60000,5.938752884082695,0.011662847222222392,0.69,26,1.0,1.0,0.0,0.0
36,6,6,0,6,3.6,1.5,none,0.9364101851851852,0.08472777777777778,1.5258037037037038,726.1884161955556,1.556473800144795,3743.376133333333,23529936.314133335,0.4402777608765106,72,60000,7.5954557234389934,0.007225000000000541,0.70575,26,1.0,1.0,0.0,0.0
36,6,6,0,7,3.35,1.5,none,0.953623611111111,0.06281064814814814,1.118886111111111,704.3045226566669,1.7432848757621517,2326.7748666666666,11396713.432266667,0.298302958480134,63,60000,9.310482460856806,0.004245659722222333,0.73975,26,1.0,1.0,0.0,0.0
36,6,6,0,8,3.15,1.5,none,0.9683800925925925,0.042963888888888885,0.7637018518518519,580.0066879955556,1.6237134682555237,1335.8864,4978632.4704,0.07007107714925509,59,60000,8.764828475703135,0.0024243055555555754,0.75275,26,1.0,1.0,0.0,0.0
36,6,6,0,9,2.95,1.5,none,0.9804537037037038,0.025835185185185187,0.46775185185185186,405.86410046222215,1.2954901224495583,689.4182666666667,1947852.3482666668,-0.36605821129947547,53,60000,6.499832377756605,0.0012723958333333589,0.8315,26,1.0,1.0,0.0,0.0
36,6,6,0,10,2.8,1.5,none,0.987650925925926,0.015524999999999999,0.2907351851851852,266.6580088488888,0.9447916980190223,376.2049333333333,826085.2869333334,-0.9456049377736571,46,60000,4.7214722492580075,0.0007666666666667089,0.865375,26,1.0,1.0,0.0,0.0
36,6,6,0,11,2.65,1.5,none,0.9929106481481481,0.0086625,0.16540462962962962,155.22946914555558,0.6140163329993101,190.68633333333332,333851.0909333333,-2.0605001791845097,41,60000,4.270252270502358,0.0004605902777777937,0.906625,26,1.0,1.0,0.0,0.0
36,6,6,0,12,2.5,1.5,none,0.9958907407407407,0.005026851851851852,0.09590925925925925,87.97383252888888,0.39099481123950613,99.8952,141976.8928,-3.7424981607736143,34,60000,4.921945222088197,0.0002796875000000018,0.926125,26,1.0,1.0,0.0,0.0
36,6,6,0,13,2.35,1.5,none,0.9976449074074074,0.002372222222222222,0.051914814814814816,45.11402152888889,0.22692028333025946,48.60693333333333,57174.89493333334,-7.066547154009891,28,60000,4.729061929531887,0.00018576388888888833,0.9415,26,1.0,1.0,0.0,0.0
36,6,6,0,14,2.2,1.5,none,0.9988074074074075,0.0012967592592592592,0.026862037037037035,21.991846532222223,0.12621583179650034,22.927,21463.852,-12.611059999000457,20,60000,4.5600900811043665,0.00011718749999999966,0.942125,26,1.0,1.0,0.0,0.0
36,6,6,0,15,2.0,1.5,none,0.9994717592592592,0.0006018518518518519,0.012062962962962963,9.114479128888888,0.06329499395061727,9.303066666666666,6450.5850666666665,-23.84423255348788,15,60000,4.828786165018285,5.590277777777764e-05,0.961875,26,1.0,1.0,0.0,0.0
36,6,6,0,16,1.8,1.5,none,0.9998324074074074,0.0002777777777777778,0.004348148148148148,3.136830648888889,0.026893266880048772,3.1613333333333333,1839.0837333333334,-60.33942028670989,9,60000,4.884491459180474,2.8645833333333272e-05,0.9745,26,1.0,1.0,0.0,0.0
36,6,6,0,17,1.5,1.5,none,0.9999768518518519,3.7037037037037037e-05,0.0005925925925925926,0.3088782222222223,0.0038133113854595343,0.30933333333333335,68.43733333333333,-237.40665873959566,3,60000,4.983168633110071,1.0243055555555555e-05,,26,1.0,1.0,0.0,0.0
36,6,6,1,0,8.0,1.5,none,0.7626689814814814,0.09980416666666667,4.396121296296297,769.731209198889,0.33408472621479557,25816.074866666666,747217038.9650667,0.6262810773261598,102,60000,1.5904116687753906,0.09769513888888945,0.571625,28,1.0,1.0,0.0,0.0
