N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,reached,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
144,36,4,0,1.5,1.5,964025644,505,205,0.9652777777777778,0.3900462962962965,2.0,0.75,205,6,0.36363636363636365,88,0,18,88,38,0,0,0,205,6,0.36363636363636365,88,0,18,88,38,0,0,0,205,6,0.36363636363636365,88,0,18,88,38,0,0,0
144,36,4,1,1.5,1.5,2627842342,505,,0.9444444444444444,0.09699074074074088,2.0,0.75,205,5,0.47191011235955055,89,0,13,89,39,3,0,0,205,5,0.47191011235955055,89,0,13,89,39,3,0,0,205,5,0.47191011235955055,89,0,13,89,39,3,0,0
144,36,4,2,1.5,1.5,1393199884,505,,0.9652777777777778,0.222685185185185,2.0,0.75,205,5,0.45569620253164556,79,0,23,79,41,1,0,0,205,5,0.45569620253164556,79,0,23,79,41,1,0,0,205,5,0.45569620253164556,79,0,23,79,41,1,0,0
144,36,4,3,1.5,1.5,3303085096,505,205,0.9236111111111112,0.23587962962962972,2.0,0.75,205,3,0.7157894736842105,95,0,3,95,45,1,0,0,205,3,0.7157894736842105,95,0,3,95,45,1,0,0,205,3,0.7157894736842105,95,0,3,95,45,1,0,0
144,36,4,4,1.5,1.5,1373636202,505,205,0.9513888888888888,0.1680555555555554,2.0,0.75,205,4,0.6122448979591837,98,0,9,98,37,0,0,0,205,4,0.6122448979591837,98,0,9,98,37,0,0,0,205,4,0.6122448979591837,98,0,9,98,37,0,0,0
144,36,4,5,1.5,1.5,1143906304,505,205,0.9375,0.279166666666667,2.0,0.75,205,1,1.0,92,0,10,92,38,4,0,0,205,1,1.0,92,0,10,92,38,4,0,0,205,1,1.0,92,0,10,92,38,4,0,0
144,36,4,6,1.5,1.5,3793383287,505,205,0.9166666666666666,0.3106481481481487,2.0,0.75,205,4,0.6746987951807228,83,0,9,83,47,5,0,0,205,4,0.6746987951807228,83,0,9,83,47,5,0,0,205,4,0.6746987951807228,83,0,9,83,47,5,0,0
144,36,4,7,1.5,1.5,1516290194,505,,0.9583333333333334,0.2807870370370371,2.0,0.75,205,4,0.6813186813186813,91,0,16,91,34,3,0,0,205,4,0.6813186813186813,91,0,16,91,34,3,0,0,205,4,0.6813186813186813,91,0,16,91,34,3,0,0
144,36,4,8,1.5,1.5,2518722836,505,205,0.9236111111111112,0.14930555555555491,2.0,0.75,205,2,0.9680851063829787,94,0,4,94,44,2,0,0,205,2,0.9680851063829787,94,0,4,94,44,2,0,0,205,2,0.9680851063829787,94,0,4,94,44,2,0,0
144,36,4,9,1.5,1.5,4120392593,505,205,0.9444444444444444,0.4391203703703701,2.0,0.75,205,1,1.0,99,0,7,99,37,1,0,0,205,1,1.0,99,0,7,99,37,1,0,0,205,1,1.0,99,0,7,99,37,1,0,0
144,36,4,10,1.5,1.5,3820340360,505,205,0.9583333333333334,0.3335648148148147,2.0,0.75,205,4,0.4945054945054945,91,0,15,91,37,1,0,0,205,4,0.4945054945054945,91,0,15,91,37,1,0,0,205,4,0.4945054945054945,91,0,15,91,37,1,0,0
144,36,4,11,1.5,1.5,2117094294,505,205,0.9375,0.14097222222222272,2.0,0.75,205,3,0.9444444444444444,90,0,11,90,39,4,0,0,205,3,0.9444444444444444,90,0,11,90,39,4,0,0,205,3,0.9444444444444444,90,0,11,90,39,4,0,0
144,36,4,12,1.5,1.5,1363471353,505,,0.9513888888888888,0.22083333333333366,2.0,0.75,205,6,0.8571428571428571,84,0,18,84,38,4,0,0,205,6,0.8571428571428571,84,0,18,84,38,4,0,0,205,6,0.8571428571428571,84,0,18,84,38,4,0,0
144,36,4,13,1.5,1.5,428028623,505,205,0.9375,0.6175925925925929,2.0,0.75,205,2,0.6161616161616161,99,0,5,99,39,1,0,0,205,2,0.6161616161616161,99,0,5,99,39,1,0,0,205,2,0.6161616161616161,99,0,5,99,39,1,0,0
144,36,4,14,1.5,1.5,3615853864,505,205,0.9722222222222222,0.26828703703703694,2.0,0.75,205,7,0.3333333333333333,93,0,18,93,32,1,0,0,205,7,0.3333333333333333,93,0,18,93,32,1,0,0,205,7,0.3333333333333333,93,0,18,93,32,1,0,0
144,36,4,15,1.5,1.5,3003831168,505,,0.9305555555555556,0.21643518518518556,2.0,0.75,205,2,0.8295454545454546,88,0,9,88,45,2,0,0,205,2,0.8295454545454546,88,0,9,88,45,2,0,0,205,2,0.8295454545454546,88,0,9,88,45,2,0,0
144,36,4,16,1.5,1.5,3060650325,505,205,0.9375,0.5201388888888885,2.0,0.75,205,3,0.3870967741935484,93,0,8,93,42,1,0,0,205,3,0.3870967741935484,93,0,8,93,42,1,0,0,205,3,0.3870967741935484,93,0,8,93,42,1,0,0
144,36,4,17,1.5,1.5,1397767376,505,205,0.9722222222222222,0.39074074074074105,2.0,0.75,205,5,0.78125,96,0,17,96,29,2,0,0,205,5,0.78125,96,0,17,96,29,2,0,0,205,5,0.78125,96,0,17,96,29,2,0,0
144,36,4,18,1.5,1.5,268165173,505,205,0.9375,0.2708333333333335,2.0,0.75,205,7,0.30952380952380953,84,0,12,84,48,0,0,0,205,7,0.30952380952380953,84,0,12,84,48,0,0,0,205,7,0.30952380952380953,84,0,12,84,48,0,0,0
144,36,4,19,1.5,1.5,2761443085,505,205,0.9305555555555556,0.3402777777777777,2.0,0.75,205,1,1.0,101,0,3,101,37,3,0,0,205,1,1.0,101,0,3,101,37,3,0,0,205,1,1.0,101,0,3,101,37,3,0,0
144,36,4,20,1.5,1.5,3766920308,505,205,0.9444444444444444,0.0826388888888887,2.0,0.75,205,7,0.6703296703296703,91,0,11,91,41,1,0,0,205,7,0.6703296703296703,91,0,11,91,41,1,0,0,205,7,0.6703296703296703,91,0,11,91,41,1,0,0
144,36,4,21,1.5,1.5,3372006876,505,205,0.9375,0.2583333333333331,2.0,0.75,205,6,0.8021978021978022,91,0,10,91,40,3,0,0,205,6,0.8021978021978022,91,0,10,91,40,3,0,0,205,6,0.8021978021978022,91,0,10,91,40,3,0,0
144,36,4,22,1.5,1.5,225509214,505,205,0.9375,0.18333333333333357,2.0,0.75,205,3,0.967032967032967,91,0,10,91,40,3,0,0,205,3,0.967032967032967,91,0,10,91,40,3,0,0,205,3,0.967032967032967,91,0,10,91,40,3,0,0
144,36,4,23,1.5,1.5,1655435594,505,205,0.9305555555555556,0.48564814814814783,2.0,0.75,205,2,0.8076923076923077,104,0,2,104,34,4,0,0,205,2,0.8076923076923077,104,0,2,104,34,4,0,0,205,2,0.8076923076923077,104,0,2,104,34,4,0,0
144,36,4,24,1.5,1.5,914120617,505,205,0.9513888888888888,0.22407407407407431,2.0,0.75,205,3,0.6063829787234043,94,0,12,94,36,2,0,0,205,3,0.6063829787234043,94,0,12,94,36,2,0,0,205,3,0.6063829787234043,94,0,12,94,36,2,0,0
144,36,4,25,1.5,1.5,826269647,505,205,0.9305555555555556,0.14282407407407427,2.0,0.75,205,4,0.47126436781609193,87,0,9,87,47,1,0,0,205,4,0.47126436781609193,87,0,9,87,47,1,0,0,205,4,0.47126436781609193,87,0,9,87,47,1,0,0
144,36,4,26,1.5,1.5,2605906501,505,205,0.9513888888888888,0.2483796296296299,2.0,0.75,205,5,0.8375,80,0,20,80,40,4,0,0,205,5,0.8375,80,0,20,80,40,4,0,0,205,5,0.8375,80,0,20,80,40,4,0,0
144,36,4,27,1.5,1.5,635204167,505,205,0.9513888888888888,0.5185185185185186,2.0,0.75,205,1,1.0,110,0,4,110,28,2,0,0,205,1,1.0,110,0,4,110,28,2,0,0,205,1,1.0,110,0,4,110,28,2,0,0
144,36,4,28,1.5,1.5,2311374150,505,205,0.9444444444444444,0.2006944444444443,2.0,0.75,205,5,0.4367816091954023,87,0,13,87,43,1,0,0,205,5,0.4367816091954023,87,0,13,87,43,1,0,0,205,5,0.4367816091954023,87,0,13,87,43,1,0,0
144,36,4,29,1.5,1.5,3689848342,505,205,0.9444444444444444,0.14375000000000004,2.0,0.75,205,2,0.9797979797979798,99,0,7,99,37,1,0,0,205,2,0.9797979797979798,99,0,7,99,37,1,0,0,205,2,0.9797979797979798,99,0,7,99,37,1,0,0
