N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
192,48,4,0,1.25,1.5,3320860402,5500,420,1.0,1.0,1.0,0.9147569444444444,2400,3600,0.75,665,1,1.0,48,0,144,48,0,0,0,0,1075,1,1.0,96,0,96,96,0,0,0,0,1665,1,1.0,144,0,48,144,0,0,0,0
192,48,4,1,1.25,1.5,320626576,13535,210,1.0,1.0,1.0,0.9230902777777777,3000,4800,0.75,555,1,1.0,48,0,144,48,0,0,0,0,730,1,1.0,96,0,96,96,0,0,0,0,1160,1,1.0,144,0,48,144,0,0,0,0
192,48,4,2,1.25,1.5,3447351311,21705,300,1.0,1.0,1.0,0.9239583333333333,18000,19800,0.75,595,1,1.0,48,0,144,48,0,0,0,0,965,1,1.0,96,0,96,96,0,0,0,0,1400,1,1.0,144,0,48,144,0,0,0,0
192,48,4,3,1.25,1.5,3672482838,36290,1420,1.0,0.7664062500000001,1.0,0.7813368055555555,27600,30000,0.75,2340,3,0.9,40,0,148,40,4,0,0,0,3580,4,0.9285714285714286,84,0,100,84,8,0,0,0,4960,3,0.9705882352941176,136,0,52,136,4,0,0,0
192,48,4,4,1.25,1.5,3352579188,3705,265,1.0,1.0,1.0,0.9618055555555556,0,1800,0.75,755,1,1.0,48,0,144,48,0,0,0,0,1100,1,1.0,96,0,96,96,0,0,0,0,1465,1,1.0,144,0,48,144,0,0,0,0
192,48,4,5,1.25,1.5,3743869351,60000,405,1.0104166666666667,0.8020833333333334,1.0,0.8020833333333334,0,30000,0.75,620,3,0.9,40,0,148,40,4,0,0,0,1160,2,0.5476190476190477,84,0,102,84,6,0,0,0,1510,3,0.4714285714285714,140,0,48,140,4,0,0,0
192,48,4,6,1.25,1.5,2800421364,20535,1780,1.0,1.0,1.0,0.8526041666666666,10800,12600,0.75,4325,1,1.0,48,0,144,48,0,0,0,0,4670,1,1.0,96,0,96,96,0,0,0,0,4985,1,1.0,144,0,48,144,0,0,0,0
192,48,4,7,1.25,1.5,915318602,5695,235,1.0,1.0,1.0,0.9765625,0,1800,0.75,520,1,1.0,48,0,144,48,0,0,0,0,960,1,1.0,96,0,96,96,0,0,0,0,1200,1,1.0,140,0,50,140,2,0,0,0
192,48,4,8,1.25,1.5,238155210,60000,800,1.0260416666666667,0.765625,1.0,0.765625,0,30000,0.75,1895,7,0.625,32,0,152,32,8,0,0,0,2515,4,0.5,88,0,100,88,4,0,0,0,3625,4,0.6764705882352942,136,0,52,136,4,0,0,0
192,48,4,9,1.25,1.5,431576115,6210,3130,1.0,1.0,1.0,0.9443576388888889,600,1800,0.75,3455,1,1.0,48,0,144,48,0,0,0,0,3650,1,1.0,96,0,96,96,0,0,0,0,4055,1,1.0,144,0,48,144,0,0,0,0
192,48,4,10,1.25,1.5,1666506504,32940,870,1.0,0.8229166666666666,1.0,0.7953559027777777,0,30000,0.75,1450,1,1.0,48,0,144,48,0,0,0,0,1915,1,1.0,96,0,96,96,0,0,0,0,2300,4,0.9583333333333334,144,0,44,144,4,0,0,0
192,48,4,11,1.25,1.5,685165372,12970,285,1.0,1.0,1.0,0.9255208333333333,9000,10200,0.75,265,1,1.0,48,0,144,48,0,0,0,0,1005,1,1.0,96,0,96,96,0,0,0,0,2130,1,1.0,148,0,44,148,0,0,0,0
192,48,4,12,1.25,1.5,2948144378,15405,230,1.0,1.0,1.0,0.9268229166666666,1800,3600,0.75,2355,2,0.5,48,0,144,48,0,0,0,0,2600,2,0.6153846153846154,104,0,88,104,0,0,0,0,2760,2,0.5135135135135135,148,0,44,148,0,0,0,0
192,48,4,13,1.25,1.5,148117129,9780,485,1.0,1.0,1.0,0.9852430555555556,0,1800,0.75,940,1,1.0,48,0,144,48,0,0,0,0,1395,1,1.0,96,0,96,96,0,0,0,0,1925,1,1.0,144,0,48,144,0,0,0,0
192,48,4,14,1.25,1.5,3828719191,8645,3305,1.0,1.0,1.0,0.9504340277777777,0,1800,0.75,5420,1,1.0,48,0,144,48,0,0,0,0,6035,1,1.0,96,0,96,96,0,0,0,0,6530,1,1.0,144,0,48,144,0,0,0,0
192,48,4,15,1.25,1.5,471860956,8235,530,1.0,1.0,1.0,0.9240451388888888,3600,4800,0.75,745,6,0.6666666666666666,48,0,140,48,4,0,0,0,1230,1,1.0,96,0,96,96,0,0,0,0,1720,1,1.0,144,0,48,144,0,0,0,0
192,48,4,16,1.25,1.5,2920179092,19385,4560,1.0,1.0,1.0,0.9247395833333334,1200,3000,0.75,7995,1,1.0,48,0,144,48,0,0,0,0,8495,1,1.0,96,0,96,96,0,0,0,0,8810,1,1.0,144,0,48,144,0,0,0,0
192,48,4,17,1.25,1.5,4263051040,20360,220,1.0,1.0,1.0,0.5640625000000001,15600,17400,0.75,1045,3,0.5,40,0,148,40,4,0,0,0,1800,4,0.6590909090909091,88,0,100,88,4,0,0,0,2415,4,0.746031746031746,126,0,57,126,9,0,0,0
192,48,4,18,1.25,1.5,2512333715,29260,2685,1.0,1.0,1.0,0.8819444444444444,15000,16800,0.75,3045,1,1.0,48,0,144,48,0,0,0,0,3385,1,1.0,100,0,92,100,0,0,0,0,3605,1,1.0,140,0,50,140,2,0,0,0
192,48,4,19,1.25,1.5,412507966,26095,240,1.0,1.0,1.0,0.9239583333333333,16800,18600,0.75,390,1,1.0,48,0,144,48,0,0,0,0,965,1,1.0,96,0,96,96,0,0,0,0,1370,1,1.0,140,0,50,140,2,0,0,0
192,48,4,20,1.25,1.5,3246367488,60000,7455,1.0104166666666667,0.9583333333333334,1.0,0.9583333333333334,0,30000,0.75,8535,3,0.9,40,0,148,40,4,0,0,0,9045,3,0.9545454545454546,88,0,100,88,4,0,0,0,10910,3,0.9705882352941176,136,0,52,136,4,0,0,0
192,48,4,21,1.25,1.5,3551099330,9775,4290,1.0,1.0,1.0,0.9203125,1800,3600,0.75,4600,1,1.0,48,0,144,48,0,0,0,0,5005,1,1.0,96,0,96,96,0,0,0,0,5230,2,0.8055555555555556,144,0,48,144,0,0,0,0
192,48,4,22,1.25,1.5,1178362296,32965,305,1.0,0.8229166666666666,1.0,0.7297309027777777,23400,30000,0.75,450,4,0.5,40,0,148,40,4,0,0,0,1360,3,0.6590909090909091,88,0,100,88,4,0,0,0,2295,3,0.7794117647058824,136,0,52,136,4,0,0,0
192,48,4,23,1.25,1.5,3929450867,5490,260,1.0,1.0,1.0,0.9247395833333334,1800,3600,0.75,385,1,1.0,48,0,144,48,0,0,0,0,750,1,1.0,96,0,96,96,0,0,0,0,1205,1,1.0,144,0,48,144,0,0,0,0
192,48,4,24,1.25,1.5,745297669,6850,2145,1.0,1.0,1.0,0.925,1200,3000,0.75,2700,1,1.0,48,0,144,48,0,0,0,0,3165,1,1.0,96,0,96,96,0,0,0,0,3515,1,1.0,144,0,48,144,0,0,0,0
192,48,4,25,1.25,1.5,1333141238,4775,1225,1.0,1.0,1.0,0.9522569444444444,0,1800,0.75,1550,1,1.0,48,0,144,48,0,0,0,0,2045,1,1.0,96,0,96,96,0,0,0,0,2615,1,1.0,144,0,48,144,0,0,0,0
