N,C,replica,sweep,phi,surplus,bath_T,bath_total,f,final,drift,acceptance,f_final,d0,d1,d2,d3,d4,d5,d6,pieces_d1,largest_d1,pieces_d2,largest_d2
64,16,0,100,1.109375,0.5,1.75,28.0,0.5625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,200,1.046875,0.25,2.75,44.0,0.8125,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,300,1.0,0.0625,3.5,56.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,400,1.015625,0.09375,3.875,62.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,500,1.015625,0.09375,3.875,62.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,600,1.015625,0.09375,3.875,62.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,700,1.0,0.0625,3.5,56.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,800,1.015625,0.09375,3.875,62.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,900,1.015625,0.09375,3.875,62.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,1000,1.015625,0.09375,3.875,62.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,1100,1.015625,0.09375,3.875,62.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,1200,1.0,0.0625,3.5,56.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,1300,1.0,0.0625,3.5,56.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,1400,0.96875,0.0,2.75,44.0,1.125,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,1500,1.0,0.0625,3.5,56.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,1600,1.0,0.109375,2.5625,41.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,1700,1.015625,0.15625,2.625,42.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,1800,1.015625,0.15625,2.625,42.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,1900,0.984375,0.15625,0.625,10.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,2000,1.015625,0.234375,1.0625,17.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,2100,1.046875,0.28125,2.125,34.0,0.8125,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,2200,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,2300,1.015625,0.25,0.75,12.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,2400,1.015625,0.234375,1.0625,17.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,2500,1.015625,0.234375,1.0625,17.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,2600,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,2700,1.015625,0.234375,1.0625,17.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,2800,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,2900,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,3000,1.015625,0.21875,1.375,22.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,3100,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,3200,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,3300,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,3400,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
